 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 1445 6 2 ZTF_g 673331792215 0 4.1709 98.2513 4.88239 26.0823 4.57756e-05 0.045231 -0.0621657 7.70773e-05 292 30. 0.092027 0.082437 19.8956 26.0823 2 2458427.831794 1445120122 1 78.9114247997924 55.3076982687555 1.58711757610059 1.50498150922808 112.924430613762 68.7210263697594 1.65429693292632 1.17120346840404 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 10 1445 6 2 ZTF_r 675330252215 0 1.9358 586.872 6.09762 26.2699 1.28762e-05 0.0262409 0.126527 1.76316e-05 372 30. 0.059185 0.05893 20.4991 26.2699 2 2458429.8302546 1445120222 1 101.177279832011 36.012957594242 3.12520859908803 6.07701621438472 439.117971995913 66.7874755956975 6.61913708908616 1.04128269969689 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 11 1445 6 2 ZTF_g 676310692215 0 2.4475 119.399 4.09782 26.3078 1.5816e-05 0.0290406 -0.113191 2.18207e-05 369 30. 0.066552 0.059813 20.8016 26.3078 2 2458430.8106944 1445120122 1 4.93498259912664 29.4619387260328 0.186328421504668 2.24254474304686 178.256223847887 52.2506081166871 3.4345397353212 1.03711276349115 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 12 1445 6 2 ZTF_r 677350412215 0 3.8589 556.174 7.70715 26.235 2.55962e-05 0.0369064 0.11088 3.51022e-05 371 30. 0.082686 0.083448 19.6174 26.235 2 2458431.8504167 1445120222 1 -268.879877473951 75.7597530790912 -3.94797643845817 3.92049966631197 -154.594572723061 98.020333438122 -1.58779072265842 1.15883818079988 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 13 1445 6 2 ZTF_r 678326072215 0 2.5618 581.705 7.40615 26.2794 1.23485e-05 0.0257809 0.115586 1.71494e-05 372 30. 0.066835 0.061526 20.0727 26.2794 2 2458432.8260764 1445120222 1 -149.685955908634 50.9186507992808 -3.27008445155406 3.90466412135802 -595.435947543239 84.0970621356635 -7.12802834825885 1.05407246758113 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 14 1445 6 2 ZTF_r 681327822215 8 5.2702 573.282 6.76305 26.2755 4.45071e-05 0.0466346 0.118952 6.24669e-05 345 30. 0.088281 0.088368 19.4872 26.2755 2 2458435.8278241 1445120222 1 51.0586365492729 98.3103696312483 0.57772968818352 1.51132036756558 48.2693955367183 113.480261718495 0.428219779871319 1.34812326915086 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 15 1445 6 2 ZTF_g 682199382215 0 4.3407 117.173 6.06499 26.2591 3.76328e-05 0.0404502 -0.0347429 6.38573e-05 276 30. 0.0947 0.079052 19.8055 26.2591 2 2458436.6993866 1445120122 1 41.6647551908893 63.1691679127549 0.733699932698064 1.38909612363303 100.100877214724 77.5138039372012 1.3000918193062 1.19653790340221 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 16 1445 6 2 ZTF_r 682303982215 0 3.3213 345.33 8.91126 25.7175 0.00017926 0.0947207 0.117511 0.000244336 351 30. 0.082738 0.080218 19.0973 25.7175 2 2458436.8039815 1445120222 1 -884.647545395413 84.8303852769203 -11.600417998421 4.6561949778547 -2187.83188523399 117.870620262764 -18.6863109224984 1.10066843184761 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 17 1445 6 2 ZTF_r 684298952215 0 1.8192 81.8162 15.699 24.156 0.000350415 0.0861913 0.160557 0.000538131 153 30. 0.069139 0.064754 17.3962 24.156 2 2458438.7989583 1445120222 1 -38.6862578811918 63.792176521588 -0.674596530892674 1.5533956907375 -464.688610834881 127.926982135103 -3.65691668447715 1.03884364976439 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 18 1445 6 2 ZTF_r 685302002215 33554432 2.4002 505.076 11.6952 26.1254 5.21457e-05 0.0526014 0.0833845 7.14866e-05 372 30. 0.068048 0.052265 19.526 26.1254 2 2458439.8020023 1445120222 1 -732.818535415785 77.6412481561693 -10.4992611509339 13.0134852644014 -3483.30572269743 141.226501309289 -24.830792766519 1.03182591000814 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 19 1445 6 2 ZTF_r 703218202215 0 3.2544 584.643 6.74752 26.3001 1.35061e-05 0.0268526 0.100332 1.86128e-05 371 30. 0.074796 0.063926 19.9595 26.3001 2 2458457.718206 1445120222 1 -144.341350669547 56.0696656902784 -2.86363458774457 5.42631934689001 104.84416970126 81.457041835819 1.2957787176846 1.09230241462913 1.3537399370985 17.4229997634888 0.11599999666214 8.82299995422363 0.639999985694885 2458353.888935 2458774.774537 0
 20 1445 6 2 ZTF_g 729163492215 0 3.1593 118.123 4.78741 26.2697 2.21188e-05 0.0337995 -0.0639807 3.18894e-05 355 30. 0.077529 0.064725 20.3391 26.2697 2 2458483.6634954 1445120122 1 45.4353366051618 39.2136516565617 1.28887637848848 4.40844386022263 292.221555876882 57.4615081354481 5.11976964083835 1.06853351378086 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 21 1445 6 2 ZTF_g 972459972215 0 2.0902 111.451 4.85546 26.1898 1.61633e-05 0.0291911 -0.0779429 2.23627e-05 365 30. 0.070203 0.061456 20.7131 26.1898 2 2458726.9599769 1445120122 1 -104.890422512286 24.8297017090122 -4.69914811177089 16.8417802508211 -506.768630217886 45.2411303922272 -11.276945153142 1.04133430191999 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 22 1445 6 2 ZTF_g 972460422215 0 1.9394 110.532 4.87505 26.1815 1.30574e-05 0.0263915 -0.0622951 1.82679e-05 363 30. 0.06831 0.06279 20.7652 26.1815 3 2458726.9604282 1445120122 1 -22.100392804847 23.130909242258 -1.06282580229217 13.2901574821858 -261.76754234299 43.3089553844044 -6.08489767214149 1.03951706928082 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
 23 1445 6 2 ZTF_g 980498802215 0 3.0106 111.532 4.98703 26.1701 2.20056e-05 0.0339383 -0.0437325 3.23031e-05 353 30. 0.087522 0.07816 20.2587 26.1701 2 2458734.9988079 1445120122 1 -57.32818711535 36.8195364351657 -1.73198725970042 1.15970915024615 -134.33510973028 53.813887175457 -2.51310342964689 1.08958154724845 1.63398007613171 17.7740003585815 0.119999997317791 5.74300003051758 0.533999979496002 2458364.976759 2458749.881018 0
