 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 531 12 0 ZTF_r 463397954415 0 1.8781 195.218 5.63514 26.2614 4.836e-06 0.0241529 0.110664 9.00517e-06 670 30. 0.053959 0.054782 20.7356 26.2614 1 2458217.8979514 531120244 1 46.8200129661117 30.5821204101509 1.70301603370105 2.67753450754785 96.6760208178538 52.5467451746044 1.85220110316834 1.08936108411446 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 10 531 12 0 ZTF_r 463451014415 0 2.1958 194.38 6.43871 26.2668 4.5709e-06 0.0236059 0.112981 8.47421e-06 676 30. 0.056228 0.052795 20.44 26.2668 1 2458217.9510185 531120244 1 -64.1854307494943 34.8007327415051 -2.0516481027321 1.50300500577503 -113.715172453973 58.9694009356001 -1.94136363718645 1.08197778438163 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 11 531 12 0 ZTF_r 464426664415 0 2.0997 192.321 5.94515 26.2427 5.2123e-06 0.0252206 0.114115 9.71455e-06 673 30. 0.055232 0.055803 20.6265 26.2427 2 2458218.9266667 531120244 1 61.9238120595713 33.9321556522615 2.03002335521168 2.92037682953105 145.288800286446 57.2950554162502 2.55287873714261 1.09649909386936 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 12 531 12 0 ZTF_r 465419234415 0 2.1936 195.074 5.82006 26.2651 6.1349e-06 0.0272767 0.122809 1.14216e-05 668 30. 0.066278 0.073394 20.3875 26.2651 2 2458219.9192361 531120244 1 311.836085123501 55.0397643367364 6.30238028525694 13.0464960671608 692.139846582962 83.1880910915074 8.37621634454161 1.16919269688132 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 13 531 12 0 ZTF_r 468390274415 0 2.3747 193.375 5.89427 26.2592 4.7969e-06 0.0239662 0.114474 8.93939e-06 667 30. 0.059916 0.056052 20.4599 26.2592 1 2458222.8902778 531120244 1 -23.2401892459265 35.0289772487174 -0.738018084601462 1.38338207627123 -118.947806449798 57.2156513151564 -2.09294002632751 1.09167578626414 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 14 531 12 0 ZTF_r 468414324415 0 2.632 192.322 5.96648 26.2478 6.0015e-06 0.0268882 0.120208 1.11661e-05 669 30. 0.066153 0.060145 20.3176 26.2478 1 2458222.9143287 531120244 1 35.0641314116314 41.3036556800658 0.944342193929459 1.60495262634137 118.323493790709 63.6558910635671 1.87131791478917 1.11087564517264 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 15 531 12 0 ZTF_r 468512814415 0 2.4288 185.158 8.77497 26.2145 5.6498e-06 0.0262507 0.113098 1.05145e-05 676 30. 0.059684 0.051357 19.9237 26.2145 2 2458223.0128125 531120244 1 -52.9791788950876 49.2338944595342 -1.19700463975609 1.1945801613902 -95.2065174780264 79.7376861841771 -1.2020381257308 1.09066026162777 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 16 531 12 0 ZTF_r 472355274415 0 2.0785 195.694 5.68611 26.2609 4.9651e-06 0.0244268 0.11544 9.25107e-06 667 30. 0.052134 0.052477 20.6808 26.2609 1 2458226.8552778 531120244 1 -66.8457005746369 30.1790098224705 -2.46390122769447 2.03658904399134 -78.6146230277999 51.8458655749902 -1.52652667978901 1.08804966016857 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 17 531 12 0 ZTF_r 472376564415 0 2.3653 195.301 5.81713 26.2712 4.4827e-06 0.0232498 0.11397 8.30992e-06 669 30. 0.060578 0.055685 20.4661 26.2712 1 2458226.8765625 531120244 1 44.1094411880957 35.9435181520507 1.3651041072234 1.58727193511293 160.071993187523 57.6831281999119 2.79371269035327 1.11059666545181 1.40181889591131 17.9329999923706 0.131999999284744 8.97500038146973 0.591000020503998 2458186.939896 2458226.876562 0
 18 531 12 0 ZTF_i 474507404415 0 2.6367 296.239 7.35852 25.7254 3.0258e-06 0.0284241 0.190101 1.7054e-05 676 30. 0.066418 0.066341 19.5347 25.7254 2 2458229.0074074 531120344 1 -137.269022117315 46.9387877763963 -3.2530854519212 2.28868225186901 -194.567633412107 74.959052600221 -2.61313411553164 1.07119168665628 null null null null null 2458173.984468 2458332.659340 57
