obs_id,productFilename,dataURI,size
hst_skycell-p0497x09y14_wfc3_uvis_f275w_all,hst_skycell-p0497x09y14_wfc3_uvis_f275w_all_drc.fits,mast:HST/product/hst_skycell-p0497x09y14_wfc3_uvis_f275w_all_drc.fits,1718092800
hst_14779_70_wfc3_uvis_f275w_id7670,hst_14779_70_wfc3_uvis_f275w_id7670_drc.fits,mast:HST/product/hst_14779_70_wfc3_uvis_f275w_id7670_drc.fits,423475200
