obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type
icr309030,GRW+70D5824,204.705101748,70.28533626786,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57253.19423961805,57253.19508460648,18.0,3,image
icr308030,GRW+70D5824,204.7051256754,70.28533679267,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57226.90882230324,57226.910442824075,18.0,3,image
icr307030,GRW+70D5824,204.7051579584,70.28533750074,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57191.445406516206,57191.44702704861,18.0,3,image
icr306030,GRW+70D5824,204.7051908224,70.28533822154,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57155.343982488426,57155.34560262731,18.0,3,image
hst_17681_13_wfc3_uvis_f275w_ifi513,TYC-4212-455-1,269.3051490862,67.06123271794,WFC3/UVIS,F275W,17681,"Mack, Jennifer",,60635.46283412,60635.47871392,60.0,3,image
hst_17681_09_wfc3_uvis_f275w_ifi509,GD-71,88.11563727992,15.88581254982,WFC3/UVIS,F275W,17681,"Mack, Jennifer",,60630.58990598,60630.60506206,11.0,3,image
hst_16796_09_wfc3_uvis_f275w_iepr09,M31-B26-F09-UVIS,10.67052166667,41.01006388889,WFC3/UVIS,F275W,16796,"Williams, Benjamin F.",,59781.71370739,59781.72898496,1182.0,3,image
hst_15654_09_wfc3_uvis_f275w_idxr09,NGC-1365-N,53.40563833333,-36.14307222222,WFC3/UVIS,F275W,15654,"Lee, Janice",,58684.8835411,58685.02251089,2190.0,3,image
icr305030,GRW+70D5824,204.7052204319,70.28533887096,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57122.81707172454,57122.81869224537,18.0,3,image
icr304030,GRW+70D5824,204.7052684138,70.28533992333,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57070.108632986114,57070.11025315972,18.0,3,image
icr301030,GRW+70D5824,204.7053630964,70.28534199992,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,56966.09823715278,56966.099857326386,18.0,3,image
icr302030,GRW+70D5824,204.7053194361,70.28534104236,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57014.059719756944,57014.06133989583,18.0,3,image
hst_16741_17_wfc3_uvis_f275w_iepo17,ASASSN-15BA-HOST,211.2296808333,8.920438888889,WFC3/UVIS,F275W,16741,"Galbany, Lluis",,59814.27904399,59814.30135897,1650.0,3,image
hst_16741_57_wfc3_uvis_f275w_iepo57,LSQ11OT-HOST,78.94832083333,6.778155555556,WFC3/UVIS,F275W,16741,"Galbany, Lluis",,59563.70430174,59563.72661635,1650.0,3,image
hst_16691_06_wfc3_uvis_f275w_ierg06,AT2020NEH,230.333625,14.06965,WFC3/UVIS,F275W,16691,"Foley, Ryan",,60114.75270009,60114.76913544,710.0,3,image
hst_16786_1z_wfc3_uvis_f275w_ietx1z,ANY,76.24088646705,-70.5142104012,WFC3/UVIS,F275W,16786,"Murray, Claire E.",,59897.98207923,59897.98776198,491.0,3,image
icr303030,GRW+70D5824,204.7052843688,70.28534027326,WFC3/UVIS,F275W,14018,"Baggett, Sylvia M.",WFC3/UVIS contamination and stability monitor,57052.58188521991,57052.583505752315,18.0,3,image
icr862r7q,DARK,133.0941955079,28.40245690151,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57152.429387303244,57152.439804131944,900.0,2,image
icr863stq,DARK,133.0941955079,28.40245690151,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57152.48415582176,57152.49457265047,900.0,2,image
icr864v4q,DARK,133.0941955079,28.40245690151,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57152.52383174768,57152.53424857639,900.0,2,image
icr865v6q,DARK,133.0941955079,28.40245690151,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57152.55263989583,57152.56305636574,900.0,2,image
icr871j4q,DARK,261.9336644866,-5.076316280317,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57180.21082318287,57180.221240011575,900.0,2,image
icr875j2q,DARK,261.9336644866,-5.076316280317,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57180.194850960645,57180.20526778935,900.0,2,image
icr842pfq,DARK,129.3045111554,7.943984319038,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57096.59280042824,57096.60321724537,900.0,2,image
icr844prq,DARK,135.3669939691,20.37337739327,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57096.66185150463,57096.672267974536,900.0,2,image
icr843poq,DARK,129.3036675852,7.943945241414,WFC3/UVIS,F275W,14005,"Khandrika, Harish",WFC3 UVIS Unflashed Monitor,57096.61550891204,57096.625925381944,900.0,2,image
hst_16741_91_wfc3_uvis_f275w_iepo91,LSQ13RY-HOST,158.1993679167,4.195888888889,WFC3/UVIS,F275W,16741,"Galbany, Lluis",,59649.81532321,59649.83763781,1650.0,3,image
hst_16741_69_wfc3_uvis_f275w_iepo69,LSQ12FVL-HOST,75.21098083333,-38.65466666667,WFC3/UVIS,F275W,16741,"Galbany, Lluis",,59665.24215292,59665.29101827,1650.0,3,image
