fits_file,center_ra_deg,center_dec_deg,radius_arcsec,tns_name,tns_ra_deg,tns_dec_deg,sep_arcsec,tns_type,tns_redshift,tns_discoverydate
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo4j010_drc.fits,62.043912469966486,-8.84127976236029,119.38830246674914,2018ezx,62.03371,-8.83318,46.55564896246354,SN Ia,0.0329,2018-08-12 09:07:12.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo64010_drc.fits,207.50352253505432,9.641385394196876,119.36030004767673,2016brd,207.507971201,9.66572804866,89.04445114403083,,,2016-04-12 08:59:20.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo01010_drz.fits,83.19868507952282,-14.060954327697651,120.2547879773826,2024gwz,83.2094251092,-14.0532403629,46.6680719729515,,,2024-04-19 18:18:49.248
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo03010_drz.fits,27.680308438418468,-14.525742179255163,119.37387306654172,2022sgx,27.6705862802,-14.5156574037,49.659256108393315,,,2022-08-25 12:01:58.368
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo06010_drz.fits,353.32166751105484,-60.566746718575345,119.35944520983415,2018kad,353.302542,-60.574669,44.2480619228287,,,2018-12-16 20:24:00.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo0m010_drz.fits,197.23926078609614,-15.513170958961185,120.26826983667387,2019hgn,197.2386217,-15.5161693,11.01932743043605,,,2019-05-14 06:02:25.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo15010_drz.fits,163.22330986619272,-32.92435086283404,120.26826983670531,2024rlb,163.23303,-32.9342725,46.24287316151176,,,2024-08-05 17:36:53.280
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1a010_drz.fits,56.13715355383444,-44.646907321727376,120.25478797736794,2021pit,56.125875,-44.632569,59.15295987598823,SN Ia,0.003898,2021-06-10 10:33:36.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1a010_drz.fits,56.13715355383444,-44.646907321727376,120.25478797736794,2020zbv,56.11925,-44.657203,58.95829743705268,SN IIP,0.0039,2020-11-10 04:07:48.576
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1c010_drz.fits,334.87677134079325,29.387719748894376,120.24027326126397,2023wuk,334.876616851,29.3882167438,1.8536458067584627,SN Ia,0.015,2023-11-06 03:10:34.176
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1h010_drz.fits,224.17383124641174,9.3364234265995,119.36030004767049,2026pw,224.17333714363,9.3139643193034,80.87183684313754,,,2026-01-11 15:31:39.072
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1j010_drz.fits,230.38144718370873,-7.4387841676362365,119.36030004759762,2022frl,230.388083,-7.447789,40.1496189064605,SN Ib-pec,0.006,2022-04-02 09:36:00.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1u010_drz.fits,31.086989053107903,-8.743778063047449,119.38830246674503,2025yn,31.0779519,-8.7409293,33.751587180198655,SN II,0.017,2025-01-21 06:37:40.224
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1w010_drz.fits,138.8331424352353,-25.60589258157772,119.37387306659588,2025qah,138.820835401,-25.5999885091,45.25662996939187,,,2025-03-25 07:03:19.008
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo1y010_drz.fits,208.35979109856146,5.210310442236443,120.25478797735018,2013jo,208.3482023,5.1956629,67.13264546255833,,,2013-05-03 07:20:38.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo25010_drz.fits,148.4611995308854,9.183868884329048,119.38830246673574,2024jcv,148.453252,9.194848,48.57910887551465,,,2024-05-18 18:52:32.736
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo29010_drz.fits,189.57296850717506,-15.119530512206932,119.37387306658162,2019fsb,189.541173639,-15.1294143198,116.08438259409606,,,2019-05-01 09:01:26.000
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo2z010_drz.fits,32.33145871843787,-23.425111701131478,119.373873066543,2021bxu,32.3185608926,-23.4126115112,61.97129071898513,SN IIb,0.0178,2021-02-06 06:38:52.800
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/16741/drz/MAST_2025-09-30T13_17_04.941Z/HST/iepo3a010_drz.fits,210.8533243224042,-6.0591912408747195,120.26826983673214,2021pfs,210.84825,-6.031639,100.83786549233503,SN Ia,0.008733,2021-06-09 05:14:26.002
