targname,matched_snname,cubename,rasn,decsn,sntype,fits_subfolder,fits_filename,fits_relpath,redshift,redshift_source
ASASSN-15HG-HOST,ASASSN-15hg,ASASSN-15hg,09:53:48.62,+09:11:37.78,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo25010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo25010_drc.fits,0.030008,corez_zobs
ASASSN-15HO-HOST,ASASSN-15ho,ASASSN-15ho,09:09:23.89,-04:43:30.98,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0u010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0u010_drc.fits,0.041378,corez_zobs
ASASSN-15HX-HOST,ASASSN-15hx,ASASSN-15hx,13:43:16.692,-31:33:21.55,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo26010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo26010_drc.fits,0.008188,corez_zobs
ARP10-HOST,SN2000dx,Arp10,02:18:26.880,+05:39:02.02,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0j010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0j010_drc.fits,0.030369,corez_zobs
ARP303-HOST,SN2023abqf,Arp303,09:46:20.11,+03:04:16.58,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0k010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0k010_drc.fits,0.019932,corez_zobs
CSP12J-HOST,CSP12J,CSP12J,06:07:01.59,-69:21:17.10,Ia-91bg,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo28010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo28010_drc.fits,0.014756,corez_zobs
CSP12N-HOST,CSP12N,CSP12N,12:38:16.19,-15:06:32.15,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo29010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo29010_drc.fits,0.097314,corez_zobs
CSP13Q-HOST,CSP13Q,CSP13Q,02:02:21.56,-65:44:08.66,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo37010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo37010_drc.fits,0.089079,corez_zobs
CSP13V-HOST,CSP13V,CSP13V,10:13:10.00,-16:31:54.00,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g20010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g20010_drc.fits,0.055605,corez_zobs
CSP13AAD-HOST,CSP13aad,CSP13aad,01:46:09.34,-67:28:00.10,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo30010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo30010_drc.fits,0.086723,corez_zobs
CSP13AAF-HOST,CSP13aaf,CSP13aaf,09:55:08.22,+06:48:31.40,Ia-91T,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g18010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g18010_drc.fits,0.077753,corez_zobs
CSP13AAM-HOST,CSP13aam,CSP13aam,05:14:47.50,-66:50:29.10,Ia-91T,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0w010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0w010_drc.fits,0.07491,corez_zobs
CSP13AAO-HOST,CSP13aao,CSP13aao,05:58:30.38,-63:33:38.30,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo32010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo32010_drc.fits,0.06148,corez_zobs
CSP13AAQ-HOST,CSP13aaq,CSP13aaq,04:19:47.21,-63:43:22.04,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo33010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo33010_drc.fits,0.059722,corez_zobs
CSP13AAY-HOST,CSP13aay,CSP13aay,03:25:33.51,-53:44:19.00,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo34010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo34010_drc.fits,0.059555,corez_zobs
CSP13ABL-HOST,CSP13abl,CSP13abl,06:38:06.97,-75:43:37.21,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo35010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo35010_drc.fits,0.040023,corez_zobs
CSP13ABM-HOST,CSP13abm,CSP13abm,03:05:59.89,+04:32:38.20,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo36010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo36010_drc.fits,0.028157,corez_zobs
CSP14AAL-HOST,CSP14aal,CSP14aal,09:57:39.11,+12:33:17.70,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0z010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0z010_drc.fits,0.077313,corez_zobs
CSP14AAQ-HOST,CSP14aaq,CSP14aaq,06:13:48.04,-67:55:15.00,Ia-pec,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo40010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo40010_drc.fits,0.036521,corez_zobs
CSP14AAR-HOST,CSP14aar,CSP14aar,05:48:23.49,-66:47:29.70,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1a010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1a010_drc.fits,0.041974,corez_zobs
CSP14ABN-HOST,SN2014bz,CSP14abn,13:56:04.19,-43:35:09.90,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1b010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1b010_drc.fits,0.022516,corez_zobs
CSP14ACL-HOST,CSP14acl,CSP14acl,01:01:07.04,-10:18:39.90,Ia-91T,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1c010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1c010_drc.fits,0.029613,corez_zobs
CSS121006232854085452-HOST,CSS121006:232854+085452,CSS121006232854085452,23:28:54.48,+08:54:51.60,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1e010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1e010_drc.fits,0.075645,corez_zobs
CSS121114090202101800-HOST,CSS121114:090202+101800,CSS121114_090202+101800,09:02:02.34,+10:18:00.10,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo44010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo44010_drc.fits,0.037193,corez_zobs
CSS130317082848+293031-HOST,CSS130317:082848+293031,CSS130317_082848+293031,08:28:47.78,+29:30:30.80,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1f010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1f010_drc.fits,0.078281,corez_zobs
SN2020XYW-HOST,SN2020xyw,ESO123-11,07:28:08.020,-62:21:28.91,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g71010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g71010_drc.fits,0.010807,corez_zobs
