targname,matched_snname,cubename,rasn,decsn,sntype,fits_subfolder,fits_filename,fits_relpath,redshift,redshift_source
LSQ12HXX-HOST,LSQ12hxx,LSQ12hxx,03:19:44.23,-27:00:25.68,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g39010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g39010_drc.fits,0.06931,corez_zobs
LSQ12HZJ-HOST,LSQ12hzj,LSQ12hzj,09:59:12.43,-09:00:08.25,Ia-91T,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g40010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g40010_drc.fits,0.033429,corez_zobs
LSQ12HZS-HOST,LSQ12hzs,LSQ12hzs,04:01:53.21,-26:39:50.15,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g41010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g41010_drc.fits,0.072065,corez_zobs
LSQ13CMT-HOST,LSQ13cmt,LSQ13cmt,01:02:41.95,-21:52:23.40,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1w010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1w010_drc.fits,0.056896,corez_zobs
LSQ13CRF-HOST,LSQ13crf,LSQ13crf,03:10:50.23,+01:25:18.90,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo82010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo82010_drc.fits,0.048844,corez_zobs
LSQ13CWP-HOST,LSQ13cwp,LSQ13cwp,04:03:50.65,-02:39:17.98,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo83010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo83010_drc.fits,0.066253,corez_zobs
LSQ13DBY-HOST,LSQ13dby,LSQ13dby,03:26:42.84,-34:38:05.49,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1x010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1x010_drc.fits,0.1,corez_zobs
LSQ13DCY-HOST,LSQ13dcy,LSQ13dcy,04:55:16.42,-20:00:05.40,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo84010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo84010_drc.fits,0.079911,corez_zobs
LSQ13DHJ-HOST,LSQ13dhj,LSQ13dhj,02:12:34.48,-37:20:22.81,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g44010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g44010_drc.fits,0.093442,corez_zobs
LSQ13DKP-HOST,LSQ13dkp,LSQ13dkp,03:10:09.97,-36:37:44.91,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g45010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g45010_drc.fits,0.069111,corez_zobs
LSQ13DQH-HOST,LSQ13dqh,LSQ13dqh,04:22:05.90,-02:53:24.24,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo87010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo87010_drc.fits,0.103938,corez_zobs
LSQ13DSM-HOST,LSQ13dsm,LSQ13dsm,03:33:12.83,-26:12:24.02,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo88010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo88010_drc.fits,0.04258,corez_zobs
LSQ13LQ-HOST,LSQ13lq,LSQ13lq,13:44:10.81,+03:03:43.42,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo89010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo89010_drc.fits,0.075574,corez_zobs
LSQ13PF-HOST,LSQ13pf,LSQ13pf,13:48:14.35,-11:38:38.58,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo90010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo90010_drc.fits,0.086209,corez_zobs
LSQ13RY-HOST,LSQ13ry,LSQ13ry,10:32:48.00,+04:11:51.75,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo91010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo91010_drc.fits,0.029911,corez_zobs
LSQ14ACT-HOST,LSQ14act,LSQ14act,15:59:44.65,-10:26:40.80,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo92010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo92010_drc.fits,0.058822,corez_zobs
LSQ14AEG-HOST,LSQ14aeg,LSQ14aeg,10:19:36.79,+19:33:20.30,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1y010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1y010_drc.fits,0.064615,corez_zobs
LSQ14AGE-HOST,LSQ14age,LSQ14age,13:24:08.62,-13:26:26.00,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g50010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g50010_drc.fits,0.080404,corez_zobs
LSQ14AHC-HOST,LSQ14ahc,LSQ14ahc,13:43:48.25,-32:54:35.12,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo94010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo94010_drc.fits,0.050859,corez_zobs
LSQ14BJJ-HOST,LSQ14bjj,LSQ14bjj,14:20:49.08,-05:15:02.25,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo99010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo99010_drc.fits,0.080975,corez_zobs
LSQ14FMG-HOST,LSQ14fmg,LSQ14fmg,22:16:46.10,+15:21:14.10,Ia-03fg,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g1z010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1z010_drc.fits,0.065923,corez_zobs
LSQ14FMS-HOST,LSQ14fms,LSQ14fms,00:14:59.82,-51:12:39.54,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g54010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g54010_drc.fits,0.076367,corez_zobs
LSQ14FOJ-HOST,LSQ14foj,LSQ14foj,00:26:34.67,-32:48:33.09,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0b010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0b010_drc.fits,0.046111,corez_zobs
LSQ14GDE-HOST,LSQ14gde,LSQ14gde,01:00:42.49,-14:59:33.30,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2a010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2a010_drc.fits,0.055595,corez_zobs
LSQ14GFB-HOST,LSQ14gfb,LSQ14gfb,05:10:05.76,-36:18:43.57,Ia-91bg,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0c010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0c010_drc.fits,0.053295,corez_zobs
LSQ14GFN-HOST,LSQ14gfn,LSQ14gfn,03:28:32.16,-04:12:14.22,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0d010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0d010_drc.fits,0.121436,corez_zobs
LSQ14GHV-HOST,LSQ14ghv,LSQ14ghv,03:23:44.15,-31:35:03.17,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g58010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g58010_drc.fits,0.067037,corez_zobs
LSQ14GOV-HOST,LSQ14gov,LSQ14gov,04:06:01.33,-16:01:41.49,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0f010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0f010_drc.fits,0.089588,corez_zobs
LSQ14IE-HOST,LSQ14ie,LSQ14ie,12:55:33.46,-32:56:40.37,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0g010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0g010_drc.fits,0.089497,corez_zobs
LSQ14IP-HOST,LSQ14ip,LSQ14ip,09:44:20.22,+04:35:52.56,Ia-91bg,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0h010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0h010_drc.fits,0.061451,corez_zobs
LSQ14MC-HOST,LSQ14mc,LSQ14mc,09:02:13.45,+17:03:37.01,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0i010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0i010_drc.fits,0.056668,corez_zobs
LSQ14WP-HOST,LSQ14wp,LSQ14wp,10:14:05.72,+06:40:30.54,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g61010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g61010_drc.fits,0.06962,corez_zobs
LSQ14XI-HOST,LSQ14xi,LSQ14xi,12:30:41.17,-13:46:21.91,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0k010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0k010_drc.fits,0.05036,corez_zobs
LSQ15AJA-HOST,LSQ15aja,LSQ15aja,17:03:08.91,+12:27:41.60,Ia-91T,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2b010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2b010_drc.fits,0.070007,corez_zobs
LSQ15ALQ-HOST,LSQ15alq,LSQ15alq,13:09:18.56,-25:52:20.24,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0l010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0l010_drc.fits,0.046968,corez_zobs
NGC0307-HOST,SN2008ee,NGC0307,00:56:32.959,-01:46:16.00,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2c010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2c010_drc.fits,0.013253,corez_zobs
NGC0410-HOST,SN1995Y,NGC0410,01:10:59.599,+33:08:40.70,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2d010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2d010_drc.fits,0.017501,corez_zobs
NGC0863-HOST,SN2018djd,NGC0863,02:14:33.830,-00:45:56.77,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2e010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2e010_drc.fits,0.026401,corez_zobs
NGC1060-HOST,SN2004fd,NGC1060,02:43:15.250,+32:25:25.61,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2f010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2f010_drc.fits,0.017265,corez_zobs
SN2012EC-HOST,SN2012ec,NGC1084,02:45:59.880,-07:34:27.01,II,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g4x010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g4x010_drc.fits,0.00465,corez_zobs
NGC2369-HOST,SN2008cm,NGC2369,07:16:38.750,-62:18:52.88,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2i010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2i010_drc.fits,0.010608,corez_zobs
SN2016GWL-HOST,SN2016gwl,NGC2865,09:23:28.020,-23:10:10.74,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g74010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g74010_drc.fits,0.008985,corez_zobs
NGC4277-HOST,SN2020ftl,NGC4277,12:20:03.754,+05:20:33.67,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2l010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2l010_drc.fits,0.007349,corez_zobs
NGC4981-HOST,SN1968I,NGC4981,13:08:48.87,-06:46:40.80,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g29010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g29010_drc.fits,0.005536,corez_zobs
NGC5419-HOST,SN2018zz,NGC5419,14:03:39.060,-33:58:42.60,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2m010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2m010_drc.fits,0.013935,corez_zobs
SN2017CBV-HOST,SN2017cbv,NGC5643,14:32:34.420,-44:08:02.74,-,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g97010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g97010_drc.fits,0.003939,corez_zobs
NGC5728-HOST,SN2009Y,NGC5728,14:42:23.849,-17:14:48.41,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g30010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g30010_drc.fits,0.0102,corez_zobs
NGC6240-HOST,PS1-14xw,NGC6240,16:52:57.63,+02:23:36.50,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0n010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0n010_drc.fits,0.023947,corez_zobs
NGC6754-HOST,SN2000do,NGC6754,19:11:26.191,-50:38:24.50,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2n010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2n010_drc.fits,0.010758,corez_zobs
NGC6769-HOST,SN1997de,NGC6769,19:18:20.820,-60:29:42.00,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2o010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2o010_drc.fits,0.012668,corez_zobs
NGC7130-HOST,SN2017hgz,NGC7130,21:48:20.120,-34:57:10.40,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2p010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2p010_drc.fits,0.016161,corez_zobs
NGC7448-HOST,SN2022wsp,NGC7448,23:00:03.526,+15:58:42.60,II,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2q010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2q010_drc.fits,0.007291,corez_zobs
NGC7541-HOST,SN1998dh,NGC7541,23:14:40.310,+04:32:14.10,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2r010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2r010_drc.fits,0.008884,corez_zobs
SN2011HB-HOST,SN2011hb,NGC7674,23:27:55.510,+08:46:45.70,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo3d010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo3d010_drc.fits,0.029135,corez_zobs
OGLE16EUO-HOST,OGLE16euo,OGLE16euo,02:50:19.15,-75:23:29.40,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2s010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2s010_drc.fits,0.058602,corez_zobs
PGC019085-HOST,SN2018hnq,PGC019085,06:27:38.610,-54:27:24.08,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2t010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2t010_drc.fits,0.048834,corez_zobs
PS1-13EAO-HOST,PS1-13eao,PS1-13eao,03:29:56.35,-28:46:17.70,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0o010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0o010_drc.fits,0.037067,corez_zobs
PS15MB-HOST,PS15mb,PS15mb,08:59:40.13,+15:11:12.40,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo3k010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo3k010_drc.fits,0.028765,corez_zobs
PS15MT-HOST,PS15mt,PS15mt,09:54:44.17,+23:11:53.10,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2u010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2u010_drc.fits,0.071122,corez_zobs
PSNJ072500422347030-HOST,PSNJ07250042+2347030,PSNJ07250042+2347030,07:25:00.42,+23:47:03.00,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0s010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0s010_drc.fits,0.018463,corez_zobs
PSNJ102927992200468-HOST,iPTF14hvh,PSNJ10292799+2200468,10:29:27.99,+22:00:46.80,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0t010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0t010_drc.fits,0.054421,corez_zobs
PTF11PRA-HOST,SN2011hk,PTF11pra,02:18:45.790,-06:38:30.08,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0u010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0u010_drc.fits,0.017326,corez_zobs
PTF11QMO-HOST,PTF11qmo,PTF11qmo,10:06:49.76,-07:41:12.30,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g31010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g31010_drc.fits,0.055339,corez_zobs
PTF12IIQ-HOST,PTF12iiq,PTF12iiq,02:50:07.76,-00:15:54.40,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0w010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0w010_drc.fits,0.029754,corez_zobs
PTF12JGB-HOST,PTF12jgb,PTF12jgb,04:15:01.44,-15:20:53.70,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g2x010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2x010_drc.fits,0.028229,corez_zobs
SN1986G-HOST,SN1986G,SN1986G,13:25:36.509,-43:01:54.19,Ia-86G,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0x010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0x010_drc.fits,0.00183,corez_zobs
SN1991BJ-HOST,SN1991bj,SN1991bj,03:41:30.480,-04:39:49.61,Ia-02cx,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g32010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g32010_drc.fits,0.01814,corez_zobs
SN2001DA-HOST,SN2001da,SN2001da,23:53:32.779,+08:07:02.60,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0z010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0z010_drc.fits,0.017234,corez_zobs
SN2001EL-HOST,SN2001el,SN2001el,03:44:30.571,-44:38:23.71,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1a010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1a010_drc.fits,0.003669,corez_zobs
SN2002HA-HOST,SN2002ha,SN2002ha,20:47:18.581,+00:18:45.61,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo2g010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo2g010_drc.fits,0.013774,corez_zobs
SN2002JG-HOST,SN2002jg,SN2002jg,22:19:28.800,+29:23:04.49,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1c010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1c010_drc.fits,0.015207,corez_zobs
SN2004CS-HOST,SN2004cs,SN2004cs,17:50:14.381,+14:16:59.48,Ia-02cx,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g37010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g37010_drc.fits,0.01403,corez_zobs
SN2004EY-HOST,SN2004ey,SN2004ey,21:49:07.810,+00:26:39.19,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1e010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1e010_drc.fits,0.015855,corez_zobs
SN2004GC-HOST,SN2004gc,SN2004gc,05:21:49.949,+06:40:33.71,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1f010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1f010_drc.fits,0.031487,corez_zobs
SN2004GS-HOST,SN2004gs,SN2004gs,08:38:23.179,+17:37:39.79,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g67010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g67010_drc.fits,0.027573,corez_zobs
SN2005M-HOST,SN2005M,SN2005M,09:37:32.359,+23:12:02.70,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1p010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1p010_drc.fits,0.024425,corez_zobs
SN2005AG-HOST,SN2005ag,SN2005ag,14:56:43.649,+09:19:42.49,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1h010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1h010_drc.fits,0.079358,corez_zobs
SN2005AL-HOST,SN2005al,SN2005al,13:50:00.329,-30:34:34.21,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo3j010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo3j010_drc.fits,0.012373,corez_zobs
SN2005BE-HOST,SN2005be,SN2005be,14:59:32.719,+16:40:11.60,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g3a010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g3a010_drc.fits,0.033838,corez_zobs
SN2005BS-HOST,SN2005bs,SN2005bs,20:10:14.110,-56:38:43.58,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g3b010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g3b010_drc.fits,0.052189,corez_zobs
SN2005CF-HOST,SN2005cf,SN2005cf,15:21:32.210,-07:24:47.48,-,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1j010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1j010_drc.fits,0.006687,corez_zobs
SN2005CF-B-HOST,SN2005cf_B,SN2005cf_B,15:21:32.210,-07:24:47.48,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g43010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g43010_drc.fits,0.006685,corez_zobs
SN2005EL-HOST,SN2005el,SN2005el,05:11:48.72,+05:11:39.40,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1k010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1k010_drc.fits,0.014818,corez_zobs
SN2005GJ-HOST,SN2005gj,SN2005gj,03:01:11.950,-00:33:13.90,Ia-CSM,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g3c010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g3c010_drc.fits,0.061661,corez_zobs
SN2005HJ-HOST,SN2005hj,SN2005hj,01:26:48.269,-01:14:16.80,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g3e010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g3e010_drc.fits,0.05739,corez_zobs
SN2005HK-HOST,SN2005hk,SN2005hk,00:27:50.870,-01:11:52.51,Ia-02cx,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g46010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g46010_drc.fits,0.013015,corez_zobs
