fits_file,tns_name,tns_type,sep_arcsec,tns_ra_deg,tns_dec_deg,center_ra_deg,center_dec_deg,radius_arcsec
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0k010_drc.fits,2020jsh,SN Ia,41.44273886123415,146.589292,3.073269,146.59513562371663,3.0633456390064535,119.38830246672488
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0p010_drc.fits,2022csd,SN II,40.07301594971836,155.3830965,8.4055295,155.38839112613866,8.395707424278086,119.38830246675808
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0q010_drc.fits,2016iye,SN IIb,32.04299371564888,116.332167,-71.404972,116.3554662762478,-71.40987504156561,119.34501889717896
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g11010_drc.fits,2022oor,SN II,32.733650356696,226.124192214,2.33856133877,226.13329009156857,2.338769403260401,119.3738730665414
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g15010_drc.fits,2022vqz,SN Ia-pec,41.44836691532383,12.7740909222,29.5367102276,12.78198691161126,29.545949761388624,119.3883024667313
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g17010_drc.fits,2022crr,SN Ic-BL,41.45793143931797,231.204715446,-21.3893701875,231.21097061399357,-21.399304965586072,119.38830246672296
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1d010_drc.fits,2021agbn,SN II,25.336662730714785,59.303542,-25.403381,59.298540965437745,-25.408777865262117,119.37387306655668
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1i010_drc.fits,2020ejm,SN Ia,12.104841376858523,154.078542,-33.563658,154.07647615263795,-33.560769618388,120.2547879773282
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1j010_drc.fits,2017dps,SN Ia,49.291009866257625,204.16675,-33.967019,204.1600660555835,-33.95449958690083,119.3603000475929
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g1k010_drc.fits,2018kcw,SN II,27.968577315789663,334.033067059,-36.8489223529,334.0356370781993,-36.84143047785596,120.26826983671496
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2e010_drc.fits,2018djd,SN Ia,41.4397997354414,33.64096,-0.76577,33.651155595756876,-0.7711153646051319,119.38830246674378
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2g010_drc.fits,2021adlv,SN Ia,12.870893255889753,127.765958,-4.194219,127.76704542754052,-4.197625791885285,120.2402732612938
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2l010_drc.fits,2020ftl,SN Ia,58.82960524433737,185.015708,5.343289,184.99932781841784,5.342258252008648,120.2402732613063
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2m010_drc.fits,2020alh,SN Ia,35.06654063612413,210.91151338,-33.9770522535,210.9038086642612,-33.96969999969161,119.36030004762956
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2p010_drc.fits,2017hgz,SN Ia,27.65456183872804,327.083833,-34.952889,327.08801294466434,-34.95976461221894,119.30343998876856
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2q010_drc.fits,2022wsp,SN II,45.90723872739272,345.014691598,15.9784993196,345.009792930229,15.990349913171018,119.40273340979996
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g2r010_drc.fits,2017jmk,SN II,104.41849202828756,348.688042,4.530731,348.6618131478578,4.543286874686936,119.36030004764883
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g34010_drc.fits,2021cgu,SN II,35.91329249500221,165.765458,5.098169,165.76297840665137,5.107834357281172,119.37387306660143
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g3d010_drc.fits,2021abze,SN II,42.4555054009916,10.8843865335,14.3427825741,10.894836436316066,14.348830963367272,119.38830246674036
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g42010_drc.fits,2021dbg,SN II,40.59567433226984,141.111625,-6.581431,141.1194479590457,-6.589602133471266,119.38830246675064
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g48010_drc.fits,2017fzw,SN Ia-91bg-like,69.84739753742932,95.395083,-27.214881,95.40678701212704,-27.231255428368303,120.25478797737806
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g4d010_drc.fits,2021adxd,SN IIP,32.57464771634296,9.84546011341,2.80403574116,9.83649211568741,2.805317602396042,119.36030004764038
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g4l010_drc.fits,2024jhk,SN Ia-91bg-like,28.71533947210969,162.8511933,8.558317,162.8493246613313,8.566076502141346,119.388302466748
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g4o010_drc.fits,2025ktz,SN II,27.438262168092503,197.7396447,11.4739339,197.7375621113135,11.481277296195543,120.19879508486711
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g4r010_drc.fits,2025tam,SN II,56.26685110606855,283.893006,-53.722989,283.9174743548431,-53.72888079223637,119.3594452098034
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g4y010_drc.fits,2018oh,SN Ia,41.306973215832656,136.664917,19.338089,136.67340576207883,19.3298734264869,119.3883024667255
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g4z010_drc.fits,2017fgc,SN Ia,76.30054776407805,20.060167,3.402767,20.040490550432754,3.410730379266846,120.26826983668369
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g5a010_drc.fits,2018xx,SN Ia,47.15435410626112,193.451125,-39.6971,193.45950084547636,-39.708503611611526,120.2402732613237
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g5b010_drc.fits,2018yu,SN Ia,46.668086826588855,80.63487875,-11.4871825,80.64215952937217,-11.498005772183689,120.2682698366798
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g64010_drc.fits,2017cyy,SN Ia,48.75181036328199,144.150833,-63.948389,144.14394810128283,-63.9351888787192,119.34587055014316
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g70010_drc.fits,2017erp,SN Ia,45.26271523911629,227.311667,-11.334181,227.3132986305196,-11.321710224804956,120.25478797736442
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g71010_drc.fits,2020xyw,SN Ia,28.398856334518065,112.033417,-62.358031,112.04970338630358,-62.3602983575071,120.2547879773732
/Users/lluisgalbany/Downloads/HST_UV/data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g72010_drc.fits,2021gvm,SN II,56.27415347674189,202.505101233,13.4111881762,202.5209817294976,13.41358174178903,119.38830246674512
