cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb,notes
LSQ12fmx,0.067283,0.067362,0.067298,0.067314,0.067243,0.000195,0.066592,
SN2011ha,0.093931,0.093974,0.093983,0.093963,0.093915,0.000192,0.093464,
LSQ13cwp,0.066225,0.066334,0.066200,0.066253,0.066272,0.000202,0.065896,
SN2014dm,0.033318,0.033264,0.033228,0.033270,0.033287,0.000196,0.032965,
LSQ12fuk,0.020434,0.020433,0.020392,0.020420,0.020451,0.000192,0.020422,
iPTF13dge,0.015845,0.015938,0.015895,0.015892,0.015871,0.000196,0.015821,
PSNJ07250042+2347030,0.018471,0.018542,0.018378,0.018463,0.018499,0.000207,0.019065,
CSS130317_082848+293031,0.078187,0.078328,0.078328,0.078281,0.078337,0.000203,0.079130,
PS15mb,0.028684,0.028808,0.028804,0.028765,0.028842,0.000200,0.029824,
CSS121114_090202+101800,0.037182,0.037199,0.037197,0.037193,0.037265,0.000191,0.038295,
ASASSN-15ho,0.041341,0.041421,0.041373,0.041378,0.041451,0.000195,0.042561,
ASASSN-15hg,0.030015,0.030003,0.030006,0.030008,0.030081,0.000191,0.031234,
PS15mt,0.071104,0.071122,0.071140,0.071122,0.071187,0.000191,0.072265,
PTF11qmo,0.055279,0.055379,0.055360,0.055339,0.055418,0.000197,0.056673,
LSQ14aeg,0.064608,0.064606,0.064630,0.064615,0.064688,0.000191,0.065835,
PSNJ10292799+2200468,0.054442,0.054344,0.054476,0.054421,0.054472,0.000202,0.055594,
PS15aez,0.052578,0.052706,0.052657,0.052647,0.052719,0.000201,0.053989,
LSQ14ahm,0.049839,0.049917,0.049844,0.049867,0.049960,0.000194,0.051244,
PTF11qpc,0.088806,0.088819,0.088817,0.088814,0.088902,0.000191,0.090138,
LSQ14xi,0.050306,0.050447,0.050326,0.050360,0.050459,0.000203,0.051677,
PTF11qri,0.067338,0.067358,0.067424,0.067373,0.067473,0.000195,0.068685,
SN2011jh,0.007868,0.007863,0.007864,0.007865,0.007965,0.000190,0.009108,
SN2013cs,0.009176,0.009232,0.009251,0.009220,0.009306,0.000194,0.010367,
LSQ14age,0.080365,0.080451,0.080395,0.080404,0.080491,0.000195,0.081612,
PS1-14ra,0.028062,0.028094,0.028096,0.028084,0.028171,0.000191,0.028907,
LSQ14act,0.058776,0.058812,0.058878,0.058822,0.058922,0.000197,0.059348,
iPTF14gnl,0.053556,0.053569,0.053567,0.053564,0.053554,0.000191,0.052337,
SN2014dk,0.037963,0.037983,0.037984,0.037977,0.037976,0.000191,0.036761
LSQ14gde,0.055565,0.055614,0.055606,0.055595,0.055592,0.000192,0.054519,
LSQ13cmt,0.056826,0.057045,0.056817,0.056896,0.056984,0.000222,0.055977,
PTF11pra,0.017253,0.017278,0.017447,0.017326,0.017358,0.000214,0.016525,
SN2012fk,0.031362,0.031755,0.031891,0.031669,0.031750,0.000326,0.030934,
ASASSN-15be,0.021489,0.021576,0.021502,0.021522,0.021583,0.000195,0.021078,
SN2009ku,0.079058,0.079141,0.079066,0.079088,0.079157,0.000195,0.078730,
PS1-13eao,0.037030,0.037095,0.037076,0.037067,0.037136,0.000193,0.036730,
SN2005ke,0.004941,0.004987,0.004913,0.004947,0.005008,0.000194,0.004613,
LSQ12fvl,0.055874,0.055887,0.055869,0.055877,0.055921,0.000191,0.055971,
LSQ12gln,0.101970,0.102036,0.101977,0.101994,0.102044,0.000193,0.102189,
ASASSN-15hf,0.005952,0.005983,0.005881,0.005938,0.005881,0.000197,0.006961,
SN2015H,0.012394,0.012424,0.012490,0.012436,0.012525,0.000196,0.013738,
LSQ14asu,0.077650,0.077660,0.077436,0.077582,0.077512,0.000221,0.078804,
LSQ15alq,0.046920,0.046920,0.047065,0.046968,0.046891,0.000204,0.047969,
SN2007ca,0.014105,0.014165,0.014124,0.014131,0.014033,0.000193,0.015061,
ASASSN-15hx,0.008167,0.008227,0.008169,0.008188,0.008224,0.000193,0.009137,
SN2013M,0.034952,0.034980,0.034934,0.034956,0.034977,0.000192,0.035819,
ASASSN-15bm,0.020660,0.020662,0.020811,0.020711,0.020615,0.000205,0.021283,
SN2005cf,nan,nan,nan,0.006687,0.006774,0.001000,0.007362,
iPTF14aje,0.027585,0.027573,0.027573,0.027577,0.027483,0.000191,0.028055,
iPTF13asv,0.036072,0.036213,0.036089,0.036125,0.036056,0.000203,0.036262,
LSQ15aja,0.069986,0.070067,0.069968,0.070007,0.069942,0.000197,0.069957,
SN2014cr,0.018971,0.019037,0.019012,0.019007,0.019035,0.000193,0.018591,
ASASSN-15hy,0.018397,0.018444,0.018364,0.018402,0.018415,0.000195,0.017541,
SN2012bl,0.018575,0.018604,0.018603,0.018594,0.018682,0.000191,0.018179,
SN2009jr,0.016527,0.016527,0.016527,0.016527,0.016544,0.000190,0.015601,
SN2011gf,0.027633,0.027684,0.027624,0.027647,0.027670,0.000193,0.026608,
SN2010dl,0.030140,0.030113,0.030209,0.030154,0.030177,0.000196,0.029025,
SN2007cq,0.025941,0.025995,0.025962,0.025966,0.026006,0.000192,0.024777,
LSQ14fmg,0.065947,0.065909,0.065912,0.065923,0.065967,0.000191,0.064699,
PTF11qnr,0.016098,0.016148,0.016279,0.016175,0.016223,0.000211,0.014985,
LSQ12fhs,0.032995,0.033051,0.033018,0.033021,0.033062,0.000192,0.031934,
SN2011io,0.041324,0.041456,0.041445,0.041409,0.041466,0.000201,0.040180,
CSS121006232854085452,0.075591,0.075717,0.075626,0.075645,0.075623,0.000201,0.074297,
iPTF13dkl,0.051701,0.051794,0.051776,0.051757,0.051739,0.000196,0.050454,
SN2016gkg_A,nan,nan,nan,0.004920,0.004849,0.001000,0.004049,
SN2016gkg_B,0.004895,0.004862,0.004839,0.004866,0.004909,0.000193,0.004109,
SN2016jga,0.024316,0.024373,0.024309,0.024333,0.024288,0.000193,0.023962,
SN2016ecm,0.059572,0.059648,0.059599,0.059606,0.059553,0.000194,0.058987,
SN2016iae,nan,nan,nan,0.004000,0.004039,0.001000,0.003853,
SN2016hmq,0.017302,0.017327,0.017327,0.017319,0.017308,0.000191,0.017076,
SN2017pn_A,0.013958,0.014003,0.013951,0.013971,0.013966,0.000192,0.013862,
SN2016iaf,0.062176,0.062235,0.062218,0.062210,0.062175,0.000193,0.062424,
SN2016iyz,0.010399,0.010461,0.010395,0.010418,0.010395,0.000193,0.010650,
SN2016jbu,nan,nan,nan,0.004890,0.004901,0.001000,0.005297,
SN2016iyd_A,0.034725,0.034797,0.034723,0.034748,0.034780,0.000194,0.035363,
SN2016bas,0.009426,0.009418,0.009419,0.009421,0.009449,0.000191,0.009995,
SN2016bev,nan,nan,nan,0.011000,0.011026,0.001000,0.011814,
SN2016bsb,0.023297,0.023347,0.023338,0.023327,0.023335,0.000192,0.024530,
SN2016ase,0.014092,0.014177,0.014118,0.014129,0.014220,0.000195,0.015398,
SN2016hwn,0.021567,0.021610,0.021521,0.021566,0.021542,0.000196,0.022621,
SN2016cdd,0.008646,0.008687,0.008686,0.008673,0.008729,0.000192,0.009570,
SN2016aiy,0.010048,0.010100,0.010057,0.010068,0.010096,0.000192,0.011004,
SMT16atf,0.012862,0.012922,0.012887,0.012890,0.012921,0.000193,0.013871,
SN2016blt,0.016610,0.016625,0.016623,0.016619,0.016669,0.000191,0.017368,
SN2017bif_A,0.018874,0.018934,0.018870,0.018893,0.018816,0.000193,0.018911,
SN2016bmi,nan,nan,nan,0.007455,0.007374,0.001000,0.007276,
SN2016hbb,0.013255,0.013297,0.013295,0.013282,0.013212,0.000192,0.012743,
SN2016css,0.020228,0.020107,0.020176,0.020170,0.020079,0.000200,0.019449,
SN2016ieq,0.065412,0.065440,0.065441,0.065431,0.065351,0.000191,0.064248,
SN2017gaw,0.038304,0.038321,0.038319,0.038315,0.038412,0.000191,0.037321,
SN2017ful,0.079163,0.079243,0.079210,0.079205,0.079287,0.000195,0.078393,
SN2017eul,0.025875,0.025873,0.025873,0.025874,0.025969,0.000190,0.024969,
SN2017giu,0.054323,0.054321,0.054321,0.054322,0.054406,0.000190,0.053537,
SN2017fqo,0.015253,0.015267,0.015235,0.015252,0.015349,0.000191,0.014387,
SN2017fbu,0.010843,0.010917,0.010868,0.010876,0.010971,0.000194,0.010081,
SN2017ggw,0.018448,0.018598,0.018557,0.018534,0.018593,0.000205,0.018105,
SN2017gmr,0.005009,0.005081,0.005048,0.005046,0.005135,0.000194,0.004391,
SN2017fqk,0.010165,0.010247,0.010174,0.010195,0.010287,0.000195,0.009578,
SN2017eni,0.081424,0.081457,0.081464,0.081448,0.081499,0.000192,0.081127,
SN2017fvf,0.017541,0.017551,0.017550,0.017547,0.017634,0.000191,0.017062,
SN2017gbv,0.042579,0.042609,0.042606,0.042598,0.042647,0.000191,0.042367,
SN2017gax,nan,nan,nan,0.004723,0.004742,0.001000,0.004800,
SN2017pn_B,0.013956,0.013989,0.013980,0.013975,0.014049,0.000191,0.013945,
SN2017fvr,0.012498,0.012522,0.012523,0.012514,0.012611,0.000191,0.012428,
SN2017auf,0.013354,0.013260,0.013368,0.013327,0.013409,0.000198,0.013385,
SN2017dhu,0.041309,0.041311,0.041312,0.041310,0.041404,0.000190,0.041412,
SN2017gci,0.086804,0.086794,0.086803,0.086800,0.086851,0.000191,0.087402,
SN2017caw,0.026172,0.026172,0.026172,0.026172,0.026176,0.000190,0.026726,
SN2017mw,0.011645,0.011724,0.011725,0.011698,0.011637,0.000195,0.012619,
SN2017ahn,0.009133,0.009158,0.009162,0.009151,0.009095,0.000191,0.010112,
SN2017blh,0.033175,0.033248,0.033330,0.033251,0.033171,0.000206,0.034362,
SN2017rt,0.012243,0.012321,0.012304,0.012289,0.012205,0.000194,0.013429,
SN2017cjd,0.022567,0.022668,0.022586,0.022607,0.022514,0.000197,0.023737,
SN2017bzm,0.045196,0.045287,0.045205,0.045230,0.045140,0.000196,0.046208,
SN2017anf,0.023371,0.023470,0.023380,0.023407,0.023336,0.000197,0.024331,
SN2017dka,0.020857,0.020857,0.020857,0.020857,0.020795,0.000190,0.021683,
SN2017ewx,0.015119,0.015119,0.015167,0.015135,0.015073,0.000192,0.015963,
SN2017ecp,0.022814,0.022898,0.022849,0.022854,0.022844,0.000195,0.023684,
SN2017lt,0.042762,0.042832,0.042825,0.042806,0.042753,0.000194,0.043636,
SN2017fav,0.045520,0.045538,0.045539,0.045532,0.045480,0.000191,0.046188,
SN2017fem,0.014162,0.014254,0.014222,0.014213,0.014158,0.000196,0.014797,
SN2017aym,0.005784,0.005801,0.005849,0.005811,0.005721,0.000193,0.006485,
SN2017eca,0.036807,0.036888,0.036845,0.036847,0.036769,0.000195,0.037074,
SN2017cin,0.032788,0.032780,0.032692,0.032753,0.032738,0.000196,0.032951,
SN2017dgd,0.030041,0.030041,0.030041,0.030041,0.030049,0.000190,0.030190,
SN2017bif_B,0.018905,0.018919,0.018920,0.018914,0.018962,0.000191,0.019057,
SN2017faf,0.028748,0.028804,0.028803,0.028785,0.028738,0.000192,0.028558,
SN2017ffq,0.012607,0.012710,0.012619,0.012645,0.012723,0.000197,0.012773,
SN2017fgk,0.033713,0.033770,0.033703,0.033729,0.033753,0.000193,0.033520,
SN2017dkb,0.019200,0.019208,0.019207,0.019205,0.019204,0.000191,0.018836,
SN2017fod,0.044243,0.044288,0.044288,0.044273,0.044284,0.000192,0.043763,
SN2017fwm,0.014052,0.014085,0.014085,0.014074,0.014137,0.000191,0.013960,
SN2017fbq,0.014692,0.014739,0.014634,0.014688,0.014738,0.000198,0.014521,
SN2017dch,0.048533,0.048595,0.048561,0.048563,0.048638,0.000193,0.047845,
SN2017gfh,0.024346,0.024459,0.024462,0.024422,0.024466,0.000199,0.023598,
SN2017dek,0.062576,0.062529,0.062586,0.062564,0.062610,0.000193,0.061762,
SN2017ggv,0.026274,0.026313,0.026281,0.026289,0.026387,0.000191,0.025202,
SN2017bzb,nan,nan,nan,0.003044,0.003128,0.001000,0.002300,
SN2017gip,0.029903,0.029933,0.029886,0.029908,0.029975,0.000192,0.028792,
SN2017ffm,0.024291,0.024390,0.024372,0.024351,0.024411,0.000197,0.023170,
SN2017eiy,0.045541,0.045551,0.045550,0.045547,0.045631,0.000191,0.044619,
SN2017gat,0.022939,0.022968,0.022959,0.022955,0.023037,0.000191,0.022081,
SN2017ghw,0.076122,0.076127,0.076126,0.076125,0.076205,0.000190,0.074905,
SN2017giq,0.029803,0.029739,0.029786,0.029776,0.029856,0.000193,0.028693,
SN2008gg,0.031975,0.031924,0.031927,0.031942,0.032023,0.000192,0.031066,
SN2007st,0.021089,0.021136,0.021103,0.021109,0.021163,0.000192,0.020636,
SN2008fu,0.052434,0.052439,0.052438,0.052437,0.052513,0.000190,0.051949,
SN2006dd,0.005878,0.005880,0.005880,0.005879,0.005939,0.000190,0.005579,
SN2007on,0.006500,0.006502,0.006502,0.006501,0.006491,0.000190,0.006181,
SN2006hb,0.015092,0.015094,0.015094,0.015093,0.015166,0.000190,0.015170,
SN2008bq,0.034051,0.034055,0.034190,0.034099,0.034147,0.000203,0.034621,
SN2008O,0.038867,0.038881,0.039064,0.038937,0.038972,0.000214,0.039480,
SN2009ag,0.008614,0.008631,0.008631,0.008625,0.008688,0.000191,0.009308,
SN2007as,0.017063,0.017081,0.017081,0.017075,0.017047,0.000191,0.017390,
SN2005al,0.012373,0.012373,0.012373,0.012373,0.012354,0.000190,0.013258,
ASASSN-15db,0.011000,0.011000,0.011000,0.011000,0.010921,0.000190,0.011303,
SN2007ai,0.031806,0.031766,0.031821,0.031798,0.031799,0.000192,0.032157,
SN2008fl,0.020354,0.020473,0.020459,0.020429,0.020496,0.000199,0.020003,
SN2008cc,0.010466,0.010480,0.010513,0.010487,0.010537,0.000192,0.010270,
SN2006bh,nan,nan,nan,0.010847,0.010901,0.001000,0.010550,
SN2005iq,0.034059,0.034122,0.034152,0.034111,0.034182,0.000196,0.033054,
LSQ14foj,0.046085,0.046125,0.046123,0.046111,0.046085,0.000191,0.045147,
OGLE16euo,0.058641,0.058593,0.058573,0.058602,0.058624,0.000193,0.058588,
LSQ12gxj,0.035345,0.035410,0.035342,0.035366,0.035270,0.000193,0.034541,
LSQ12gpw,0.050742,0.050755,0.050753,0.050750,0.050728,0.000191,0.050133,
LSQ13dby,nan,nan,nan,0.100000,0.099961,0.001000,0.099562,
LSQ12hno,0.047571,0.047627,0.047610,0.047603,0.047524,0.000192,0.047043,
LSQ14gov,0.089591,0.089586,0.089587,0.089588,0.089579,0.000190,0.089259,
LSQ13dqh,0.103921,0.103947,0.103947,0.103938,0.103856,0.000191,0.103572,
iPTF13dyt,0.111412,0.111414,0.111414,0.111413,0.111321,0.000190,0.111252,
LSQ14gfb,0.053294,0.053296,0.053296,0.053295,0.053243,0.000190,0.053328,
LSQ11ot,0.027374,0.027391,0.027391,0.027385,0.027316,0.000191,0.027318,
LSQ11pn,0.033010,0.033039,0.033038,0.033029,0.032960,0.000191,0.032968,
SN2004gc,0.031488,0.031486,0.031486,0.031487,0.031393,0.000190,0.031429,
LSQ12fxd,0.031578,0.031576,0.031576,0.031577,0.031512,0.000190,0.031630,
SN2010ko,0.048178,0.048176,0.048176,0.048177,0.048096,0.000190,0.048248,
CSP12J,0.014750,0.014758,0.014760,0.014756,0.014761,0.000191,0.015008,
NGC2207,0.009187,0.009378,0.009226,0.009264,0.009329,0.000213,0.009704,
SN2012hn,0.007228,0.007294,0.007261,0.007261,0.007215,0.000193,0.007708,
SN2008hu,0.050009,0.050004,0.050005,0.050006,0.049973,0.000190,0.050877,
SN2014ao,0.013914,0.014033,0.013936,0.013961,0.013894,0.000200,0.014863,
ASASSN-15fr,0.033201,0.033215,0.033232,0.033216,0.033166,0.000191,0.034298,
LSQ12btn,0.054139,0.054147,0.054170,0.054152,0.054188,0.000191,0.055346,
ASASSN-15as,0.028716,0.028775,0.028706,0.028732,0.028716,0.000193,0.029853,
LSQ14ip,0.061407,0.061450,0.061497,0.061451,0.061443,0.000196,0.062637,
LSQ12cid,0.062713,0.062756,0.062699,0.062722,0.062681,0.000193,0.063940,
LSQ14wp,0.069603,0.069628,0.069628,0.069620,0.069573,0.000191,0.070819,
SN2008bd,0.029836,0.029870,0.029876,0.029861,0.029824,0.000191,0.031059,
LSQ13ry,0.029861,0.029989,0.029883,0.029911,0.029921,0.000201,0.031154,
SN2005ki,nan,nan,nan,0.019606,0.019563,0.001000,0.020764,
LSQ12hnr,0.124533,0.124665,0.124461,0.124553,0.124582,0.000216,0.125963,object detected but no lines
LSQ14ba,0.077551,0.077593,0.077530,0.077558,0.077597,0.000193,0.078915,
SN2007bm,0.006206,0.006247,0.006207,0.006220,0.006263,0.000192,0.007505,
CSP13af,0.049873,0.049881,0.049880,0.049878,0.049930,0.000191,0.051199,
iPTF14w,nan,nan,nan,0.018910,0.018918,0.001000,0.020132,
iPTF14yy,0.043101,0.043125,0.043126,0.043117,0.043127,0.000191,0.044297,
SN2011jn,0.047542,0.047556,0.047589,0.047562,0.047662,0.000192,0.048811,
iPTF14uo,0.091485,0.091574,0.091515,0.091525,0.091555,0.000196,0.092652,
SN2011Z,0.018363,0.018461,0.018260,0.018361,0.018413,0.000215,0.019429,
LSQ12bld,0.083536,0.083614,0.083585,0.083578,0.083655,0.000194,0.084676,
LSQ13lq,0.075510,0.075679,0.075532,0.075574,0.075619,0.000208,0.076650,
LSQ13pf,0.086163,0.086232,0.086232,0.086209,0.086295,0.000194,0.087344,
LSQ12cda,0.137566,0.137586,0.137587,0.137579,0.137656,0.000191,0.138691,
ASASSN-15ba,0.023197,0.023270,0.023207,0.023225,0.023260,0.000194,0.024142,
SN2017hcc,0.016748,0.016744,0.016745,0.016746,0.016822,0.000190,0.015660,
SN2018cho,0.016510,0.016575,0.016576,0.016554,0.016647,0.000193,0.015453,
SN2017jbj,0.013683,0.013672,0.013673,0.013676,0.013771,0.000191,0.012643,
ASASSN-15ln,0.015054,0.015043,0.015044,0.015047,0.015138,0.000191,0.014021,
SN2015ay,0.014041,0.013980,0.014012,0.014011,0.014109,0.000193,0.013019,
SN2016hgm,nan,nan,nan,0.007618,0.007716,0.001000,0.006671,
SN2018cvn,0.019796,0.019791,0.019792,0.019793,0.019872,0.000190,0.019021,
ASASSN-15kj,0.018424,0.018420,0.018421,0.018422,0.018489,0.000190,0.017864,
SN2015ap,0.011331,0.011391,0.011388,0.011370,0.011468,0.000193,0.010553,
SN2016cyx,0.013647,0.013677,0.013674,0.013666,0.013761,0.000191,0.012909,
SN2017gry,0.019369,0.019376,0.019375,0.019373,0.019406,0.000190,0.019232,
SN2018aad,0.024727,0.024742,0.024740,0.024736,0.024754,0.000191,0.024728,
SN2016eso,0.015889,0.015904,0.015903,0.015899,0.015945,0.000191,0.015959,
SN2018dfh,0.013904,0.013949,nan,0.013926,0.013993,0.000192,0.014046,
SN2016aqf,0.003929,0.004002,0.003931,0.003954,0.003933,0.000194,0.004166,
SN2015W,0.013332,0.013391,0.013386,0.013370,0.013462,0.000193,0.013965,
SN2017hpi_A,0.005655,0.005661,0.005661,0.005659,0.005593,0.000190,0.006443,
SN2018bl,0.017827,0.017827,0.017835,0.017830,0.017842,0.000191,0.018188,
SN2015an,nan,nan,nan,0.008685,0.008607,0.001000,0.009529,
SN2018ant,0.019662,0.019730,0.019728,0.019707,0.019622,0.000194,0.020609,
SN2015bj,0.011251,0.011267,0.011267,0.011262,0.011259,0.000191,0.011795,
SN2016zb,0.013884,0.013957,0.013986,0.013942,0.013856,0.000197,0.015003,
ASASSN-15jp,0.009429,0.009470,0.009471,0.009457,0.009403,0.000192,0.010502,
SN2018ie,0.013991,0.013933,0.013968,0.013964,0.013878,0.000193,0.015114,
SN2014dw,0.008112,0.008150,0.008172,0.008145,0.008095,0.000193,0.009171,
LSQ15xp,0.012183,0.012223,0.012173,0.012193,0.012111,0.000192,0.013341,
SN2016blb,0.017998,0.018004,0.018004,0.018002,0.017912,0.000190,0.019164,
SN2016adl,0.006833,0.006878,0.006873,0.006862,0.006766,0.000192,0.007987,
SN2016B,0.004309,0.004324,0.004323,0.004319,0.004243,0.000191,0.005451,
SN2018yo,0.013365,0.013442,0.013360,0.013389,0.013299,0.000195,0.014456,
SN2016aai,nan,nan,nan,0.008228,0.008160,0.001000,0.009295,
SN2016X,0.004372,0.004496,0.004428,0.004432,0.004373,0.000200,0.005484,
SN2018pq,nan,nan,nan,0.006857,0.006841,0.001000,0.007672,
ASASSN-15bb,0.016012,0.016104,0.016064,0.016060,0.016051,0.000196,0.017034,
SN2016cyk,0.016031,0.016112,0.016104,0.016082,0.016066,0.000195,0.017121,
SN2017faa,0.018407,0.018442,0.018445,0.018432,0.018397,0.000191,0.019467,
ASASSN-15fz,0.017353,0.017359,0.017170,0.017294,0.017205,0.000213,0.018215,
ASASSN-15kz,0.007886,0.007940,0.007891,0.007906,0.007904,0.000192,0.008853,
SN2016C,nan,nan,nan,0.004571,0.004598,0.001000,0.005588,
ASASSN-15ng,0.009986,0.010027,0.009978,0.009997,0.010030,0.000192,0.010779,
SN2016P,0.014487,0.014550,0.014548,0.014528,0.014436,0.000193,0.015350,
SN2018ddr,0.014609,0.014661,0.014668,0.014646,0.014647,0.000193,0.015552,
SN2018dfg,0.009447,0.009488,0.009487,0.009474,0.009576,0.000192,0.010484,
SN2016ccm,nan,nan,nan,0.018500,0.018453,0.001000,0.019256,
SN2016I,0.014994,0.015015,0.015013,0.015007,0.014985,0.000191,0.015630,
SN2016L,0.009258,0.009245,0.009246,0.009250,0.009228,0.000191,0.009918,
ASASSN-15hs,0.009087,0.009117,0.009086,0.009097,0.009134,0.000191,0.009389,
SN2017ivu,0.006791,0.006801,0.006793,0.006795,0.006777,0.000191,0.007213,
SN2016blz,0.011732,0.011766,0.011740,0.011746,0.011735,0.000191,0.012216,
ASASSN-15bd,0.007935,0.008023,0.007963,0.007974,0.007968,0.000195,0.008318,
SN2018cow,0.014067,0.014059,0.014058,0.014062,0.014057,0.000191,0.014278,
ASASSN-15fi,0.017212,0.017251,0.017250,0.017237,0.017265,0.000191,0.017416,
SN2016dsb,0.016063,0.016117,0.016044,0.016074,0.016149,0.000194,0.015445,
SN2018evy,0.017565,0.017605,0.017603,0.017591,0.017653,0.000192,0.017247,
PSNJ1828582,0.013775,0.013821,0.013818,0.013805,0.013829,0.000192,0.013392,
ASASSN-15oz,0.006966,0.006937,0.006937,0.006947,0.007022,0.000191,0.006563,
SN2018eog,0.018826,0.018894,0.018854,0.018858,0.018947,0.000193,0.018012,
SN2017ivv_A,0.005553,0.005577,0.005574,0.005568,0.005662,0.000191,0.004742,
ASASSN-15ta,0.014615,0.014611,0.014611,0.014612,0.014685,0.000190,0.014375,
ASASSN-15lx,0.012616,0.012655,0.012614,0.012628,0.012676,0.000192,0.012541,
SN2018cuf,nan,nan,nan,0.010513,0.010583,0.001000,0.010252,
SN2017hxv,0.018644,0.018689,0.018686,0.018673,0.018767,0.000192,0.017838,
ASASSN-14dq,0.010361,0.010403,0.010353,0.010372,0.010454,0.000192,0.009319,
SN2016cvk,0.010715,0.010732,0.010730,0.010726,0.010814,0.000191,0.009995,
ASASSN-15tu,0.012086,0.012145,0.012150,0.012127,0.012219,0.000193,0.011266,
SN2016hvu,0.018517,0.018553,0.018549,0.018540,0.018623,0.000191,0.017411,
PS15cer,0.014981,0.014999,0.014997,0.014992,0.015089,0.000191,0.013999,
PS15cem,0.010106,0.010181,0.010161,0.010149,0.010245,0.000194,0.009167,
SN2015dj,0.008961,0.008983,0.008981,0.008975,0.009072,0.000191,0.007893,
SN2017bzb_2,nan,nan,nan,0.002895,0.002973,0.001000,0.002145,
SN2015ah,0.016060,0.016082,0.016079,0.016074,0.016172,0.000191,0.014922,
SN2015bf,0.014158,0.014204,0.014203,0.014188,0.014281,0.000192,0.013042,
SN2014ce,0.011337,0.011358,0.011356,0.011350,0.011439,0.000191,0.010243,
SN2017grn,0.017327,0.017304,0.017338,0.017323,0.017421,0.000191,0.016195,
ASASSN-14az,0.006973,0.006906,0.006921,0.006934,0.007031,0.000193,0.005814,
ASASSN-14ma,0.013147,0.013154,0.013152,0.013151,0.013235,0.000190,0.012005,
AT2019ahk,0.026183,0.026232,0.026232,0.026216,0.026212,0.000192,0.026586,
SDSSJ134244,0.036606,0.036618,0.036601,0.036608,0.036572,0.000191,0.037560,
PTF09axc,0.114969,0.114967,0.114944,0.114960,0.114944,0.000191,0.115603,
AT2018dyb,0.017815,0.017811,0.017811,0.017812,0.017873,0.000190,0.018167,
ASASSN-15oi,0.048270,0.048301,0.048309,0.048294,0.048389,0.000191,0.047601,
AT2018fyk,0.059729,0.059737,0.059745,0.059737,0.059811,0.000191,0.059006,
D23H-1,0.185512,0.185517,0.185516,0.185515,0.185590,0.000190,0.184139,
ASASSN-15rp,0.028639,0.028616,0.028626,0.028627,0.028576,0.000191,0.027650,
SN2016egz,0.023080,0.023108,0.023105,0.023097,0.023047,0.000191,0.022130,
SN2018gsr,0.087661,0.087664,0.087703,0.087676,0.087652,0.000192,0.086362,
SN2002ig,0.077252,0.077340,0.077314,0.077302,0.077314,0.000196,0.076244,
PTF09gyp,nan,nan,nan,0.046000,0.046015,0.001000,0.045084,from literature nothing in cube
SN2018jfz,0.037711,0.037749,0.037680,0.037714,0.037764,0.000194,0.037168,
PTF09gpn,0.015264,0.015357,0.015346,0.015322,0.015358,0.000196,0.014956,
SN2009lq,0.044239,0.044217,0.044219,0.044225,0.044219,0.000191,0.044215,
SN2017imr,0.035639,0.035713,0.035660,0.035671,0.035687,0.000194,0.035420,
SN2003E,0.014673,0.014684,0.014650,0.014669,0.014715,0.000191,0.014615,
SN2018fqm,0.035276,0.035241,0.035346,0.035288,0.035337,0.000198,0.035370,
PTF10dk,0.074283,0.074382,0.074370,0.074345,0.074380,0.000197,0.074358,
SN1992ba,0.003944,0.003942,0.003982,0.003956,0.003958,0.000192,0.004164,
SN2017ipa,0.028220,0.028278,0.028235,0.028244,0.028323,0.000193,0.028810,
SN2006Y,0.033432,0.033487,0.033439,0.033452,0.033482,0.000192,0.034001,
SN2018iuq,0.027146,0.027204,0.027171,0.027173,0.027272,0.000193,0.027823,
SN2016iyd_B,0.034768,0.034821,0.034821,0.034804,0.034832,0.000192,0.035415,
SN2017hpi_B,0.005713,0.005726,0.005724,0.005721,0.005786,0.000191,0.006636,
SN2017jne,0.049029,0.049096,0.049034,0.049053,0.049150,0.000193,0.050267,
SN2017vp,0.048330,0.048343,0.048341,0.048338,0.048438,0.000191,0.049483,
SN2017dht,0.090379,0.090425,0.090423,0.090409,0.090462,0.000192,0.091598,
SN2018hfm,0.008038,0.008070,0.007998,0.008036,0.008136,0.000194,0.009245,
SN2003bn,0.012758,0.012853,0.012802,0.012804,0.012840,0.000196,0.014003,
PTF09iex,0.020233,0.020274,0.020266,0.020258,0.020329,0.000192,0.021545,
SN2015bm,0.024519,0.024541,0.024539,0.024533,0.024588,0.000191,0.025686,
PTF10bip,0.051178,0.051257,0.051250,0.051228,0.051301,0.000195,0.052475,
PTF10bfz,0.170192,0.170233,0.170229,0.170218,0.170291,0.000192,0.171494,
SN2003cx,0.036788,0.036788,0.036793,0.036790,0.036862,0.000190,0.037823,
SN2018anu_A,0.039141,0.039257,0.039250,0.039216,0.039291,0.000199,0.039112,
SN2017ivv_B,0.005590,0.005643,0.005638,0.005624,0.005534,0.000192,0.004614,
PTF09cvi,0.035335,0.035489,0.034495,0.035106,0.035013,0.000532,0.033819,unsure only one line
SN2016hpt,0.026514,0.026567,0.026511,0.026531,0.026454,0.000192,0.025687,
SN2014cw,0.009206,0.009211,0.009210,0.009209,0.009130,0.000190,0.007977
PTF09dfk,0.016104,0.016133,0.016129,0.016122,0.016066,0.000191,0.014810,
