cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb,notes
AT2019dsg,0.050041,0.050058,0.049960,0.050020,0.050032,0.000197,0.048954,
IIZw96,0.036283,0.036357,0.036338,0.036326,0.036355,0.000194,0.035297,
NGC7130,0.016163,0.016159,0.016159,0.016161,0.016077,0.000190,0.015209,
NGC7140,0.009965,0.009972,0.009971,0.009969,0.010043,0.000190,0.009509,
ASASSN-15lh,0.231550,0.231491,0.231548,0.231530,0.231514,0.000193,0.230992,
IC5169,0.010376,0.010378,0.010378,0.010377,0.010309,0.000190,0.009432,
IC5179,0.011269,0.011286,0.011321,0.011292,0.011205,0.000192,0.010332,
ESO602-G025,0.024880,0.024909,0.024159,0.024649,0.024564,0.000420,0.023444,
PTF09dav,0.037100,0.037200,0.037172,0.037157,0.037245,0.000197,0.036011,
NGC7448,0.007217,0.007294,0.007363,0.007291,0.007382,0.000204,0.006153,
NGC7541,0.008834,0.008914,0.008903,0.008884,0.008966,0.000195,0.007720,
NGC7552,0.005267,0.005282,0.005284,0.005278,0.005257,0.000191,0.004451,
IC1481,0.020441,0.020601,0.020458,0.020500,0.020401,0.000207,0.019140,
NGC7674,0.029116,0.029146,0.029143,0.029135,0.029139,0.000191,0.027870,
NGC7755,0.009836,0.009826,0.009827,0.009830,0.009918,0.000191,0.008940,
IC5364,0.030820,0.030791,0.030867,0.030826,0.030830,0.000194,0.029819,
IC2637,0.029320,0.029390,0.029251,0.029320,0.029417,0.000203,0.030639,
MCG-02-15-004,0.028995,0.029003,0.029002,0.029000,0.028983,0.000191,0.029135,
NGC0424,0.011789,0.011797,0.011796,0.011794,0.011839,0.000191,0.011085,
NGC3521,nan,0.001913,0.002074,0.001993,0.002051,0.000207,0.003282
SN2021low,0.021933,0.021925,0.021926,0.021928,0.021998,0.000191,0.023112,
SN2023rzh,0.049614,0.049448,0.049459,0.049507,0.049510,0.000208,0.048392,
SN2024abvr,0.040799,0.040807,0.040806,0.040804,0.040758,0.000191,0.039760,
SN2025aano,nan,0.038590,0.038583,0.038587,0.038624,0.000190,0.038944,
SN2025ei,0.028255,0.028308,0.028260,0.028274,0.028181,0.000192,0.029306,
SN2025rin,0.084386,0.084336,0.084356,0.084359,0.084265,0.000192,0.085451,
SN2025rjo,0.048025,0.048033,0.048032,0.048030,0.048015,0.000191,0.049015,
SN2025wmj,nan,0.010362,0.010447,0.010405,0.010371,0.000195,0.009988,
Arp200,0.012093,0.012142,0.012142,0.012126,0.012124,0.000192,0.011402,
NGC4419,-0.000674,-0.000606,-0.000646,-0.000642,-0.000734,0.000194,0.000350,
NGC4330,0.005165,0.005214,0.005182,0.005187,0.005095,0.000192,0.006218,
SN2025ulz,0.084726,0.084800,0.084800,0.084775,0.084714,0.000194,0.085021,
