obs_id,productFilename,dataURI,status,message,local_path,bytes
hst_skycell-p0497x09y14_wfc3_uvis_f275w_all,hst_skycell-p0497x09y14_wfc3_uvis_f275w_all_drc.fits,mast:HST/product/hst_skycell-p0497x09y14_wfc3_uvis_f275w_all_drc.fits,failed,"size mismatch: got 2458733760, expected 1718092800",,0
hst_14779_70_wfc3_uvis_f275w_id7670,hst_14779_70_wfc3_uvis_f275w_id7670_drc.fits,mast:HST/product/hst_14779_70_wfc3_uvis_f275w_id7670_drc.fits,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/hst_downloads/additional_f275w_bestexptime/mastDownload/HST/hst_14779_70_wfc3_uvis_f275w_id7670/hst_14779_70_wfc3_uvis_f275w_id7670_drc.fits,423475200
