snname,cubename,sem,rasn,decsn,sntype,notes
              SN2017gax,               SN2017gax, P101 ,04:45:49.430 ,-59:14:42.56  ,Ibc     ,Also NGC1672 from PHANGS in arx
               SN2017pn,              SN2017pn_B, P101 ,04:46:24.588 ,-11:59:18.25  ,II      ,2ND EPOCH. 1ST EPOCH IN P100. JOINED P101 AND P104
              SN2017fvr,               SN2017fvr, P101 ,04:47:28.230 ,+23:58:57.83  ,II      ,
              SNHunt151,               SN2017fvr, P101 ,04:47:30.000 ,+23:58:56.00  ,IIn     ,
              SN2017auf,               SN2017auf, P101 ,05:02:19.558 ,-10:21:22.86  ,II      ,
              SN2017dhu,               SN2017dhu, P101 ,05:16:31.940 ,+06:27:46.33  ,II      ,COMBINED 5 POINTINGS - ASTEROIDE REMOVED
              SN2017gci,               SN2017gci, P101 ,06:46:45.030 ,-27:14:55.86  ,SLSN-I  ,
              SN2017caw,               SN2017caw, P101 ,08:07:50.100 ,-61:46:15.60  ,II      ,
               SN2017mw,                SN2017mw, P101 ,09:57:20.970 ,-41:35:20.98  ,IIb     ,
              SN2017ahn,               SN2017ahn, P101 ,10:37:17.470 ,-41:37:05.27  ,II      ,COMBINED 8 POINTINGS with SN2000cl from HK
              SN2020aze,               SN2017ahn, P101 ,10:37:15.280 ,-41:37:29.06  ,II      ,
               SN2000cl,               SN2017ahn, P101 ,10:37:16.070 ,-41:37:47.78  ,IIn     ,
              SN2017blh,               SN2017blh, P101 ,10:52:10.551 ,-27:47:51.73  ,II      ,
               SN2017rt,                SN2017rt, P101 ,11:43:29.259 ,-16:47:37.27  ,Ic      ,
              SN2020aqe,                SN2017rt, P101 ,11:43:29.781 ,-16:47:52.94  ,II      ,
             SN2021aefs,                SN2017rt, P101 ,11:43:29.690 ,-16:47:49.99  ,IIn     ,
              SN2017cjd,               SN2017cjd, P101 ,11:50:30.174 ,-18:35:44.96  ,Ic      ,4 more pointigns but very bad resolution
              SN2017bzm,               SN2017bzm, P101 ,13:15:04.159 ,-24:48:05.48  ,IIn     ,COMBINED 3 POINTINGS
              SN2017anf,               SN2017anf, P101 ,13:33:13.415 ,+08:03:25.51  ,II      ,
              SN2017dka,               SN2017dka, P101 ,14:01:46.100 ,+09:29:57.40  ,II      ,COMBINED 3 POINTINGS - LOOKS REALLY BAD
              SN2011is,                SN2017dka, P101 ,14:01:47.160 ,+09:29:48.80  ,Ia      ,
              SN2017ewx,               SN2017ewx, P101 ,14:02:16.521 ,+07:40:44.21  ,Ib      ,COMBINED 2 POINTINGS - LOOKS QUITE BAD
              SN2017ecp,               SN2017ecp, P101 ,14:14:48.926 ,-29:33:36.76  ,Ibn     ,COMBINED 9 POINTINGS
               SN2017lt,                SN2017lt, P101 ,14:19:44.200 ,-16:50:15.76  ,II      ,COMBINED 6 POINTINGS
              SN2017fav,               SN2017fav, P101 ,14:32:06.157 ,+21:49:58.69  ,IIn     ,COMBINED 5 POINTINGS
              SN2017fem,               SN2017fem, P101 ,14:32:27.320 ,+27:25:36.75  ,II      ,
              SN2017aym,               SN2017aym, P101 ,14:37:41.780 ,+02:17:08.45  ,II      ,COMBINED 4 POINTINGS - LOOKS BAD ANYWAY
              SN2024jlf,               SN2017aym, P101 ,14:37:42.304 ,+02:17:03.71  ,II      ,
              SN2017eca,               SN2017eca, P101 ,16:04:15.699 ,+17:57:27.44  ,II      ,
              SN2017cin,               SN2017cin, P101 ,16:14:00.656 ,+26:54:58.62  ,IIn     ,
              SN2017dgd,               SN2017dgd, P101 ,16:45:38.976 ,+01:37:20.28  ,IIb     ,4 with bad seeing npt used
              SN2017bif,             SN2017bif_B, P101 ,17:26:27.120 ,-60:32:39.73  ,II      ,2ND EPOCH. 1ST EPOCH IN P100
              SN2017faf,               SN2017faf, P101 ,17:34:39.980 ,+26:18:22.00  ,II      ,4 with bad seeing npt used
              SN2017ffq,               SN2017ffq, P101 ,17:40:14.662 ,-58:25:57.36  ,II      ,
              SN2017fgk,               SN2017fgk, P101 ,17:47:49.194 ,+16:08:05.18  ,Ic-BL   ,
              SN2017dkb,               SN2017dkb, P101 ,18:14:03.430 ,+21:52:38.70  ,II      ,
              SN2017fod,               SN2017fod, P101 ,18:44:55.479 ,+27:18:25.96  ,II      ,
              SN2017fwm,               SN2017fwm, P101 ,19:12:51.960 ,-60:22:58.37  ,Ic      ,
              SN2017fbq,               SN2017fbq, P101 ,19:33:45.610 ,-60:58:02.20  ,II      ,
              SN2017dch,               SN2017dch, P101 ,19:55:35.700 ,-11:38:22.70  ,Ic      ,
              SN2017gfh,               SN2017gfh, P101 ,20:03:27.400 ,+06:59:27.20  ,IIb     ,
              SN2017dek,               SN2017dek, P101 ,20:25:44.710 ,-21:39:39.89  ,II      ,
              SN2017ggv,               SN2017ggv, P101 ,22:54:28.690 ,-13:31:50.58  ,IIn     ,
              SN2017bzb,               SN2017bzb, P101 ,22:57:17.300 ,-41:00:57.60  ,II      ,SN SPECTRUM HERE
              SN2017gip,               SN2017gip, P101 ,23:05:00.610 ,+28:45:42.73  ,II      ,
              SN2017ffm,               SN2017ffm, P101 ,23:18:23.020 ,-04:24:58.27  ,II      ,
              SN2017eiy,               SN2017eiy, P101 ,23:49:28.270 ,-30:25:04.69  ,IIb     ,
              SN2017gat,               SN2017gat, P101 ,23:53:17.033 ,-32:46:32.84  ,Ic      ,
              SN2017ghw,               SN2017ghw, P101 ,23:57:34.754 ,+02:05:11.18  ,IIn     ,
              SN2017giq,               SN2017giq, P101 ,23:57:54.730 ,+28:30:12.33  ,Ic      ,
               SN2008gg,                SN2008gg, P101 ,01:25:23.040 ,-18:10:20.78  ,Ia      ,
               SN2007st,                SN2007st, P101 ,01:48:42.470 ,-48:38:57.80  ,Ia      ,
               SN2010aa,                SN2007st, P101 ,01:48:43.210 ,-48:39:00.68  ,Ia      ,NO LC 
               SN2008fu,                SN2008fu, P101 ,03:02:28.500 ,-24:27:21.49  ,Ia      ,
               SN2006dd,                SN2006dd, P101 ,03:22:41.621 ,-37:12:13.00  ,Ia      ,THIS NEED TO BE JOINED WITH SN1981D in NGC1316 -- TO DO --
               SN2006mr,                SN2006dd, P101 ,03:22:42.840 ,-37:12:28.51  ,Ia-91bg ,
               SN2007on,                SN2007on, P101 ,03:38:50.899 ,-35:34:30.00  ,Ia      ,COMBINED FROM ARXIVE. COMBINED IN HIDRA
               SN2011iv,                SN2007on, P101 ,03:38:51.350 ,-35:35:31.99  ,Ia      ,
               SN2006hb,                SN2006hb, P101 ,05:02:01.279 ,-21:07:55.09  ,Ia-86G  ,
               SN2008bq,                SN2008bq, P101 ,06:41:02.510 ,-38:02:19.00  ,Ia      ,
                SN2008O,                 SN2008O, P101 ,06:57:34.459 ,-45:48:44.32  ,Ia      ,COMBINED WITH ARXIV DATA 12 POINTINGS
               SN2009ag,                SN2009ag, P101 ,07:11:40.810 ,-26:41:06.29  ,Ia      ,JOINED WITH P114 SN2005lr
               SN2005lr,                SN2009ag, P101 ,07:11:39.031 ,-26:42:20.20  ,Ic      ,
               SN2007as,                SN2007as, P101 ,09:27:36.010 ,-80:10:39.22  ,Ia      ,
               SN2005al,                SN2005al, P101 ,13:50:00.329 ,-30:34:34.21  ,Ia      ,
            ASASSN-15db,             ASASSN-15db, P101 ,15:46:58.69  ,+17:53:02.55  ,Ia      ,
               SN2007ai,                SN2007ai, P101 ,16:12:53.741 ,-21:37:48.68  ,Ia-91T  ,
               SN2008fl,                SN2008fl, P101 ,19:36:44.839 ,-37:33:04.50  ,Ia      ,
               SN2008cc,                SN2008cc, P101 ,21:03:29.621 ,-67:11:01.10  ,Ia      ,
               SN2006bh,                SN2006bh, P101 ,22:40:16.099 ,-66:29:06.29  ,Ia      ,
               SN2005iq,                SN2005iq, P101 ,23:58:32.501 ,-18:42:33.01  ,Ia      ,
               LSQ14foj,                LSQ14foj, P102 ,00:26:34.67  ,-32:48:33.09  ,Ia      ,
              OGLE16euo,               OGLE16euo, P102 ,02:50:19.15  ,-75:23:29.40  ,Ia      ,
               LSQ12gxj,                LSQ12gxj, P102 ,02:52:57.38  ,+01:36:24.25  ,Ia-91T  ,
               LSQ12gpw,                LSQ12gpw, P102 ,03:12:58.24  ,-11:42:40.13  ,Ia-03fg ,
               LSQ13dby,                LSQ13dby, P102 ,03:26:42.84  ,-34:38:05.49  ,Ia      ,
               LSQ12hno,                LSQ12hno, P102 ,03:42:43.25  ,-02:40:09.76  ,Ia-91T  ,
               LSQ14gov,                LSQ14gov, P102 ,04:06:01.33  ,-16:01:41.49  ,Ia-91T  ,
               LSQ13dqh,                LSQ13dqh, P102 ,04:22:05.90  ,-02:53:24.24  ,Ia      ,
              iPTF13dyt,               iPTF13dyt, P102 ,05:01:48.26  ,+02:41:49.70  ,Ia      ,
               LSQ14gfb,                LSQ14gfb, P102 ,05:10:05.76  ,-36:18:43.57  ,Ia-91bg ,
                LSQ11ot,                 LSQ11ot, P102 ,05:15:48.34  ,+06:46:39.36  ,Ia-91T  ,
               SN2011jq,                 LSQ11pn, P102 ,05:16:41.549 ,+06:29:30.19  ,Ia-91bg ,
               SN2004gc,                SN2004gc, P102 ,05:21:49.949 ,+06:40:33.71  ,Ia      ,
               LSQ12fxd,                LSQ12fxd, P102 ,05:22:17.02  ,-25:35:47.01  ,Ia-91T  ,
               SN2010ko,                SN2010ko, P102 ,05:32:49.440 ,-14:05:45.89  ,Ia-91bg ,SN EXPLODED IN THE BIG GALAXY OUT OF FOV (ASASSN-13cc). BUT ON TOP OF A GALAXY AT 0.048 THAT IS NOT THE REAL HOST
                 CSP12J,                  CSP12J, P102 ,06:07:01.59  ,-69:21:17.10  ,Ia-91bg ,
                SN2003H,                 NGC2207, P102 ,06:16:25.68  ,-21:22:23.89  ,Ibc     ,JOINED WITH THE ARCHIVE
              SN2018lab,                 NGC2207, P102 ,06:16:26.520 ,-21:22:32.38  ,II      ,
               SN2012hn,                SN2012hn, P102 ,06:42:42.550 ,-27:26:49.81  ,-       ,SN OUT OF FOV
               SN2008hu,                SN2008hu, P102 ,08:09:14.760 ,-18:39:13.10  ,Ia      ,I CHANGED THE HOST WITH RESPECT KRISCIUNAS 2017
               SN2014ao,                SN2014ao, P102 ,08:34:33.319 ,-02:32:36.10  ,Ia      ,
            ASASSN-15fr,             ASASSN-15fr, P102 ,09:20:20.44  ,-07:38:26.78  ,Ia-91T  ,
               LSQ12btn,                LSQ12btn, P102 ,09:21:30.50  ,-09:41:29.86  ,Ia      ,COMBINED 6 POINTINGS P102 and P106
            ASASSN-15as,             ASASSN-15as, P102 ,09:39:16.55  ,+06:25:48.54  ,Ia-91T  ,
                LSQ14ip,                 LSQ14ip, P102 ,09:44:20.22  ,+04:35:52.56  ,Ia-91bg ,
               LSQ12cid,                LSQ12cid, P102 ,10:03:57.04  ,-06:14:37.76  ,Ia      ,
                LSQ14wp,                 LSQ14wp, P102 ,10:14:05.72  ,+06:40:30.54  ,Ia      ,
               SN2008bd,                SN2008bd, P102 ,10:18:23.321 ,-13:06:11.20  ,Ia-91bg ,
                LSQ13ry,                 LSQ13ry, P102 ,10:32:48.00  ,+04:11:51.75  ,Ia      ,
               SN2005ki,                SN2005ki, P102 ,10:40:28.219 ,+09:12:08.39  ,Ia      ,
               LSQ12hnr,                LSQ12hnr, P102 ,10:43:14.77  ,-08:46:40.89  ,Ia      ,
                LSQ14ba,                 LSQ14ba, P102 ,11:01:23.01  ,-15:37:10.29  ,Ia      ,
               SN2007bm,                SN2007bm, P102 ,11:25:02.299 ,-09:47:53.81  ,Ia      ,
               SN2008gz,                SN2007bm, P102 ,11:25:03.240 ,-09:47:51.00  ,II      ,
                CSP13af,                 CSP13af, P102 ,11:41:44.17  ,-17:13:48.00  ,Ia      ,
                SN2014E,                 iPTF14w, P102 ,12:03:31.241 ,+02:02:35.70  ,Ia      ,
               iPTF14yy,                iPTF14yy, P102 ,12:26:09.17  ,+09:58:44.20  ,Ia      ,
               SN2011jn,                SN2011jn, P102 ,12:57:14.789 ,-17:24:00.50  ,Ia      ,COMBINED 7 POINTINGS 3 FROM THE ARX
               iPTF14uo,                iPTF14uo, P102 ,13:18:57.69  ,+09:42:40.30  ,Ia      ,
                SN2011Z,                 SN2011Z, P102 ,13:30:43.039 ,-20:57:14.00  ,Ia-91bg ,
               LSQ12bld,                LSQ12bld, P102 ,13:42:44.03  ,+08:05:33.74  ,Ia      ,
                LSQ13lq,                 LSQ13lq, P102 ,13:44:10.81  ,+03:03:43.42  ,Ia      ,
                LSQ13pf,                 LSQ13pf, P102 ,13:48:14.35  ,-11:38:38.58  ,Ia      ,
               LSQ12cda,                LSQ12cda, P102 ,13:50:02.32  ,+09:37:47.10  ,Ia      ,
            ASASSN-15ba,             ASASSN-15ba, P102 ,14:04:55.09  ,+08:55:14.53  ,Ia      ,
              SN2017hcc,               SN2017hcc, P103 ,00:03:50.58  ,-11:28:28.69  ,IIn     ,
              SN2018cho,               SN2018cho, P103 ,00:13:26.520 ,+17:29:19.57  ,II      ,combined with P115 - 8 pointings
              SN2017jbj,               SN2017jbj, P103 ,00:48:05.420 ,-02:47:22.40  ,II      ,
            ASASSN-15ln,             ASASSN-15ln, P103 ,00:53:41.40  ,+18:05:29.0   ,II      ,
               SN2015ay,                SN2015ay, P103 ,01:09:46.769 ,+13:18:28.91  ,II      ,
              SN2016hgm,               SN2016hgm, P103 ,01:22:11.813 ,+00:57:07.40  ,II      ,
