sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes,obs_id,target_name,proposal_id,proposal_pi,instrument_name,filters,sep_arcsec,t_exptime,calib_level,t_min,t_max,obs_title
ASASSN-15oz,ASASSN-15oz,289.8895416666666,-33.76722222222222,II      ,P103 ,COMBINED 8 POINTINGS P103 and P104,hst_16287_cr_wfc3_uvis_f275w_iebjcr,ASASSN-15OZ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,1.0017755137330367e-07,1650.0,3,59356.5768247,59356.60027338,
ASASSN-15ta,ASASSN-15ta,307.38758333333334,-61.950944444444445,Ib      ,P103 ,,hst_16287_cv_wfc3_uvis_f275w_iebjcv,ASASSN-15TA-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,5.871812153492473e-08,1500.0,3,59467.54806072,59467.59120903,
ASASSN-15tu,ASASSN-15tu,338.5107499999999,-32.39821666666666,IIb     ,P103 ,,hst_16287_db_wfc3_uvis_f275w_iebjdb,ASASSN-15TU-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,11.755520854089168,1650.0,3,59340.04266865,59340.0661177,
ASASSN-16fp,ASASSN-16fp,329.76725,18.18625,Ic-BL   ,P111 ,,hst_17203_04_wfc3_uvis_f275w_iezr04,SN-2016COI,17203,"Fox, Ori Dosovitz",WFC3/UVIS,F275W,0.0,8277.0,3,60152.52288626,60152.68693716,
AT2012iw,SN2010A,38.16204166666666,0.6175,?      ,P97  ,,hst_16287_13_wfc3_uvis_f275w_iebj13,SN2010A-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,6.1373249049771745,1650.0,3,59127.96308126,59127.98653031,
AT2014ej,NGC7552,349.0407916666666,-42.582638888888894,LBV     ,arx  ,COMBINED  11 POINTINGS,hst_14720_04_wfc3_uvis_f275w_ida404,NGC-7552,14720,"Chelouche, Doron",WFC3/UVIS,F275W,12.436904721821923,2100.0,3,57941.58232778,57941.64764017,
AT2017glg,NGC7469,345.81166666666667,8.881944444444445,?       ,SV   ,,hst_15649_23_wfc3_uvis_f275w_idy423,ARP298-UVIS,15649,"Chandar, Rupali",WFC3/UVIS,F275W,29.79172432835683,2420.0,3,58754.63773226,58754.67042909,
AT2018fyk,AT2018fyk,342.5670416666666,-44.86486111111111,TDE     ,P103 ,MORE DATA IN THE ARXIV -> REDO,hst_16239_90_wfc3_uvis_f275w_ieec90,AT2018FYK,16239,"Foley, Ryan",WFC3/UVIS,F275W,1.176893446093227,710.0,3,59445.75147423,59445.76793254,
AT2018hyz,AT2018hyz,151.71196249999997,1.6928,TDE     ,arx  ,,iegj91ogq,DARK,16394,"Kuhn, Benjamin",WFC3/UVIS,F275W,10.045334602189934,900.0,2,59217.06116261574,59217.07157908565,WFC3 UVIS CCD Daily Monitor Part 1
AT2019qiz,AT2019qiz,71.65783333333331,-10.22636111111111,TDE     ,arx  ,,hst_16239_86_wfc3_uvis_f275w_ieec86,AT2019QIZ,16239,"Foley, Ryan",WFC3/UVIS,F275W,0.020000012006799704,710.0,3,59489.98773665,59490.00419496,
AT2020pju,NGC1385,54.374666666666656,-24.50115,LBV     ,arx  ,PHANGS,hst_15654_10_wfc3_uvis_f275w_idxr10,NGC-1385,15654,"Lee, Janice",WFC3/UVIS,F275W,19.35875614559186,2190.0,3,59017.09679348,59017.23900401,
PS15apj,PSNJ1828582,277.242625,22.902944444444444,IIb     ,P103 ,combined 7 and 5 pointings much worse than only 4 pointing from arxive,hst_16287_cq_wfc3_uvis_f275w_iebjcq,PSNJ1828582-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,13.700975608712763,1650.0,3,59360.88118803,59360.90463708,
PS15cem,PS15cem,341.3050833333333,-22.727727777777776,II      ,P103 ,,hst_16287_de_wfc3_uvis_f275w_iebjde,ASASSN-15QH-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,23.974818198621936,1650.0,3,59480.56200776,59480.58545644,
PTF09cvi,PTF09cvi,326.7908333333333,8.30988888888889,II      ,P104 ,,hst_16287_ep_wfc3_uvis_f275w_iebjep,PTF09CVI-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,1.1865850981711683e-07,1650.0,3,59141.65489866,59141.67834734,
PTF10bfz,PTF10bfz,193.6720333333333,15.404744444444445,II      ,P104 ,,hst_16287_ey_wfc3_uvis_f275w_iebjey,PTF10BFZ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,1.1671000706281192e-07,1650.0,3,59307.32313068,59307.34657973,
PTF10dk,PTF10dk,77.08975,0.21191666666666667,II      ,P104 ,,hst_16287_er_wfc3_uvis_f275w_iebjer,PTF10DK-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,11.727863611036918,1650.0,3,59483.03486628,59483.05831533,
PTF11dgh,IC4040,195.15857916666664,28.056719444444447,Ia      ,arx  ,,id2201020,IC-4040,14361,"Sun, Ming",WFC3/UVIS,F275W,47.32673743949626,2583.0,3,57517.77747519676,57517.85382943287,Tales of tails: the Coma episodes
SN1895A,SN2012cg,186.82124999999996,9.416944444444443,?       ,P97  ,,hst_17502_21_wfc3_uvis_f275w_ifab21,NGC4424,17502,"Thilker, David",WFC3/UVIS,F275W,82.93469621403564,2075.0,3,60403.40784885,60403.5479416,
SN1895B,NGC5253,204.98874999999998,-31.634999999999998,Ia      ,arx  ,COMBINED 16 POINTINGS - NO LC,hst_13364_59_wfc3_uvis_f275w_icdm59,NGC5253,13364,"Calzetti, Daniela",WFC3/UVIS,F275W,56.15604675722509,2447.0,3,56532.11254057,56532.14398703,
