obs_id,productFilename,dataURI,status,message,local_path,bytes
hst_16741_4i_wfc3_uvis_f275w_iepo4i,hst_16741_4i_wfc3_uvis_f275w_iepo4i_drc.fits,mast:HST/product/hst_16741_4i_wfc3_uvis_f275w_iepo4i_drc.fits,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/hst_downloads/additional_f275w_bestexptime/mastDownload/HST/hst_16741_4i_wfc3_uvis_f275w_iepo4i/hst_16741_4i_wfc3_uvis_f275w_iepo4i_drc.fits,441866880
hst_17502_22_wfc3_uvis_f275w_ifab22,hst_17502_22_wfc3_uvis_f275w_ifab22_drc.fits,mast:HST/product/hst_17502_22_wfc3_uvis_f275w_ifab22_drc.fits,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/hst_downloads/additional_f275w_bestexptime/mastDownload/HST/hst_17502_22_wfc3_uvis_f275w_ifab22/hst_17502_22_wfc3_uvis_f275w_ifab22_drc.fits,232188480
hst_18103_28_wfc3_uvis_f275w_ifoq28,hst_18103_28_wfc3_uvis_f275w_ifoq28_drc.fits,mast:HST/product/hst_18103_28_wfc3_uvis_f275w_ifoq28_drc.fits,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/hst_downloads/additional_f275w_bestexptime/mastDownload/HST/hst_18103_28_wfc3_uvis_f275w_ifoq28/hst_18103_28_wfc3_uvis_f275w_ifoq28_drc.fits,444559680
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,hst_skycell-p1458x13y04_wfc3_uvis_f275w_all_drc.fits,mast:HST/product/hst_skycell-p1458x13y04_wfc3_uvis_f275w_all_drc.fits,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/hst_downloads/additional_f275w_bestexptime/mastDownload/HST/hst_skycell-p1458x13y04_wfc3_uvis_f275w_all/hst_skycell-p1458x13y04_wfc3_uvis_f275w_all_drc.fits,1718092800
