###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61094.116918  23.555  9.875     1   14 o  0   1.23  96.91088 -54.45669  5880.80  2491.16 2.10 2.03 -44.3 -0.463 19.13 20.74 04a61094o0232o
61094.126605  19.785  0.342    44   15 o  0   1.23  96.91088 -54.45669  5860.16  2607.79 2.21 2.09 -43.3 -0.454 19.12 20.72 04a61094o0253o
61096.101202 -20.650  1.009   -20   20 o  0   1.11  96.91088 -54.45669  3106.25   588.90 2.23 2.02  38.7 -0.424 18.90 20.32 04a61096o0203o
61096.104954  19.843  0.511    42   22 o  0   1.15  96.91088 -54.45669  3129.60   628.40 2.29 2.02  46.2 -0.419 18.92 20.31 04a61096o0211o
61096.110052  20.770  0.949    18   17 o  0   2.17  96.91088 -54.45669  3067.80   550.84 2.21 1.99  40.6 -0.432 18.91 20.33 04a61096o0222o
61096.121843 -21.697  2.744    -8   21 o  0   1.41  96.91088 -54.45669  3048.31   669.72 2.16 1.98  48.4 -0.435 18.90 20.36 04a61096o0247o
61097.105697 -20.275  1.000   -28   28 o  0   0.91  96.91088 -54.45669  3108.43   589.85 2.45 2.12  48.5 -0.425 18.77 20.08 04a61097o0101o
61097.108908 -20.059  0.698   -34   24 o  0   1.02  96.91088 -54.45669  3130.20   629.30 2.46 2.11  51.4 -0.430 18.74 20.08 04a61097o0108o
61097.114300  21.697  3.400     8   26 o  0   1.18  96.91088 -54.45669  3072.18   552.91 2.42 2.19  44.2 -0.418 18.71 20.08 04a61097o0119o
61097.130015 -20.851  1.500   -17   25 o  0   1.26  96.91088 -54.45669  3050.78   671.27 2.26 1.97  49.2 -0.440 18.82 20.04 04a61097o0153o
61097.858840  22.905  6.444     2   16 o  0   0.91  96.91088 -54.45669  8478.71  4745.20 2.46 2.05 -55.0 -0.411 19.17 20.34 03a61098o0182o
61099.083324  20.514  1.132    23   26 o  0   1.10  96.91088 -54.45669  8586.45  4542.97 2.31 2.11 -26.8 -0.457 18.62 19.64 04a61099o0171o
61099.086129 -23.145 12.300    -2   25 o  0   1.17  96.91088 -54.45669  8605.38  4583.06 2.43 2.15 -20.0 -0.430 18.61 19.65 04a61099o0177o
61099.092803  21.085  1.719    13   23 o  0   1.28  96.91088 -54.45669  8550.75  4503.40 2.47 2.24 -21.5 -0.411 18.59 19.64 04a61099o0191o
61099.104808 -19.871  0.585   -41   24 o  0   1.20  96.91088 -54.45669  8529.59  4618.62 2.38 2.18 -28.4 -0.433 18.62 19.64 04a61099o0217o
61100.105343  20.972  2.093    15   31 o  0   1.31  96.91088 -54.45669  3891.56  8819.65 2.41 1.97 -65.2 -0.424 18.56 19.61 04a61100o0219o
61100.108095  20.246  1.215    29   35 o  0   0.89  96.91088 -54.45669  3910.95  8858.62 2.40 2.00 -57.7 -0.414 18.53 19.57 04a61100o0225o
61100.113230 -20.751  1.839   -18   33 o  0   0.88  96.91088 -54.45669  3856.89  8781.93 2.45 1.91 -72.8 -0.455 18.58 19.61 04a61100o0236o
61100.127418 -20.665  1.412   -20   28 o  0   1.39  96.91088 -54.45669  3839.46  8899.21 2.33 1.86 -69.8 -0.454 18.60 19.59 04a61100o0266o
61100.851638 -20.185  0.807   -31   25 o  0   1.08  96.91088 -54.45669  3736.31  8818.68 3.01 2.50 -43.1 -0.372 18.66 19.54 03a61101o0209o
61100.854429 -20.363  0.977   -26   25 o  0   1.04  96.91088 -54.45669  3754.06  8857.15 3.01 2.48 -40.2 -0.365 18.69 19.56 03a61101o0215o
61100.860957  20.692  1.315    19   25 o  0   1.11  96.91088 -54.45669  3704.59  8780.13 3.05 2.62 -38.2 -0.366 18.64 19.55 03a61101o0229o
61100.870681 -22.150  4.739    -5   24 o  0   1.03  96.91088 -54.45669  3685.36  8896.26 3.10 2.60 -38.5 -0.365 18.60 19.52 03a61101o0250o
61102.089845 -20.263  1.168   -28   33 o  0   1.53  96.91088 -54.45669  9814.95  2960.45 2.73 2.37 -22.9 -0.390 18.26 19.00 04a61102o0188o
61102.092667 -21.429  3.714   -10   36 o  0   1.07  96.91088 -54.45669  9833.46  2999.57 2.66 2.35 -21.4 -0.392 18.26 18.99 04a61102o0194o
61102.097752  22.041  6.682     6   37 o  0   1.02  96.91088 -54.45669  9772.73  2918.92 2.81 2.43 -22.2 -0.371 18.26 18.98 04a61102o0205o
61102.107319 -19.532  0.848   -56   47 o  0   0.74  96.91088 -54.45669  9755.78  3035.84 2.63 2.31 -23.6 -0.393 18.23 18.96 04a61102o0225o
61103.101474 -22.650 11.538    -3   36 o  0   1.57  96.91088 -54.45669  9816.52  2962.44 2.34 2.21 -47.2 -0.414 18.39 19.14 04a61103o0215o
61103.104764  19.870  0.942    41   39 o  0   1.26  96.91088 -54.45669  9837.40  3002.99 2.42 2.30 -40.1 -0.403 18.37 19.14 04a61103o0222o
61103.111431 -21.609  5.571    -8   46 o  0   0.93  96.91088 -54.45669  9778.07  2921.94 2.36 2.15 -84.9 -0.421 18.34 19.09 04a61103o0236o
61103.124085  20.648  2.118    20   42 o  0   1.15  96.91088 -54.45669  9756.63  3037.28 2.47 2.20 -29.9 -0.414 18.37 19.09 04a61103o0263o
61103.840669  20.092  0.601    33   20 o  0   1.20  96.91088 -54.45669  7381.93  9248.80 2.59 2.08 -49.2 -0.421 18.87 19.49 03a61104o0208o
61103.843471 -23.645 16.000    -1   20 o  0   1.18  96.91088 -54.45669  7399.59  9288.81 2.62 2.08 -47.7 -0.422 18.87 19.49 03a61104o0214o
61103.848625  22.679  8.100     3   25 o  0   0.75  96.91088 -54.45669  7347.71  9206.91 2.59 2.05 -47.8 -0.424 18.86 19.47 03a61104o0225o
61103.858736  20.542  1.221    22   27 o  0   0.73  96.91088 -54.45669  7326.89  9321.50 2.65 2.11 -46.8 -0.414 18.82 19.44 03a61104o0245o
