###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61098.182506  20.829  2.000    17   34 o  0   0.93 148.60796 -25.70310  9731.22  9803.39 2.25 2.01   5.6 -0.509 18.87 20.01 04a61098o0382o
61098.192160 -19.770  0.905   -45   41 o  0   0.77 148.60796 -25.70310  9709.80  9920.54 2.14 1.95  -3.0 -0.519 18.85 20.01 04a61098o0403o
61099.405234 -17.773  1.088  -282  307 o  0   1.03 148.60796 -25.70310  9742.74  9886.82 3.00 2.76 -53.9 -0.412 16.12 15.77 01a61099o0421o
61099.439887 -16.585  0.631  -844  533 o  0   1.00 148.60796 -25.70310  9754.93  9919.81 2.83 2.49 -54.3 -0.463 15.69 15.18 01a61099o0496o
61099.443085  18.402  1.231   158  195 o  0   1.56 148.60796 -25.70310  9698.59  9839.14 2.66 2.53 -63.7 -0.453 16.57 16.29 01a61099o0503o
61099.452277  18.587  1.739   133  232 o  0   1.29 148.60796 -25.70310  9674.35  9954.80 2.58 2.49 -72.7 -0.453 16.26 15.85 01a61099o0523o
61104.199752  19.999  1.220    36   44 o  0   1.01 148.60796 -25.70310  9556.92  4299.07 2.52 2.11 -21.8 -0.437 18.18 18.69 04a61104o0430o
61104.202665 -21.260  4.891   -11   56 o  0   0.89 148.60796 -25.70310  9578.13  4338.46 2.57 2.15 -26.0 -0.425 18.17 18.68 04a61104o0436o
61104.207681  20.132  1.394    32   45 o  0   1.32 148.60796 -25.70310  9520.47  4259.46 2.41 2.08 -24.4 -0.451 17.99 18.83 04a61104o0447o
61104.221484 -19.087  0.572   -84   48 o  0   1.22 148.60796 -25.70310  9498.68  4375.85 2.64 2.20 -21.7 -0.414 18.01 18.45 04a61104o0476o
61105.416782 -20.478  0.903   -23   21 o  0   0.80 148.60796 -25.70310  9494.65  4330.69 2.51 2.38   9.7 -0.397 18.92 19.53 01a61105o0448o
61105.421821 -20.691  0.980   -19   19 o  0   1.44 148.60796 -25.70310  9514.30  4369.02 2.55 2.42   8.9 -0.395 18.88 19.51 01a61105o0459o
61105.426852 -21.254  1.954   -11   22 o  0   1.01 148.60796 -25.70310  9453.59  4290.14 2.55 2.40 -44.0 -0.414 18.93 19.50 01a61105o0470o
61105.439698 -20.533  1.106   -22   25 o  0   1.19 148.60796 -25.70310  9427.88  4403.77 2.92 2.75 -54.8 -0.387 18.79 19.45 01a61105o0498o
61107.448924 -19.978  0.599   -37   22 o  0   1.23 148.60796 -25.70310  2874.90  2565.87 2.72 2.56  49.6 -0.414 18.69 19.80 02a61107o0332o
61108.408172 -21.081  1.573   -13   21 o  0   1.07 148.60796 -25.70310  2776.96  8763.97 2.18 2.00  34.4 -0.426 19.18 20.46 02a61108o0417o
61108.411819 -21.356  2.039   -10   21 o  0   1.05 148.60796 -25.70310  2757.60  8725.87 2.32 2.06  34.7 -0.409 19.01 20.27 02a61108o0425o
61108.420922  20.517  1.044    23   24 o  0   1.26 148.60796 -25.70310  2818.19  8809.79 2.25 2.00  33.1 -0.415 18.89 19.97 02a61108o0445o
61108.431608  21.145  3.620    13   46 o  0   0.81 148.60796 -25.70310  2837.00  8692.44 2.24 2.02  39.5 -0.412 18.43 19.34 02a61108o0468o
61108.930821  21.673  2.167     8   17 o  0   0.94 148.60796 -25.70310  7840.14  1874.44 2.40 2.14 -52.7 -0.429 19.36 20.76 03a61109o0419o
61108.934442 -21.394  1.638   -10   16 o  0   1.06 148.60796 -25.70310  7861.20  1913.85 2.41 2.17 -58.4 -0.426 19.38 20.75 03a61109o0427o
61108.940797 -20.762  0.750   -18   14 o  0   1.31 148.60796 -25.70310  7803.41  1834.02 2.37 2.19 -49.0 -0.429 19.38 20.74 03a61109o0440o
61108.950950 -21.582  1.716    -8   14 o  0   1.40 148.60796 -25.70310  7786.04  1950.66 2.24 1.99 -52.6 -0.437 19.40 20.67 03a61109o0462o
61110.184272 -22.363  5.136    -4   21 o  0   1.04 148.60796 -25.70310  1623.26  1557.95 2.24 1.86  44.8 -0.458 19.01 20.47 04a61110o0395o
61110.187006 -20.879  1.391   -16   22 o  0   0.84 148.60796 -25.70310  1641.84  1595.38 2.24 1.85  50.1 -0.441 19.09 20.53 04a61110o0401o
61110.192073 -20.481  0.806   -23   19 o  0   1.19 148.60796 -25.70310  1584.29  1518.81 2.21 1.84  48.8 -0.442 19.09 20.48 04a61110o0412o
61110.202587  20.275  0.808    28   23 o  0   0.96 148.60796 -25.70310  1564.72  1637.68 2.18 1.94  53.3 -0.450 18.99 20.44 04a61110o0434o
61111.913388  20.972  0.953    15   14 o  0   0.78 148.60796 -25.70310  1558.96  6073.04 2.37 2.09 -64.6 -0.422 19.61 21.36 03a61112o0384o
61111.916118  21.774  2.041     7   14 o  0   0.86 148.60796 -25.70310  1578.69  6111.42 2.41 2.16 -62.3 -0.421 19.61 21.37 03a61112o0390o
61111.921143 -21.502  1.209    -9   11 o  0   1.51 148.60796 -25.70310  1525.04  6033.74 2.36 2.06 -62.6 -0.421 19.65 21.35 03a61112o0401o
