###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
61096.483221  18.587  0.158   134   21 o  0   7.82 154.07854 -33.56366  1120.34  9723.96 2.18 1.90 -53.8 -0.487 19.03 20.09 02a61096o0582o
61096.511926  19.736  0.424    46   20 o  0   8.36 154.07854 -33.56366  1135.05  9606.19 2.39 2.05 -55.0 -0.459 19.05 20.36 02a61096o0644o
61096.946464 -20.877  0.771   -16   12 c  0   5.78 154.07854 -33.56366  9537.90   993.47 2.43 2.18 -45.7 -0.435 19.79 21.94 03a61097o0417c
61096.949249  19.836  0.340    42   14 c  0   4.68 154.07854 -33.56366  9557.24  1033.37 2.45 2.19 -49.5 -0.429 19.76 21.98 03a61097o0423c
61096.954738  18.893  0.125   101   13 c  0   6.17 154.07854 -33.56366  9501.88   952.30 2.41 2.15 -47.1 -0.430 19.80 22.01 03a61097o0435c
61096.971108  20.497  0.566    23   13 c  0   4.40 154.07854 -33.56366  9480.83  1070.34 2.44 2.09 -49.9 -0.431 19.81 21.99 03a61097o0469c
61098.186188  18.057  0.100   217   22 o  0  10.48 154.07854 -33.56366  8108.46  4691.21 2.37 2.01 -35.4 -0.436 18.80 20.02 04a61098o0390o
61098.188906  18.630  0.185   128   24 o  0   5.04 154.07854 -33.56366  8127.48  4730.65 2.35 2.01 -27.6 -0.433 18.85 20.03 04a61098o0396o
61098.194103  18.021  0.098   225   22 o  0  15.33 154.07854 -33.56366  8071.03  4651.08 2.23 2.03 -28.6 -0.447 18.91 20.15 04a61098o0407o
61098.229439  18.450  0.176   151   27 o  0   7.40 154.07854 -33.56366  8057.05  4768.29 2.23 2.07 -42.9 -0.456 18.93 20.22 04a61098o0479o
61099.445824  17.539  0.577   350  202 o  0   1.27 154.07854 -33.56366  8058.98  4725.24 2.84 2.55  36.0 -0.382 16.28 15.96 01a61099o0509o
61099.449993 -20.875 11.519   -16  187 o  0   1.47 154.07854 -33.56366  8076.57  4763.34 2.80 2.55  36.5 -0.385 16.21 15.92 01a61099o0518o
61099.485462 -22.275 39.889    -4  178 o  0   1.12 154.07854 -33.56366  8000.23  4680.49 2.64 2.59  49.1 -0.404 16.52 16.21 01a61099o0594o
61099.490986  17.538  0.594   350  208 o  0   1.43 154.07854 -33.56366  7981.08  4796.79 2.74 2.60  53.0 -0.395 16.18 15.84 01a61099o0606o
61102.948693 -21.148  3.575   -13   45 o  0   1.61 154.07854 -33.56366  7885.03  3161.57 2.31 2.14 -51.9 -0.461 18.11 18.30 03a61103o0432o
61102.951400  19.392  0.846    64   54 o  0   1.14 154.07854 -33.56366  7904.41  3201.30 2.35 2.17 -58.5 -0.449 17.44 18.00 03a61103o0438o
61102.981887  18.327  0.777   170  132 o  0   1.05 154.07854 -33.56366  7852.27  3121.98 2.43 2.16 -55.9 -0.441 17.03 16.77 03a61103o0497o
61103.010539 -19.104  0.652   -83   54 o  0   1.72 154.07854 -33.56366  7832.39  3237.43 2.28 2.00 -56.0 -0.457 17.19 17.92 03a61103o0552o
61104.210898 -19.294  0.766   -70   53 o  0   2.71 154.07854 -33.56366  6249.15  9315.89 2.24 1.97 -67.9 -0.420 18.10 18.50 04a61104o0454o
61104.213638  17.874  0.227   257   58 o  0   2.68 154.07854 -33.56366  6268.60  9355.20 2.37 1.91 -71.9 -0.454 18.05 18.65 04a61104o0460o
61104.218502 -18.560  1.331  -137  182 o  0   1.18 154.07854 -33.56366  6213.29  9277.13 2.24 1.95 -66.8 -0.405 16.96 17.64 04a61104o0470o
61104.228258 -18.265  1.879  -179  337 o  0   1.04 154.07854 -33.56366  6193.65  9392.70 2.21 1.93 -64.7 -0.395 16.49 16.48 04a61104o0490o
61105.428222 -19.284  0.349   -70   24 o  0   2.44 154.07854 -33.56366  6208.47  9367.50 2.63 2.57  81.7 -0.400 18.79 19.35 01a61105o0473o
61105.431426  19.640  0.534    51   27 o  0   1.94 154.07854 -33.56366  6227.03  9405.18 3.04 2.81 -51.4 -0.385 18.69 19.34 01a61105o0480o
61105.441068 -18.856  0.237  -104   25 o  0   1.79 154.07854 -33.56366  6168.31  9325.49 2.72 2.56 -56.2 -0.406 18.80 19.31 01a61105o0501o
61105.450687  19.326  0.413    68   28 o  0   2.59 154.07854 -33.56366  6146.50  9440.93 2.98 2.89 -55.7 -0.372 18.69 19.29 01a61105o0522o
61107.447102 -19.529  0.595   -56   33 o  0   3.29 154.07854 -33.56366  8793.70  7671.70 2.80 2.73  60.4 -0.410 18.55 19.57 02a61107o0328o
61107.450295 -19.252  0.406   -72   29 o  0   3.05 154.07854 -33.56366  8774.70  7634.93 2.63 2.55  72.8 -0.410 18.63 19.56 02a61107o0335o
61108.408627 -20.183  0.728   -31   22 o  0   3.39 154.07854 -33.56366  6253.51  3723.50 2.16 2.05  42.3 -0.420 19.16 20.35 02a61108o0418o
61108.412274  19.280  0.307    70   22 o  0   5.74 154.07854 -33.56366  6233.87  3685.72 2.25 2.06  37.8 -0.416 19.01 20.13 02a61108o0426o
61108.420008 -17.696  0.108  -303   33 o  0   4.51 154.07854 -33.56366  6290.52  3767.46 2.21 2.05  39.8 -0.418 18.57 19.48 02a61108o0443o
61108.430688  18.862  0.275   104   28 o  0   3.81 154.07854 -33.56366  6309.56  3651.78 2.19 2.09  48.7 -0.412 18.76 19.60 02a61108o0466o
61108.945795  18.763  0.152   113   17 o  0   8.22 154.07854 -33.56366  4263.84  6812.93 2.37 2.07 -54.0 -0.401 19.38 20.69 03a61109o0451o
61108.948543  20.830  0.953    17   16 o  0  10.72 154.07854 -33.56366  4283.12  6852.07 2.34 2.10 -53.8 -0.400 19.37 20.68 03a61109o0457o
61108.953702 -19.467  0.293   -59   17 o  0   5.66 154.07854 -33.56366  4228.01  6773.54 2.37 2.11 -56.5 -0.401 19.37 20.65 03a61109o0468o
61108.964268  19.518  0.261    57   15 o  0   7.67 154.07854 -33.56366  4209.33  6890.35 2.32 2.06 -54.3 -0.406 19.38 20.63 03a61109o0490o
61110.186555  17.769  0.105   284   30 o  0   9.80 154.07854 -33.56366  8207.29  6627.06 2.14 1.96 -31.8 -0.465 19.08 20.49 04a61110o0400o
61110.189727  17.617  0.092   326   30 o  0  14.49 154.07854 -33.56366  8224.90  6666.03 2.15 1.97 -29.5 -0.473 19.07 20.49 04a61110o0407o
61110.194349  18.860  0.259   104   27 o  0  10.89 154.07854 -33.56366  8169.14  6587.69 2.13 1.96 -35.1 -0.467 19.04 20.49 04a61110o0417o
61110.206406  17.942  0.095   242   23 o  0  25.82 154.07854 -33.56366  8149.89  6704.24 2.15 1.98 -21.2 -0.462 19.05 20.47 04a61110o0442o
61111.930446  18.448  0.110   152   17 o  0   9.27 154.07854 -33.56366  5544.96  1045.02 2.23 2.07 -44.0 -0.421 19.61 21.33 03a61112o0418o
61111.933171  18.540  0.110   139   15 o  0   8.38 154.07854 -33.56366  5564.31  1085.09 2.31 2.15 -30.8 -0.417 19.60 21.31 03a61112o0424o
61111.941282  20.562  0.683    22   15 o  0   5.30 154.07854 -33.56366  5510.22  1005.74 2.30 2.12 -41.1 -0.417 19.57 21.26 03a61112o0441o
