Supernova,ra_deg,dec_deg,survey,local_fits,fits_path,live_checked,live_available,live_message
ASASSN-14db,330.5077083333333,-70.04060833333334,PanSTARRS,False,,True,False,empty
ASASSN-14db,330.5077083333333,-70.04060833333334,SkyMapper,True,outputs/images/ASASSN-14db/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14dd,116.30991666666665,-71.40390000000001,LegacySurvey,True,outputs/images/ASASSN-14dd/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14dd,116.30991666666665,-71.40390000000001,DES,False,,True,False,empty
ASASSN-14dd,116.30991666666665,-71.40390000000001,PanSTARRS,False,,True,False,empty
ASASSN-14dd,116.30991666666665,-71.40390000000001,SkyMapper,True,outputs/images/ASASSN-14dd/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14dz,226.477175,12.745369444444444,LegacySurvey,True,outputs/images/ASASSN-14dz/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14dz,226.477175,12.745369444444444,DES,False,,True,False,empty
ASASSN-14dz,226.477175,12.745369444444444,PanSTARRS,True,outputs/images/ASASSN-14dz/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-14dz,226.477175,12.745369444444444,SkyMapper,True,outputs/images/ASASSN-14dz/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14fa,43.09608333333333,-31.821666666666665,LegacySurvey,True,outputs/images/ASASSN-14fa/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14fa,43.09608333333333,-31.821666666666665,DES,True,outputs/images/ASASSN-14fa/DES/DES_r.fits,False,,
ASASSN-14fa,43.09608333333333,-31.821666666666665,PanSTARRS,True,outputs/images/ASASSN-14fa/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-14fa,43.09608333333333,-31.821666666666665,SkyMapper,True,outputs/images/ASASSN-14fa/SkyMapper/SkyMapper_r.fits,False,,
ASASSN-14hr,27.671958333333333,-14.518436111111113,LegacySurvey,True,outputs/images/ASASSN-14hr/LegacySurvey/LegacySurvey_r.fits,False,,
ASASSN-14hr,27.671958333333333,-14.518436111111113,DES,True,outputs/images/ASASSN-14hr/DES/DES_r.fits,False,,
ASASSN-14hr,27.671958333333333,-14.518436111111113,PanSTARRS,True,outputs/images/ASASSN-14hr/PanSTARRS/PanSTARRS_r.fits,False,,
ASASSN-14hr,27.671958333333333,-14.518436111111113,SkyMapper,True,outputs/images/ASASSN-14hr/SkyMapper/SkyMapper_r.fits,False,,
