name,fits_file,status,message,ra_deg,dec_deg,redshift,rband_survey
SN2013dl,/Users/lluisgalbany/Downloads/HST_UV/images/SN2013dl/DES/DES_r.fits,rband_only_ok,,19.674,-7.444361111111111,0.017731,DES
SN2013ef,/Users/lluisgalbany/Downloads/HST_UV/images/SN2013ef/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,28.83629166666666,6.609811111111111,0.017251,PanSTARRS
SN2013ex,/Users/lluisgalbany/Downloads/HST_UV/images/SN2013ex/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,83.19424999999998,-14.04593888888889,0.010242,PanSTARRS
ASASSN-13ch,/Users/lluisgalbany/Downloads/HST_UV/images/ASASSN-13ch/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,244.14191666666662,-0.5909388888888889,0.016468,PanSTARRS
ASASSN-13cj,/Users/lluisgalbany/Downloads/HST_UV/images/ASASSN-13cj/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,244.29587499999997,4.554088888888889,0.016464,PanSTARRS
ASASSN-13cp,/Users/lluisgalbany/Downloads/HST_UV/images/ASASSN-13cp/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,233.45514999999997,21.139408333333332,0.023508,PanSTARRS
ASASSN-13cu,/Users/lluisgalbany/Downloads/HST_UV/images/ASASSN-13cu/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,10.04225,-10.440527777777778,0.02718,PanSTARRS
SN2008hv,/Users/lluisgalbany/Downloads/HST_UV/images/SN2008hv/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,136.89192083333333,3.3922499999999998,0.012646,PanSTARRS
SN2013hk,/Users/lluisgalbany/Downloads/HST_UV/images/SN2013hk/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,45.54520833333333,15.927438888888888,0.017004,PanSTARRS
ASASSN-14ba,/Users/lluisgalbany/Downloads/HST_UV/images/ASASSN-14ba/PanSTARRS/PanSTARRS_r.fits,rband_only_ok,,155.38291666666663,8.405866666666666,0.032646,PanSTARRS
