SN name,UV mag,UV abs mag,F275W-r,Adopted r survey,Adopted r mag,Adopted r abs mag,Adopted r flux,Adopted r flux err,F275W-r Best,Adopted Best survey,Adopted Best,Adopted Best abs mag,Adopted Best flux,Adopted Best flux err,LegacySurvey r mag,LegacySurvey r abs mag,LegacySurvey r flux,LegacySurvey r flux err,LegacySurvey invvar+bkg r mag,LegacySurvey invvar+bkg r abs mag,LegacySurvey invvar+bkg r flux,LegacySurvey invvar+bkg r flux err,DES r mag,DES r abs mag,DES r flux,DES r flux err,PanSTARRS r mag,PanSTARRS r abs mag,PanSTARRS r flux,PanSTARRS r flux err,SkyMapper r mag,SkyMapper r abs mag,SkyMapper r flux,SkyMapper r flux err,Paper plot candidate
SN2007fb,21.439 (0.063),-13.055 (0.063),3.422,PanSTARRS,18.017 (0.015),-16.477 (0.015),621.1005787129297,7.6114754499418655,3.422,PanSTARRS,18.017 (0.015),-16.477 (0.015),621.1005787129297,7.6114754499418655,17.627 (0.304),-16.867 (0.304),88.96523999783183,22.36255337372647,17.743 (0.415),-16.751 (0.415),79.96317403405416,30.564148843838417,,,,,18.017 (0.015),-16.477 (0.015),621.1005787129297,7.6114754499418655,18.300 (0.284),-16.194 (0.284),624.5251210302752,145.9271123004482,False
SN2007fs,(23.401),(-10.996),$<3.015$,PanSTARRS,20.386 (0.058),-14.010 (0.058),70.0579507788253,3.513458096256526,$<3.015$,PanSTARRS,20.386 (0.058),-14.010 (0.058),70.0579507788253,3.513458096256526,,,0.0,,,,,,,,,,20.386 (0.058),-14.010 (0.058),70.0579507788253,3.513458096256526,20.079 (0.102),-14.317 (0.102),3059.0300559737293,267.0599891945748,False
SN2007hj,(22.929),(-11.025),$<5.395$,LegacySurvey,17.534 (0.147),-16.420 (0.147),96.87690646254292,13.115486414981874,$<5.511$,PanSTARRS,17.418 (0.015),-16.536 (0.015),1077.9644228867048,12.440185838348732,17.351 (0.306),-16.604 (0.306),114.74391222833792,27.27976906328119,17.534 (0.147),-16.420 (0.147),96.87690646254292,13.115486414981874,,,,,17.418 (0.015),-16.536 (0.015),1077.9644228867048,12.440185838348732,18.066 (0.288),-15.889 (0.288),754.4440981540506,167.15449312142903,False
SN2007hx,23.873 (0.129),-13.925 (0.129),2.020,LegacySurvey,21.853 (0.233),-15.945 (0.233),1.814316259983727,0.388764771803837,1.978,PanSTARRS,21.895 (0.041),-15.904 (0.041),17.461522154348444,0.6123770033508031,21.780 (2.939),-16.018 (2.939),1.9407152279665696,4.910776824107232,21.853 (0.233),-15.945 (0.233),1.814316259983727,0.388764771803837,21.795 (0.022),-16.003 (0.022),1914.142865894548,35.93758535214809,21.895 (0.041),-15.904 (0.041),17.461522154348444,0.6123770033508031,22.216 (0.159),-15.583 (0.159),366.96282388416034,49.95449939373616,False
SN2007if,(24.709),(-12.972),$<-0.089$,LegacySurvey,24.798 (0.290),-12.883 (0.290),0.1204308293559111,0.0321920970563415,$<-0.089$,LegacySurvey,24.798 (0.290),-12.883 (0.290),0.1204308293559111,0.0321920970563415,24.626 (42.985),-13.055 (42.985),0.1411385838725602,4.767986432066406,24.798 (0.290),-12.883 (0.290),0.1204308293559111,0.0321920970563415,,,,,24.018 (0.364),-13.663 (0.364),2.4698943605768156,0.7008636924064335,,,,,False
SN2007jg,23.611 (0.293),-12.476 (0.293),0.414,PanSTARRS,23.197 (0.320),-12.890 (0.320),5.261089519503463,1.2507596325907178,0.414,PanSTARRS,23.197 (0.320),-12.890 (0.320),5.261089519503463,1.2507596325907178,22.623 (13.815),-13.465 (13.815),0.8932035925367668,9.268139538534689,22.844 (0.584),-13.243 (0.584),0.728403875196941,0.3920872546190411,,,,,23.197 (0.320),-12.890 (0.320),5.261089519503463,1.2507596325907178,23.774 (1.626),-12.314 (1.626),68.05929002002186,81.96530189466284,False
SN2007jh,(23.972),(-12.326),$<4.639$,PanSTARRS,19.333 (0.017),-16.966 (0.017),184.87004973306577,2.3848789993552706,$<4.639$,PanSTARRS,19.333 (0.017),-16.966 (0.017),184.87004973306577,2.3848789993552706,,,0.0,,,,,,,,,,19.333 (0.017),-16.966 (0.017),184.87004973306577,2.3848789993552706,18.912 (0.022),-17.387 (0.022),7760.91905694064,125.01757830938637,False
SN2007le,18.588 (0.016),-13.727 (0.016),3.626,LegacySurvey,14.962 (0.344),-17.353 (0.344),1035.9898618477628,328.2248282030861,3.636,PanSTARRS,14.952 (0.014),-17.363 (0.014),10456.228140534977,129.83860256406206,14.892 (0.070),-17.423 (0.070),1104.692098935899,67.20031963009176,14.962 (0.344),-17.353 (0.344),1035.9898618477628,328.2248282030861,,,,,14.952 (0.014),-17.363 (0.014),10456.228140534977,129.83860256406206,15.508 (0.015),-16.807 (0.015),173428.53393176367,2164.700956970502,False
SN2007mm,(24.800),(-12.601),$<1.818$,DES,22.982 (0.133),-14.420 (0.133),641.6849880189882,73.32230192357282,$<1.818$,DES,22.982 (0.133),-14.420 (0.133),641.6849880189882,73.32230192357282,22.884 (9.001),-14.518 (9.001),0.7023418767275766,5.428940545994958,22.960 (0.537),-14.442 (0.537),0.654877322595491,0.3239831742609169,22.982 (0.133),-14.420 (0.133),641.6849880189882,73.32230192357282,23.422 (0.264),-13.980 (0.264),4.278200410341758,0.9655290943159222,22.728 (0.248),-14.674 (0.248),264.0459041618841,55.92861435619502,False
SN2007ol,24.310 (0.246),-12.704 (0.246),5.045,LegacySurvey,19.265 (0.166),-17.748 (0.166),19.679994986101416,3.003435026152557,4.983,PanSTARRS,19.327 (0.016),-17.687 (0.016),185.9099651126601,2.54077748206315,19.215 (0.487),-17.798 (0.487),20.60384412083781,8.83536954056882,19.265 (0.166),-17.748 (0.166),19.679994986101416,3.003435026152557,19.188 (0.006),-17.826 (0.006),21132.791040467324,105.9801771253165,19.327 (0.016),-17.687 (0.016),185.9099651126601,2.54077748206315,19.359 (0.036),-17.654 (0.036),3983.6882259086847,125.4446354763732,False
