sn_name,sample_name,source_file,status,fit_message,max_status,max_fit_message,ebv2_status,ebv2_fit_message,z,sample_redshift,sample_rasn,sample_decsn,sample_sntype,sample_redshift_source,max_Tmax,max_e_Tmax,max_sBV,max_e_sBV,max_st,max_e_st,ebv2_Tmax,ebv2_e_Tmax,ebv2_sBV,ebv2_e_sBV,ebv2_st,ebv2_e_st,ebv2_EBVhost,ebv2_e_EBVhost,B_Tmax,B_e_Tmax,g_Tmax,g_e_Tmax,r_Tmax,r_e_Tmax,B_Mmax,B_e_Mmax,g_Mmax,g_e_Mmax,r_Mmax,r_e_Mmax,B_Mcorr,B_kcor,g_Mcorr,g_kcor,r_Mcorr,r_kcor,EBVgal,max_rchisq,ebv2_rchisq,bands_available,max_bands_used,max_fit_attempts,ebv2_bands_used,ebv2_fit_attempts,k_version,stype,max_plot_file,ebv2_plot_file,max_fit_file,ebv2_fit_file,B_source,g_source,r_source,failure_group
LSQ12cfx,LSQ12cfx,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ12cfx_raw.txt,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.037941,0.037941,13:59:40.96,-25:22:50.98,Ia-91T,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"B,H,J,V,Y,g,i,r",,"B,H,J,V,Y,g,i,r | B,V,g,i,r",,"B,H,J,V,Y,g,i,r | B,V,g,i,r",H3,st,,,,,,,,too sparse / no useful data in required bands
LSQ12fhs,LSQ12fhs,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ12fhs_raw.txt,failed,'filter ID H_wirc not found',import_failed,'filter ID H_wirc not found',import_failed,'filter ID H_wirc not found',,0.033021,22:52:23.45,-20:36:53.30,Ia-91bg,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
LSQ12fmx,LSQ12fmx,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ12fmx_raw.txt,failed,'filter ID H_WHIRC not found',import_failed,'filter ID H_WHIRC not found',import_failed,'filter ID H_WHIRC not found',,0.067314,03:12:52.18,-00:12:12.80,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
LSQ13cmt,LSQ13cmt,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ13cmt_raw.txt,failed,'filter ID H_WHIRC not found',import_failed,'filter ID H_WHIRC not found',import_failed,'filter ID H_WHIRC not found',,0.056896,01:02:41.95,-21:52:23.40,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
LSQ13crf,LSQ13crf,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/LSQ13crf_raw.txt,failed,'filter ID U not found',import_failed,'filter ID U not found',import_failed,'filter ID U not found',,0.048844,03:10:50.23,+01:25:18.90,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
OGLE16euo,OGLE16euo,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/OGLE16euo_raw.txt,failed,'filter ID I not found',import_failed,'filter ID I not found',import_failed,'filter ID I not found',,0.058602,02:50:19.15,-75:23:29.40,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
PS1-13eao,PS1-13eao,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/PS1-13eao_raw.txt,failed,All weights for filter r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter i are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter i are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.037753,0.037067,03:29:56.35,-28:46:17.70,Ia,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"Jrc2,i,H,r,V,Y,B",,"Jrc2,i,H,r,V,Y,B | i,H,r,V,Y,B | i,r,V,B",,"Jrc2,i,H,r,V,Y,B | i,H,r,V,Y,B | i,r,V,B",H3,st,,,,,,,,too sparse / no useful data in required bands
PS15mt,PS15mt,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/PS15mt_raw.txt,failed,'filter ID g_p1 not found',import_failed,'filter ID g_p1 not found',import_failed,'filter ID g_p1 not found',,0.071122,09:54:44.17,+23:11:53.10,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
PTF11qmo,PTF11qmo,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/PTF11qmo_raw.txt,failed,'filter ID H_WHIRC not found',import_failed,'filter ID H_WHIRC not found',import_failed,'filter ID H_WHIRC not found',,0.055339,10:06:49.76,-07:41:12.30,Ia,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
SN1986G,SN1986G,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN1986G_raw.txt,failed,'filter ID I not found',import_failed,'filter ID I not found',import_failed,'filter ID I not found',,0.00183,13:25:36.509,-43:01:54.19,Ia-86G,corez_zobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,import/filter-definition problem
