sample_sn,has_snoopy_txt,matched_txt_files,n_matched_files
SN1998dh,True,SN1998dh_raw.txt,1
SN1999cl,True,SN1999cl_raw.txt,1
SN1999ee,True,SN1999ee_raw.txt,1
SN2001da,True,SN2001da_raw.txt,1
SN2001el,True,SN2001el_raw.txt,1
SN2002ha,True,SN2002ha_raw.txt,1
SN2002jg,True,SN2002jg_raw.txt,1
SN2003ic,True,SN2003ic_raw.txt,1
SN2004ey,True,SN2004ey_raw.txt,1
SN2004gc,True,SN2004gc_raw.txt,1
SN2004gs,True,SN2004gs_raw.txt,1
SN2005M,True,SN2005M_raw.txt,1
SN2005ag,True,SN2005ag_raw.txt,1
SN2005al,True,SN2005al_raw.txt,1
SN2005be,True,SN2005be_raw.txt,1
SN2005bs,True,SN2005bs_raw.txt,1
SN2005cf,True,SN2005cf_raw.txt,1
SN2005dm,True,SN2005dm_raw.txt,1
SN2005el,True,SN2005el_raw.txt,1
SN2005gj,True,SN2005gj_raw.txt,1
SN2005hj,True,SN2005hj_raw.txt,1
SN2005hk,True,SN2005hk_raw.txt,1
SN2005ir,True,SN2005ir_raw.txt,1
SN2005ke,True,SN2005ke_raw.txt,1
SN2005ki,True,SN2005ki_raw.txt,1
SN2005ku,True,SN2005ku_raw.txt,1
SN2005lu,True,SN2005lu_raw.txt,1
SN2005na,True,SN2005na_raw.txt,1
SN2006E,True,SN2006E_raw.txt,1
SN2006X,True,SN2006X_raw.txt,1
SN2006bh,True,SN2006bh_raw.txt,1
SN2006br,True,SN2006br_raw.txt,1
SN2006bt,True,SN2006bt_raw.txt,1
SN2006cm,True,SN2006cm_raw.txt,1
SN2006dd,True,SN2006dd_raw.txt,1
SN2006ef,True,SN2006ef_raw.txt,1
SN2006ej,True,SN2006ej_raw.txt,1
SN2006eq,True,SN2006eq_raw.txt,1
SN2006fw,True,SN2006fw_raw.txt,1
SN2006gt,True,SN2006gt_raw.txt,1
SN2006hb,True,SN2006hb_raw.txt,1
SN2006hx,True,SN2006hx_raw.txt,1
SN2006is,True,SN2006is_raw.txt,1
SN2006lu,True,SN2006lu_raw.txt,1
SN2006mr,True,SN2006mr_raw.txt,1
SN2006ob,True,SN2006ob_raw.txt,1
SN2006os,True,SN2006os_raw.txt,1
SN2006ot,True,SN2006ot_raw.txt,1
SN2006py,True,SN2006py_raw.txt,1
SN2007S,True,SN2007S_raw.txt,1
SN2007af,True,SN2007af_raw.txt,1
SN2007ai,True,SN2007ai_raw.txt,1
SN2007al,True,SN2007al_raw.txt,1
SN2007as,True,SN2007as_raw.txt,1
SN2007ba,True,SN2007ba_raw.txt,1
SN2007bc,True,SN2007bc_raw.txt,1
SN2007bm,True,SN2007bm_raw.txt,1
SN2007ca,True,SN2007ca_raw.txt,1
SN2007cq,True,SN2007cq_raw.txt,1
SN2007fb,True,SN2007fb_raw.txt,1
SN2007fs,True,SN2007fs_raw.txt,1
SN2007hj,True,SN2007hj_raw.txt,1
SN2007hx,True,SN2007hx_raw.txt,1
SN2007if,True,SN2007if_raw.txt,1
