file,base_name,ra_deg,dec_deg,nearest_missing_sample,nearest_missing_ra,nearest_missing_dec,sep_arcsec,within_2arcsec,within_5arcsec,within_10arcsec
ZTF18abqycit_LC.csv,ZTF18abqycit,21.5993,-18.52981,LSQ14gde,15.177041666666666,-14.992583333333332,25534.28514129406,False,False,False
ZTF18abrbywo_LC.csv,ZTF18abrbywo,30.72479,-4.12204,SN2018djd,33.64095833333333,-0.7657694444444445,15999.026569441712,False,False,False
ZTF18abrcvbu_LC.csv,ZTF18abrcvbu,27.80382,-3.38667,SN2018djd,33.64095833333333,-0.7657694444444445,23020.469021085806,False,False,False
ZTF18abrebsb_LC.csv,ZTF18abrebsb,32.4081,-2.7856,SN2018djd,33.64095833333333,-0.7657694444444445,8517.662363062736,False,False,False
ZTF18abrfccm_LC.csv,ZTF18abrfccm,26.86301,0.96766,SN2013ef,28.83629166666666,6.609811111111111,21512.08060892423,False,False,False
ZTF18abrlupd_LC.csv,ZTF18abrlupd,245.62064,51.64224,SN2022epu,228.691862,31.223633,86081.20830212499,False,False,False
ZTF18abrqedj_LC.csv,ZTF18abrqedj,103.0894,27.47072,PSNJ07250042+2347030,111.25175,23.784166666666668,29621.333553379645,False,False,False
ZTF18abrwudp_LC.csv,ZTF18abrwudp,217.52642,58.78683,SN2022epu,228.691862,31.223633,102903.99075108493,False,False,False
ZTF18abryewg_LC.csv,ZTF18abryewg,9.12062,39.17037,SN1995Y,17.748329166666664,33.14463888888889,33129.0200695792,False,False,False
ZTF18abryqnn_LC.csv,ZTF18abryqnn,355.19135,14.10045,SN2000ey,349.85499999999996,5.905861111111111,35036.083395252776,False,False,False
ZTF18abrytwr_LC.csv,ZTF18abrytwr,46.61162,41.21378,SN2004fd,40.813541666666666,32.42378055555555,35763.08637091302,False,False,False
ZTF18abrzbyt_LC.csv,ZTF18abrzbyt,117.28064,32.98061,CSS130317:082848+293031,127.1990833333333,29.508555555555557,32968.77003900017,False,False,False
ZTF18abrzcgl_LC.csv,ZTF18abrzcgl,109.45773,18.4644,PSNJ07250042+2347030,111.25175,23.784166666666668,20075.43276694386,False,False,False
ZTF18abrzevz_LC.csv,ZTF18abrzevz,272.33271,27.61035,SN2004cs,267.5599208333333,14.28318888888889,50573.358341748906,False,False,False
ZTF18abrzeym_LC.csv,ZTF18abrzeym,264.11274,22.49058,SN2004cs,267.5599208333333,14.28318888888889,31801.938411143492,False,False,False
ZTF18abrzhsn_LC.csv,ZTF18abrzhsn,259.04327,1.42953,SN2022esa,253.49,-9.70285,44748.73678743302,False,False,False
ZTF18abrzrnb_LC.csv,ZTF18abrzrnb,222.23576,52.59344,SN2022epu,228.691862,31.223633,78775.07874270827,False,False,False
ZTF18absbsoz_LC.csv,ZTF18absbsoz,346.96523,23.20409,SN2022wsp,345.0146916666666,15.9785,26838.664319546704,False,False,False
ZTF18absbspk_LC.csv,ZTF18absbspk,347.59799,27.64101,SN2022wsp,345.0146916666666,15.9785,42859.18180257134,False,False,False
ZTF18abscygs_LC.csv,ZTF18abscygs,73.5278,48.90041,SN2004fd,40.813541666666666,32.42378055555555,105964.69221287823,False,False,False
ZTF18absdbvf_LC.csv,ZTF18absdbvf,215.95417,34.10287,SN2022epu,228.691862,31.223633,39940.0619168618,False,False,False
ZTF18absdgon_LC.csv,ZTF18absdgon,260.95751,46.3015,SN2022epu,228.691862,31.223633,104517.12920702527,False,False,False
ZTF18absdjms_LC.csv,ZTF18absdjms,271.20313,24.954,SN2004cs,267.5599208333333,14.28318888888889,40344.960410147316,False,False,False
ZTF18absdxpk_LC.csv,ZTF18absdxpk,238.01371,30.73499,SN2022epu,228.691862,31.223633,28816.756688865713,False,False,False
ZTF18absgnio_LC.csv,ZTF18absgnio,351.23586,9.43129,SN2000ey,349.85499999999996,5.905861111111111,13613.92475514334,False,False,False
ZTF18abshmro_LC.csv,ZTF18abshmro,36.6971,-9.06734,SN2012ec,41.4995,-7.574169444444444,17930.737038289935,False,False,False
ZTF18abshtdj_LC.csv,ZTF18abshtdj,23.6731,-5.6348,SN2013dl,19.674,-7.444361111111111,15716.144243646691,False,False,False
ZTF18absiymj_LC.csv,ZTF18absiymj,287.7008,36.63162,SN2004cs,267.5599208333333,14.28318888888889,103239.94831062545,False,False,False
ZTF18abskove_LC.csv,ZTF18abskove,314.79057,-14.26311,LSQ12dbr,314.71620833333327,-2.9741944444444446,40640.95490294863,False,False,False
ZTF18abskzjm_LC.csv,ZTF18abskzjm,12.73584,3.49867,SN2021adxd,9.84546011341,2.80403574116,10686.27526610741,False,False,False
ZTF18abslxhz_LC.csv,ZTF18abslxhz,286.7176,34.34838,SN2004cs,267.5599208333333,14.28318888888889,95373.11698647137,False,False,False
ZTF18absnqyo_LC.csv,ZTF18absnqyo,315.58435,19.96286,LSQ14fmg,334.1920833333333,15.353916666666667,65905.7230180628,False,False,False
ZTF18absoomk_LC.csv,ZTF18absoomk,3.42522,27.56762,SN2022vqz,12.774091666666665,29.536711111111114,30390.817277677714,False,False,False
ZTF18abspqsn_LC.csv,ZTF18abspqsn,10.43586,51.63097,SN1995Y,17.748329166666664,33.14463888888889,69247.90511324894,False,False,False
ZTF18abspszv_LC.csv,ZTF18abspszv,353.4893,-26.44703,SN2019fkq,359.101625,-29.023781,20141.94433271446,False,False,False
ZTF18absqhza_LC.csv,ZTF18absqhza,24.04689,27.27481,SN1995Y,17.748329166666664,33.14463888888889,28805.15269962264,False,False,False
ZTF18absqlcg_LC.csv,ZTF18absqlcg,16.15651,12.79317,SN2021abze,10.8843865335,14.3427825741,19273.932254688614,False,False,False
ZTF18abssdpi_LC.csv,ZTF18abssdpi,280.83507,58.80548,SN2022epu,228.691862,31.223633,159612.0535071204,False,False,False
ZTF18absspcp_LC.csv,ZTF18absspcp,315.30119,14.48544,LSQ12dbr,314.71620833333327,-2.9741944444444446,62889.32011845658,False,False,False
ZTF18absstyb_LC.csv,ZTF18absstyb,238.09248,22.93234,ASASSN-13cp,233.45514999999997,21.139408333333332,16765.57889596072,False,False,False
ZTF18abssukb_LC.csv,ZTF18abssukb,227.26361,31.94105,SN2022epu,228.691862,31.223633,5084.815174939556,False,False,False
ZTF18abssuxz_LC.csv,ZTF18abssuxz,244.45155,41.46955,SN2022epu,228.691862,31.223633,58561.50972881968,False,False,False
ZTF18absyyig_LC.csv,ZTF18absyyig,338.28761,4.12977,SN2000ey,349.85499999999996,5.905861111111111,41970.66254981506,False,False,False
ZTF18abtcdfv_LC.csv,ZTF18abtcdfv,12.52687,39.95691,SN1995Y,17.748329166666664,33.14463888888889,28786.954687480204,False,False,False
ZTF18abtfrbf_LC.csv,ZTF18abtfrbf,7.60265,-1.26417,SN2021adxd,9.84546011341,2.80403574116,16722.560897514035,False,False,False
ZTF18abtftfn_LC.csv,ZTF18abtftfn,350.7488,14.98646,SN2022wsp,345.0146916666666,15.9785,20210.847372233213,False,False,False
ZTF18abtfvsk_LC.csv,ZTF18abtfvsk,18.82542,-6.85906,SN2013dl,19.674,-7.444361111111111,3691.532296853696,False,False,False
ZTF18abtgkdo_LC.csv,ZTF18abtgkdo,40.71517,21.51179,SN2013hk,45.54520833333333,15.927438888888888,25981.865161975133,False,False,False
ZTF18abtgnky_LC.csv,ZTF18abtgnky,20.58141,-2.49672,SN2013dl,19.674,-7.444361111111111,18106.19083512705,False,False,False
ZTF18abtgtpn_LC.csv,ZTF18abtgtpn,6.46593,-20.68064,LSQ14gde,15.177041666666666,-14.992583333333332,36185.174187345205,False,False,False
ZTF18abtjpoy_LC.csv,ZTF18abtjpoy,318.04032,-8.46171,LSQ12dbr,314.71620833333327,-2.9741944444444446,23063.673124217872,False,False,False
ZTF18abtkqkb_LC.csv,ZTF18abtkqkb,354.94696,-23.9202,SN2019fkq,359.101625,-29.023781,22728.739904834092,False,False,False
