sample_sn,status,tns_name_full,tns_name,tns_prefix,tns_type,tns_redshift,tns_discoverydate,tns_internal_names,ztf_aliases,atlas_aliases,n_candidate_tns_rows,sep_arcsec_if_coord_resolved
SN2018agk,matched,SN2018agk,2018agk,SN,SN Ia,0.026128,2018-03-10 19:06:06.000,"C17-0010, PS18mr, ATLAS18mvb",,ATLAS18mvb,1,
SN2018oh,matched,SN2018oh,2018oh,SN,SN Ia,0.012,2018-02-04 11:45:36.000,"ASASSN-18bt, ATLAS18lwy, PS18gr, Gaia18awj",,ATLAS18lwy,1,
SN2018xx,matched,SN2018xx,2018xx,SN,SN Ia,,2018-02-21 09:10:04.000,"DLT18h, ATLAS18mhq, Gaia18blg",,ATLAS18mhq,1,
SN2018zz,matched,SN2018zz,2018zz,SN,SN Ia,0.0138,2018-03-03 22:04:48.000,"ASASSN-18en, ATLAS18mlg, Gaia18ari",,ATLAS18mlg,1,
SN2021abze,matched,SN2021abze,2021abze,SN,SN II,0.0148,2021-10-22 09:59:02.400,"ATLAS21bkkb, ZTF21aciluqg, PS21njx",ZTF21aciluqg,ATLAS21bkkb,1,
SN2021acnt,matched,SN2021acnt,2021acnt,SN,SN Ia,0.008,2021-10-26 14:52:48.000,"ATLAS21bkpo, Gaia21faf, MASTER OT J094142.83-281209.2, PS21nca",,ATLAS21bkpo,1,
SN2021adlr,matched,SN2021adlr,2021adlr,SN,SN II,0.029635,2021-11-04 10:46:33.600,"ATLAS21blqk, ZTF21aclcfej, PS21mgm, Gaia21ftd",ZTF21aclcfej,ATLAS21blqk,1,
SN2021adxd,matched,SN2021adxd,2021adxd,SN,SN IIP,0.017522,2021-11-06 05:55:40.800,"ZTF21aclmgzk, ATLAS21blvx, PS21mro",ZTF21aclmgzk,ATLAS21blvx,1,
SN2021aess,matched,SN2021aess,2021aess,SN,SN IIn-pec,0.007,2021-11-14 06:33:54.720,"ZTF21acpkzcc, ATLAS21bmog, Gaia21frh, PS23end",ZTF21acpkzcc,ATLAS21bmog,1,
SN2021afkk,matched,SN2021afkk,2021afkk,SN,SN II,0.0138,2021-11-25 08:54:14.400,"ATLAS21bmvp, PS22pv, ZTF22aaagxir",ZTF22aaagxir,ATLAS21bmvp,1,
SN2021agbn,matched,SN2021agbn,2021agbn,SN,SN II,0.01474,2021-12-03 08:45:36.000,"ATLAS21bnbr, Gaia21fqg, PS22b",,ATLAS21bnbr,1,
SN2022crr,matched,SN2022crr,2022crr,SN,SN Ic-BL,0.0188,2022-02-18 02:35:23.424,"ATLAS22gcd, ZTF22aabgazg, PS22byi",ZTF22aabgazg,ATLAS22gcd,1,
SN2022crv,matched,SN2022crv,2022crv,SN,SN Ib,0.008091,2022-02-19 04:30:59.616,"DLT22d, ATLAS22gdi, Gaia22bvp",,ATLAS22gdi,1,
SN2022epu,matched,SN2022epu,2022epu,SN,SN Ic,0.031,2022-03-09 11:32:23.712,ATLAS22ivc,,ATLAS22ivc,1,
SN2022wsp,matched,SN2022wsp,2022wsp,SN,SN II,0.007318,2022-10-02 23:59:19.392,"DLT22q, ATLAS22bhvs, PS22knl",,ATLAS22bhvs,1,
