obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
26651728,HST,image,hst_14779_03_wfc3_uvis_f275w_id7603,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_f275w_id7603_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_f275w_id7603_drc.fits,363415680,25851477,PUBLIC,3,F275W
26651696,HST,image,hst_14779_03_wfc3_uvis_f275w_id7603d0,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_f275w_id7603d0_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_f275w_id7603d0_drc.fits,363409920,25851477,PUBLIC,2,F275W
26651710,HST,image,hst_14779_03_wfc3_uvis_f275w_id7603d4,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_f275w_id7603d4_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_f275w_id7603d4_drc.fits,363409920,25851477,PUBLIC,2,F275W
26651748,HST,image,hst_14779_03_wfc3_uvis_total_id7603,HAP fits science image,D,mast:HST/product/hst_14779_03_wfc3_uvis_total_id7603_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_03_wfc3_uvis_total_id7603_drc.fits,363415680,25851477,PUBLIC,3,detection
26651623,HST,image,hst_14779_05_wfc3_uvis_f275w_id7605,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_f275w_id7605_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_f275w_id7605_drc.fits,299185920,25858700,PUBLIC,3,F275W
26651612,HST,image,hst_14779_05_wfc3_uvis_f275w_id7605gu,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_f275w_id7605gu_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_f275w_id7605gu_drc.fits,299180160,25858700,PUBLIC,2,F275W
26651619,HST,image,hst_14779_05_wfc3_uvis_f275w_id7605gv,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_f275w_id7605gv_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_f275w_id7605gv_drc.fits,299180160,25858700,PUBLIC,2,F275W
26651625,HST,image,hst_14779_05_wfc3_uvis_total_id7605,HAP fits science image,D,mast:HST/product/hst_14779_05_wfc3_uvis_total_id7605_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_05_wfc3_uvis_total_id7605_drc.fits,299185920,25858700,PUBLIC,3,detection
26655851,HST,image,hst_14779_06_wfc3_uvis_f275w_id7606,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_f275w_id7606_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_f275w_id7606_drc.fits,433010880,25066246,PUBLIC,3,F275W
26655811,HST,image,hst_14779_06_wfc3_uvis_f275w_id7606ba,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_f275w_id7606ba_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_f275w_id7606ba_drc.fits,433005120,25066246,PUBLIC,2,F275W
26655826,HST,image,hst_14779_06_wfc3_uvis_f275w_id7606bb,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_f275w_id7606bb_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_f275w_id7606bb_drc.fits,433005120,25066246,PUBLIC,2,F275W
26655871,HST,image,hst_14779_06_wfc3_uvis_total_id7606,HAP fits science image,D,mast:HST/product/hst_14779_06_wfc3_uvis_total_id7606_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_06_wfc3_uvis_total_id7606_drc.fits,433010880,25066246,PUBLIC,3,detection
26658993,HST,image,hst_14779_15_wfc3_uvis_f275w_id7615,HAP fits science image,D,mast:HST/product/hst_14779_15_wfc3_uvis_f275w_id7615_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_15_wfc3_uvis_f275w_id7615_drc.fits,352261440,25857701,PUBLIC,3,F275W
26658974,HST,image,hst_14779_15_wfc3_uvis_f275w_id7615i0,HAP fits science image,D,mast:HST/product/hst_14779_15_wfc3_uvis_f275w_id7615i0_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_15_wfc3_uvis_f275w_id7615i0_drc.fits,352255680,25857701,PUBLIC,2,F275W
26658958,HST,image,hst_14779_15_wfc3_uvis_f275w_id7615i1,HAP fits science image,D,mast:HST/product/hst_14779_15_wfc3_uvis_f275w_id7615i1_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_15_wfc3_uvis_f275w_id7615i1_drc.fits,352255680,25857701,PUBLIC,2,F275W
26659018,HST,image,hst_14779_15_wfc3_uvis_total_id7615,HAP fits science image,D,mast:HST/product/hst_14779_15_wfc3_uvis_total_id7615_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_15_wfc3_uvis_total_id7615_drc.fits,352261440,25857701,PUBLIC,3,detection
26651586,HST,image,hst_14779_19_wfc3_uvis_f275w_id7619,HAP fits science image,D,mast:HST/product/hst_14779_19_wfc3_uvis_f275w_id7619_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_19_wfc3_uvis_f275w_id7619_drc.fits,236736000,25056058,PUBLIC,3,F275W
26651577,HST,image,hst_14779_19_wfc3_uvis_f275w_id7619bi,HAP fits science image,D,mast:HST/product/hst_14779_19_wfc3_uvis_f275w_id7619bi_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_19_wfc3_uvis_f275w_id7619bi_drc.fits,236730240,25056058,PUBLIC,2,F275W
26651582,HST,image,hst_14779_19_wfc3_uvis_f275w_id7619bj,HAP fits science image,D,mast:HST/product/hst_14779_19_wfc3_uvis_f275w_id7619bj_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_19_wfc3_uvis_f275w_id7619bj_drc.fits,236730240,25056058,PUBLIC,2,F275W
26651590,HST,image,hst_14779_19_wfc3_uvis_total_id7619,HAP fits science image,D,mast:HST/product/hst_14779_19_wfc3_uvis_total_id7619_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_19_wfc3_uvis_total_id7619_drc.fits,236736000,25056058,PUBLIC,3,detection
26659390,HST,image,hst_14779_20_wfc3_uvis_f275w_id7620,HAP fits science image,D,mast:HST/product/hst_14779_20_wfc3_uvis_f275w_id7620_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_20_wfc3_uvis_f275w_id7620_drc.fits,319360320,25056059,PUBLIC,3,F275W
26659386,HST,image,hst_14779_20_wfc3_uvis_f275w_id7620v6,HAP fits science image,D,mast:HST/product/hst_14779_20_wfc3_uvis_f275w_id7620v6_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_20_wfc3_uvis_f275w_id7620v6_drc.fits,319354560,25056059,PUBLIC,2,F275W
26659388,HST,image,hst_14779_20_wfc3_uvis_f275w_id7620v7,HAP fits science image,D,mast:HST/product/hst_14779_20_wfc3_uvis_f275w_id7620v7_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_20_wfc3_uvis_f275w_id7620v7_drc.fits,319354560,25056059,PUBLIC,2,F275W
26659392,HST,image,hst_14779_20_wfc3_uvis_total_id7620,HAP fits science image,D,mast:HST/product/hst_14779_20_wfc3_uvis_total_id7620_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_20_wfc3_uvis_total_id7620_drc.fits,319360320,25056059,PUBLIC,3,detection
26659090,HST,image,hst_14779_25_wfc3_uvis_f275w_id7625,HAP fits science image,D,mast:HST/product/hst_14779_25_wfc3_uvis_f275w_id7625_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_25_wfc3_uvis_f275w_id7625_drc.fits,433592640,25874431,PUBLIC,3,F275W
26659027,HST,image,hst_14779_25_wfc3_uvis_f275w_id7625rl,HAP fits science image,D,mast:HST/product/hst_14779_25_wfc3_uvis_f275w_id7625rl_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_25_wfc3_uvis_f275w_id7625rl_drc.fits,433586880,25874431,PUBLIC,2,F275W
26659065,HST,image,hst_14779_25_wfc3_uvis_f275w_id7625rm,HAP fits science image,D,mast:HST/product/hst_14779_25_wfc3_uvis_f275w_id7625rm_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_25_wfc3_uvis_f275w_id7625rm_drc.fits,433586880,25874431,PUBLIC,2,F275W
26659123,HST,image,hst_14779_25_wfc3_uvis_total_id7625,HAP fits science image,D,mast:HST/product/hst_14779_25_wfc3_uvis_total_id7625_drc.fits,SCIENCE,,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_25_wfc3_uvis_total_id7625_drc.fits,433592640,25874431,PUBLIC,3,detection
26659130,HST,image,hst_14779_30_wfc3_uvis_f275w_id7630,HAP fits science image,D,mast:HST/product/hst_14779_30_wfc3_uvis_f275w_id7630_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_30_wfc3_uvis_f275w_id7630_drc.fits,321909120,25872496,PUBLIC,3,F275W
