sn_name,sn_ra_deg,sn_dec_deg,sep_arcsec,obs_id,target_name,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level
LSQ13aiz,198.811708,-17.965458,27.690813016135202,hst_skycell-p0927x03y11_wfc3_uvis_f275w_all,SN2013CS-HOST,WFC3/UVIS,F275W,,,,60398.85085736,60398.87317233,1650.0,3
LSQ13aiz,198.811708,-17.965458,27.690813016135202,hst_skycell-p0928x19y11_wfc3_uvis_f275w_all,SN2013CS-HOST,WFC3/UVIS,F275W,,,,60398.85085736,60398.87317233,1650.0,3
LSQ13aiz,198.811708,-17.965458,27.690813016135202,hst_skycell-p0928x20y11_wfc3_uvis_f275w_all,SN2013CS-HOST,WFC3/UVIS,F275W,,,,60398.85085736,60398.87317233,1650.0,3
LSQ15aae,247.565417,5.932981,0.03162252963159683,hst_skycell-p1473x07y11_wfc3_uvis_f275w_all,LSQ15AAE,WFC3/UVIS,F275W,,,,57865.27151568,57865.33343695,858.0,3
LSQ15aae,247.565417,5.932981,0.03162252963159683,hst_skycell-p1473x08y11_wfc3_uvis_f275w_all,LSQ15AAE,WFC3/UVIS,F275W,,,,57865.27151568,57865.33343695,858.0,3
LSQ15aae,247.565417,5.932981,0.03162252963159683,hst_14779_15_wfc3_uvis_f275w_id7615,LSQ15AAE,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57865.27151568,57865.33343695,858.0,3
LSQ15aae,247.565417,5.932981,0.03162252963159683,id7615010,LSQ15AAE,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57865.271515706016,57865.33343695602,858.0,3
PS15sv,243.298917,1.591972,0.0014417348888364119,hst_skycell-p1383x14y09_wfc3_uvis_f275w_all,PS15SV,WFC3/UVIS,F275W,,,,58024.93897325,58024.95045489,858.0,3
PS15sv,243.298917,1.591972,0.0014417348888364119,hst_14779_25_wfc3_uvis_f275w_id7625,PS15SV,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,58024.93897325,58024.95045489,858.0,3
PS15sv,243.298917,1.591972,0.0014417348888364119,id7625010,PS15SV,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58024.93897326389,58024.95045489584,858.0,3
PTF11pbp,351.981333,8.779167,17.688824754125584,hst_skycell-p1588x11y06_wfc3_uvis_f275w_all,SN2011HB-HOST,WFC3/UVIS,F275W,,,,59814.76642844,59814.78874304,1650.0,3
PTF11pra,34.690875,-6.641944,13.5916193678884,hst_skycell-p1152x18y08_wfc3_uvis_f275w_all,PTF11PRA-HOST,WFC3/UVIS,F275W,,,,59819.93831473,59819.96165971,1600.0,3
PTF11qnr,341.106042,-0.167222,16.18328749024408,iebj36010,PTF11QNR-HOST,WFC3/UVIS,F275W,16287,"Lyman, Joseph",A public UV snapshot survey of core-collapse supernova hosts in IF,59459.977122372686,59460.00057144676,1650.0,3
PTF11qnr,341.106042,-0.167222,25.646480265635343,hst_skycell-p1317x06y19_wfc3_uvis_f275w_all,PTF11QNR-HOST,WFC3/UVIS,F275W,,,,59459.97712238,59460.00057143,1650.0,3
PTF11qnr,341.106042,-0.167222,25.646480265635343,hst_skycell-p1407x06y02_wfc3_uvis_f275w_all,PTF11QNR-HOST,WFC3/UVIS,F275W,,,,59459.97712238,59460.00057143,1650.0,3
PTF11qnr,341.106042,-0.167222,25.646480265635343,hst_16287_36_wfc3_uvis_f275w_iebj36,PTF11QNR-HOST,WFC3/UVIS,F275W,16287,"Lyman, Joseph",,59459.97712238,59460.00057143,1650.0,3
PTF13duj,318.436583,13.575861,0.25532249104054366,hst_skycell-p1668x14y09_wfc3_uvis_f275w_all,SN2013FW,WFC3/UVIS,F275W,,,,58216.20393259,58216.2210972,780.0,3
PTF13duj,318.436583,13.575861,0.25532249104054366,hst_15166_58_wfc3_uvis_f275w_idi158,SN2013FW,WFC3/UVIS,F275W,15166,"Filippenko, Alex V.",,58216.20393259,58216.2210972,780.0,3
PTF13duj,318.436583,13.575861,0.25532249104054366,idi158010,SN2013FW,WFC3/UVIS,F275W,15166,"Filippenko, Alex V.","Continuing a Snapshot Survey of the Sites of Recent, Nearby Supernovae: Cycles 25 & 26",58216.20393260416,58216.2210971875,780.0,3
PTF13ebh,35.499917,33.270472,0.0012831969735958844,hst_skycell-p2016x03y08_wfc3_uvis_f275w_all,PTF13EBH,WFC3/UVIS,F275W,,,,58004.57238769,58004.58386897,858.0,3
PTF13ebh,35.499917,33.270472,0.0012831969735958844,hst_skycell-p2017x19y08_wfc3_uvis_f275w_all,PTF13EBH,WFC3/UVIS,F275W,,,,58004.57238769,58004.58386897,858.0,3
PTF13ebh,35.499917,33.270472,0.0012831969735958844,hst_14779_30_wfc3_uvis_f275w_id7630,PTF13EBH,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,58004.57238769,58004.58386897,858.0,3
PTF13ebh,35.499917,33.270472,0.0012831969735958844,id7630010,PTF13EBH,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58004.57238769676,58004.583868981485,858.0,3
PTF14fpg,7.05,7.162083,0.0011999988005868016,hst_skycell-p1414x15y16_wfc3_uvis_f275w_all,PTF14FPG,WFC3/UVIS,F275W,,,,58005.22603362,58005.23751489,858.0,3
PTF14fpg,7.05,7.162083,0.0011999988005868016,hst_14779_55_wfc3_uvis_f275w_id7655,PTF14FPG,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,58005.22603362,58005.23751489,858.0,3
PTF14fpg,7.05,7.162083,0.0011999988005868016,id7655010,PTF14FPG,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,58005.226033645835,58005.23751489583,858.0,3
PTF14gnl,5.951375,-3.85775,0.0,hst_skycell-p1144x03y20_wfc3_uvis_f275w_all,PTF14GNL,WFC3/UVIS,F275W,,,,58006.61706362,58006.62854489,858.0,3
PTF14gnl,5.951375,-3.85775,0.0,hst_skycell-p1233x03y03_wfc3_uvis_f275w_all,PTF14GNL,WFC3/UVIS,F275W,,,,58006.61706362,58006.62854489,858.0,3
PTF14gnl,5.951375,-3.85775,0.0,hst_14779_52_wfc3_uvis_f275w_id7652,PTF14GNL,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,58006.61706362,58006.62854489,858.0,3
