sn_name,sn_ra_deg,sn_dec_deg,sep_arcsec,obs_id,target_name,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,proposal_id_clean
ASAS14lo,177.971292,18.541389,2.3000433378447447,hst_14779_03_wfc3_uvis_f275w_id7603,ASASSN-14LO,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57809.02187303,57809.03335431,858.0,3,14779
ASAS14lo,177.971292,18.541389,2.3000433378447447,id7603010,ASASSN-14LO,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57809.021873032405,57809.03335431713,858.0,3,14779
ASAS14lq,344.330875,-20.966878,0.0392000040085572,hst_14779_05_wfc3_uvis_f275w_id7605,ASASSN-14LQ,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57874.83398123,57874.84546251,858.0,3,14779
ASAS14lq,344.330875,-20.966878,0.0392000040085572,id7605010,ASASSN-14LQ,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57874.83398121528,57874.8454625,858.0,3,14779
ASAS14lw,16.704875,-46.983322,0.8592000120177955,hst_14779_06_wfc3_uvis_f275w_id7606,ASASSN-14LW,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57780.80731179,57780.81879343,858.0,3,14779
ASAS14lw,16.704875,-46.983322,0.8592000120177955,id7606010,ASASSN-14LW,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57780.807311805554,57780.8187934375,858.0,3,14779
CSP14acy,10.619792,-64.764167,0.0634514927897962,hst_14779_19_wfc3_uvis_f275w_id7619,OGLE-2014-SN-107,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57712.86498016,57712.87646143,858.0,3,14779
CSP14acy,10.619792,-64.764167,0.0634514927897962,id7619010,OGLE-2014-SN-107,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57712.86498017361,57712.87646142361,858.0,3,14779
CSP14ade,84.327667,-75.721389,0.0004975843417689,hst_14779_20_wfc3_uvis_f275w_id7620,OGLE-2014-SN-141,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57708.10488756,57708.11636884,858.0,3,14779
CSP14ade,84.327667,-75.721389,0.0004975843417689,id7620010,OGLE-2014-SN-141,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57708.104887581016,57708.11636883102,858.0,3,14779
LSQ15aae,247.565417,5.932981,0.0316225296315968,hst_14779_15_wfc3_uvis_f275w_id7615,LSQ15AAE,WFC3/UVIS,F275W,14779.0,"Graham, Melissa Lynn",,57865.27151568,57865.33343695,858.0,3,14779
