sample_sn,lowz_match_used,status,message,output_file,n_filters,n_points
SN2011hb,sn2011hb,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2011hb_raw.txt,2,5
SN2011hk,sn2011hk,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2011hk_raw.txt,2,4
SN2011io,sn2011io,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2011io_raw.txt,2,2
SN2012Z,sn2012z,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2012Z_raw.txt,25,836
SN2012fk,sn2012fk,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2012fk_raw.txt,2,5
SN2012fw,sn2012fw,failed,No .out_<filter> files found,,0,0
SN2013cs,sn2013cs,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2013cs_raw.txt,11,129
SN2013ex,sn2013ex,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2013ex_raw.txt,11,91
SN2015H,sn2015h,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2015H_raw.txt,7,122
SN2016hnk,sn2016hnk,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2016hnk_raw.txt,11,282
SN2017cbv,sn2017cbv,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2017cbv_raw.txt,6,161
SN2017erp,sn2017erp,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2017erp_raw.txt,10,340
SN2017fgc,sn2017fgc,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2017fgc_raw.txt,4,271
SN2017fzw,sn2017fzw,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2017fzw_raw.txt,16,453
SN2018gv,sn2018gv,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2018gv_raw.txt,4,259
SNF20080612-003,snf20080612-003,failed,No .out_<filter> files found,,0,0
iPTF13dge,iptf13dge,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/iPTF13dge_raw.txt,13,477
iPTF13dkl,iptf13dkl,ok,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/iPTF13dkl_raw.txt,5,12
