obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
26659305,HST,image,hst_14779_52_wfc3_uvis_f275w_id7652,HAP fits science image,D,mast:HST/product/hst_14779_52_wfc3_uvis_f275w_id7652_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_52_wfc3_uvis_f275w_id7652_drc.fits,433442880,26659305,PUBLIC,3,F275W
26659407,HST,image,hst_14779_55_wfc3_uvis_f275w_id7655,HAP fits science image,D,mast:HST/product/hst_14779_55_wfc3_uvis_f275w_id7655_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,14779,hst_14779_55_wfc3_uvis_f275w_id7655_drc.fits,311670720,26659407,PUBLIC,3,F275W
26302984,HST,image,hst_15166_57_wfc3_uvis_f275w_idi157,HAP fits science image,D,mast:HST/product/hst_15166_57_wfc3_uvis_f275w_idi157_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,15166,hst_15166_57_wfc3_uvis_f275w_idi157_drc.fits,423541440,26302984,PUBLIC,3,F275W
26669757,HST,image,hst_15166_58_wfc3_uvis_f275w_idi158,HAP fits science image,D,mast:HST/product/hst_15166_58_wfc3_uvis_f275w_idi158_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,15166,hst_15166_58_wfc3_uvis_f275w_idi158_drc.fits,435476160,26669757,PUBLIC,3,F275W
26693490,HST,image,hst_15654_09_wfc3_uvis_f275w_idxr09,HAP fits science image,D,mast:HST/product/hst_15654_09_wfc3_uvis_f275w_idxr09_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,15654,hst_15654_09_wfc3_uvis_f275w_idxr09_drc.fits,359265600,26693490,PUBLIC,3,F275W
26689531,HST,image,hst_15654_27_wfc3_uvis_f275w_idxr27,HAP fits science image,D,mast:HST/product/hst_15654_27_wfc3_uvis_f275w_idxr27_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,15654,hst_15654_27_wfc3_uvis_f275w_idxr27_drc.fits,237718080,26689531,PUBLIC,3,F275W
60739645,HST,image,hst_16287_28_wfc3_uvis_f275w_iebj28,HAP fits science image,D,mast:HST/product/hst_16287_28_wfc3_uvis_f275w_iebj28_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,16287,hst_16287_28_wfc3_uvis_f275w_iebj28_drc.fits,224896320,60739645,PUBLIC,3,F275W
62368385,HST,image,hst_16287_36_wfc3_uvis_f275w_iebj36,HAP fits science image,D,mast:HST/product/hst_16287_36_wfc3_uvis_f275w_iebj36_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-SVM,DrizzlePac 3.10.0,16287,hst_16287_36_wfc3_uvis_f275w_iebj36_drc.fits,106994880,62368385,PUBLIC,3,F275W
129658367,HST,image,hst_skycell-p0458x03y04_wfc3_uvis_f275w_all,HAP fits science image,D,mast:HST/product/hst_skycell-p0458x03y04_wfc3_uvis_f275w_all_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-MVM,DrizzlePac 3.7.1.1,,hst_skycell-p0458x03y04_wfc3_uvis_f275w_all_drc.fits,225492480,129658367,PUBLIC,3,F275W
89368178,HST,image,hst_skycell-p0502x10y08_wfc3_uvis_f275w_all,HAP fits science image,D,mast:HST/product/hst_skycell-p0502x10y08_wfc3_uvis_f275w_all_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-MVM,DrizzlePac 3.7.1.1,,hst_skycell-p0502x10y08_wfc3_uvis_f275w_all_drc.fits,430145280,89368178,PUBLIC,3,F275W
213502027,HST,image,hst_skycell-p0927x03y11_wfc3_uvis_f275w_all,HAP fits science image,D,mast:HST/product/hst_skycell-p0927x03y11_wfc3_uvis_f275w_all_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-MVM,DrizzlePac 3.7.1.1,,hst_skycell-p0927x03y11_wfc3_uvis_f275w_all_drc.fits,213148800,213502027,PUBLIC,3,F275W
90700092,HST,image,hst_skycell-p1152x18y08_wfc3_uvis_f275w_all,HAP fits science image,D,mast:HST/product/hst_skycell-p1152x18y08_wfc3_uvis_f275w_all_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-MVM,DrizzlePac 3.7.1.1,,hst_skycell-p1152x18y08_wfc3_uvis_f275w_all_drc.fits,265533120,90700092,PUBLIC,3,F275W
154322208,HST,image,hst_skycell-p1236x18y13_wfc3_uvis_f275w_all,HAP fits science image,D,mast:HST/product/hst_skycell-p1236x18y13_wfc3_uvis_f275w_all_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-MVM,DrizzlePac 3.7.1.1,,hst_skycell-p1236x18y13_wfc3_uvis_f275w_all_drc.fits,93945600,154322208,PUBLIC,3,F275W
83759224,HST,image,hst_skycell-p1534x03y12_wfc3_uvis_f275w_all,HAP fits science image,D,mast:HST/product/hst_skycell-p1534x03y12_wfc3_uvis_f275w_all_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-MVM,DrizzlePac 3.7.1.1,,hst_skycell-p1534x03y12_wfc3_uvis_f275w_all_drc.fits,252017280,83759224,PUBLIC,3,F275W
90547698,HST,image,hst_skycell-p1588x11y06_wfc3_uvis_f275w_all,HAP fits science image,D,mast:HST/product/hst_skycell-p1588x11y06_wfc3_uvis_f275w_all_drc.fits,SCIENCE,Minimum Recommended Products,DRC,,HAP-MVM,DrizzlePac 3.7.1.1,,hst_skycell-p1588x11y06_wfc3_uvis_f275w_all_drc.fits,535184640,90547698,PUBLIC,3,F275W
