###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59599.225096  19.691  0.492    48   24 o  0   0.88 116.30992 -71.40390  7882.54  3396.24 2.34 1.94 -14.2 -0.404 18.65 19.32 04a59599o0424o
59600.911776 -22.698  6.813    -3   21 o  0   0.84 116.30992 -71.40390  6347.14  5591.91 2.67 2.26  88.2 -0.441 18.85 19.96 03a59601o0129o
59600.913204  20.622  0.909    20   19 o  0   1.38 116.30992 -71.40390  6327.98  5553.18 2.79 2.17  88.6 -0.420 18.82 19.94 03a59601o0132o
59600.916259 -21.923  3.212    -6   20 o  0   1.14 116.30992 -71.40390  6383.32  5632.13 2.70 2.21  89.2 -0.439 18.86 19.94 03a59601o0138o
59600.921535 -19.831  0.470   -42   20 o  0   1.15 116.30992 -71.40390  6409.11  5515.72 2.69 2.16  89.4 -0.438 18.88 19.94 03a59601o0149o
59604.946170  20.782  1.037    18   18 o  0   0.69 116.30992 -71.40390  4159.92  4933.69 2.44 2.09  86.6 -0.439 19.19 20.73 03a59605o0381o
59604.950896  20.968  0.966    15   14 o  0   1.23 116.30992 -71.40390  4177.67  4974.34 2.45 2.11  85.7 -0.448 19.17 20.70 03a59605o0391o
59604.955706 -20.876  1.130   -16   18 o  0   1.04 116.30992 -71.40390  4122.93  4898.40 2.52 2.15  85.9 -0.444 19.14 20.72 03a59605o0401o
59604.959535 -21.786  2.410    -7   17 o  0   0.66 116.30992 -71.40390  4101.44  5014.57 2.50 2.12  86.3 -0.442 19.11 20.62 03a59605o0409o
59607.193943 -21.572  2.765    -8   24 o  0   0.79 116.30992 -71.40390  9870.36  7592.07 2.77 2.69 -59.4 -0.399 19.21 20.76 04a59607o0376o
59607.194410  20.890  1.010    16   16 o  0   0.98 116.30992 -71.40390  1342.78  7440.26 2.95 2.16  83.2 -0.342 19.28 20.81 04a59607o0377o
59607.199176  21.015  1.678    14   24 o  0   0.87 116.30992 -71.40390  9882.83  7631.22 2.95 2.30 -11.3 -0.421 19.35 20.78 04a59607o0387o
59607.199643 -21.348  1.492   -10   16 o  0   0.67 116.30992 -71.40390  1359.41  7474.47 3.08 2.21  84.6 -0.346 19.24 20.83 04a59607o0388o
59607.202477  22.646  5.923     3   19 o  0   1.15 116.30992 -71.40390  9824.52  7543.59 2.67 2.61 -20.9 -0.428 19.29 20.79 04a59607o0394o
59607.203409  21.778  2.310     7   16 o  0   0.89 116.30992 -71.40390  1303.76  7400.64 3.00 2.14  86.1 -0.353 19.29 20.83 04a59607o0396o
59607.212912  21.255  1.922    11   22 o  0   0.75 116.30992 -71.40390  9795.15  7652.79 2.86 2.58  -5.6 -0.407 19.24 20.74 04a59607o0416o
59607.216688  25.757 91.000     0   16 o  0   1.00 116.30992 -71.40390  1279.53  7511.71 3.05 2.17  83.3 -0.382 19.26 20.69 04a59607o0424o
59607.933937 -24.084 15.667    -1   13 c  0   0.93 116.30992 -71.40390  7883.40  9092.97 3.28 3.08  82.5 -0.371 19.36 21.94 03a59608o0179c
59607.936668  21.745  1.750     7   13 c  0   0.91 116.30992 -71.40390  7895.75  9129.72 3.19 2.94  86.6 -0.369 19.44 21.93 03a59608o0185c
59607.943537 -20.429  0.533   -24   13 c  0   2.18 116.30992 -71.40390  7855.25  9045.51 3.59 3.36 -86.8 -0.342 19.29 21.90 03a59608o0199c
59607.953117 -21.066  1.040   -14   14 c  0   0.89 116.30992 -71.40390  7839.66  9150.65 3.24 3.01  84.6 -0.365 19.38 21.91 03a59608o0220c
59612.125292  22.396  4.600     4   18 o  0   0.81 116.30992 -71.40390  8559.11  7109.94 4.22 2.31  -5.8 -0.333 19.03 20.98 04a59612o0211o
59612.126770  23.196  8.571     2   16 o  0   1.20 116.30992 -71.40390  8557.31  7073.04 4.26 2.39  -5.2 -0.320 19.03 20.98 04a59612o0214o
59612.129545 -22.908  7.111    -2   18 o  0   1.12 116.30992 -71.40390  8653.13  7146.40 4.25 2.39  -4.5 -0.330 19.04 20.95 04a59612o0220o
59612.138859  22.015  3.211     6   18 o  0   1.02 116.30992 -71.40390  8785.93  7027.65 4.51 2.47  -0.9 -0.318 18.98 20.91 04a59612o0240o
59616.191879  22.794  5.211     3   14 o  0   1.08 116.30992 -71.40390  3859.87  3409.29 2.05 2.00 -69.5 -0.527 19.42 21.10 04a59616o0259o
59616.195522  21.942  2.558     6   16 o  0   0.92 116.30992 -71.40390  3875.54  3445.89 1.99 1.95 -45.5 -0.541 19.43 21.10 04a59616o0267o
59616.201087  21.178  1.163    12   14 o  0   1.27 116.30992 -71.40390  3806.82  3368.00 2.09 2.07  65.6 -0.534 19.39 21.07 04a59616o0279o
59616.213920 -21.641  1.729    -8   14 o  0   1.06 116.30992 -71.40390  3768.39  3480.12 2.03 1.97 -71.0 -0.509 19.39 21.02 04a59616o0307o
59621.941685 -20.701  1.200   -19   23 o  0   0.78 116.30992 -71.40390  3222.00  8719.80 2.51 2.24  89.3 -0.407 19.07 20.31 03a59622o0382o
59621.944419  23.692 12.286     1   15 o  0   1.20 116.30992 -71.40390  3239.01  8756.68 2.50 2.25 -87.6 -0.401 19.08 20.31 03a59622o0388o
59621.951080 -25.784 90.000    -0   16 o  0   1.37 116.30992 -71.40390  3191.90  8683.78 2.55 2.26 -89.2 -0.399 19.07 20.33 03a59622o0402o
59621.961092  22.997  8.167     2   19 o  0   0.90 116.30992 -71.40390  3179.95  8802.74 2.68 2.35 -89.2 -0.391 19.06 20.36 03a59622o0423o
59624.175502 -20.354  1.006   -26   26 o  0   0.93 116.30992 -71.40390  7211.89  7009.35 2.32 2.07 -37.3 -0.392 18.61 19.38 04a59624o0345o
59624.179326 -19.273  0.356   -71   25 o  0   1.19 116.30992 -71.40390  7226.37  7047.25 2.29 2.08 -34.8 -0.394 18.64 19.38 04a59624o0353o
59624.184358 -25.196 73.000    -0   22 o  0   1.24 116.30992 -71.40390  7167.03  6964.84 2.30 2.14 -42.3 -0.395 18.62 19.41 04a59624o0364o
59624.198046  19.397  0.420    63   27 o  0   0.74 116.30992 -71.40390  7135.51  7072.23 2.29 2.10 -34.5 -0.387 18.58 19.37 04a59624o0394o
59628.120938 -22.248  5.964    -5   27 o  0   0.59 116.30992 -71.40390  4424.70  1161.35 2.41 2.17  23.6 -0.443 18.65 19.39 04a59628o0224o
59628.124238  20.989  1.610    15   24 o  0   1.02 116.30992 -71.40390  4443.30  1198.31 2.23 2.05  23.7 -0.452 18.66 19.39 04a59628o0231o
59632.165956 -23.339 10.182    -2   17 o  0   1.09 116.30992 -71.40390  4377.82  1129.03 2.41 2.17  53.6 -0.424 18.95 20.20 04a59632o0248o
59632.169692  22.298  3.759     4   16 o  0   0.93 116.30992 -71.40390  4395.78  1165.50 2.39 2.17  54.8 -0.423 19.01 20.22 04a59632o0256o
59632.176204  22.511  4.826     4   17 o  0   1.02 116.30992 -71.40390  4326.04  1084.19 2.42 2.20  54.1 -0.427 18.94 20.20 04a59632o0270o
59632.189820  20.120  0.502    32   16 o  0   0.99 116.30992 -71.40390  4289.74  1195.52 2.33 2.11  51.8 -0.420 18.99 20.16 04a59632o0299o
59636.176468  20.356  0.487    26   13 o  0   1.24 116.30992 -71.40390  2183.08  1306.16 2.45 1.88  47.1 -0.457 19.46 20.88 04a59636o0226o
59636.179337 -22.138  2.630    -5   13 o  0   0.99 116.30992 -71.40390  2201.05  1343.18 2.47 1.87  50.0 -0.452 19.45 20.92 04a59636o0232o
59636.184769  20.723  0.714    19   13 o  0   1.00 116.30992 -71.40390  2132.57  1265.08 2.29 1.91  45.3 -0.473 19.45 20.91 04a59636o0244o
59636.194625 -26.339 113.000    -0   12 o  0   0.96 116.30992 -71.40390  2099.47  1381.38 2.42 1.84  47.0 -0.445 19.48 20.90 04a59636o0265o
59638.124690  21.601  2.000     8   17 o  0   0.75 116.30992 -71.40390  9321.02  5463.30 2.60 2.06 -14.3 -0.424 19.31 20.83 04a59638o0236o
59638.127995  20.435  0.750    24   18 o  0   0.71 116.30992 -71.40390  9335.66  5501.98 2.61 2.11 -17.2 -0.419 19.30 20.87 04a59638o0243o
59638.133085 -21.185  1.205   -12   15 o  0   0.84 116.30992 -71.40390  9274.14  5415.81 2.52 2.08 -19.7 -0.422 19.31 20.85 04a59638o0254o
59638.136740  22.300  3.138     4   14 o  0   0.80 116.30992 -71.40390   461.44  5478.39 2.51 2.14  70.5 -0.370 19.31 20.87 04a59638o0262o
59638.139463  22.888  5.941     2   15 o  0   0.89 116.30992 -71.40390   479.57  5513.31 2.52 2.09  74.5 -0.376 19.33 20.85 04a59638o0268o
59638.143573  20.561  0.743    22   16 o  0   1.05 116.30992 -71.40390  9244.22  5523.92 2.53 2.13 -13.8 -0.412 19.28 20.82 04a59638o0277o
59638.144965 -21.873  2.146    -6   14 o  0   0.92 116.30992 -71.40390   416.42  5438.52 2.61 2.17  66.1 -0.365 19.29 20.81 04a59638o0280o
59638.159091 -20.840  0.891   -17   15 o  0   0.92 116.30992 -71.40390   383.42  5548.57 2.55 2.14  71.2 -0.368 19.31 20.81 04a59638o0311o
59639.119173  22.130  2.324     5   12 c  0   0.71 116.30992 -71.40390  6568.31  1074.31 2.40 2.15  -4.9 -0.384 19.44 21.45 04a59639o0268c
59639.122325  21.018  0.771    14   11 c  0   0.93 116.30992 -71.40390  6586.82  1112.64 2.38 2.13   1.3 -0.388 19.44 21.44 04a59639o0275c
59639.128820  21.472  1.077     9   10 c  0   1.10 116.30992 -71.40390  6517.63  1027.98 2.34 2.10  -0.4 -0.392 19.49 21.46 04a59639o0289c
59639.142917 -21.406  0.910   -10    9 c  0   1.66 116.30992 -71.40390  6480.79  1136.92 2.35 2.17   4.3 -0.382 19.45 21.46 04a59639o0319c
59640.121986  20.273  0.485    28   14 c  0   0.82 116.30992 -71.40390  9315.89  5460.12 2.73 2.09 -15.6 -0.403 19.47 21.39 04a59640o0283c
59640.124715 -21.300  1.238   -11   14 c  0   0.86 116.30992 -71.40390  9329.99  5500.18 2.70 2.22 -17.0 -0.387 19.45 21.41 04a59640o0289c
59640.130631 -22.089  2.194    -5   12 c  0   1.14 116.30992 -71.40390  9269.75  5412.41 2.72 2.13 -14.2 -0.396 19.46 21.42 04a59640o0302c
59640.136965  24.027 12.500     1   11 c  0   1.00 116.30992 -71.40390   454.13  5472.72 2.51 2.11  65.2 -0.361 19.50 21.45 04a59640o0316c
59640.139668  22.422  2.769     4   11 c  0   1.50 116.30992 -71.40390   471.63  5507.66 2.50 2.14  65.6 -0.358 19.48 21.46 04a59640o0322c
59640.141021 -23.307  7.636    -2   13 c  0   0.79 116.30992 -71.40390  9241.87  5520.79 2.57 2.03 -11.9 -0.412 19.49 21.42 04a59640o0325c
59640.145605  21.233  1.122    12   13 c  0   0.92 116.30992 -71.40390   409.39  5433.06 2.41 2.10  69.1 -0.362 19.49 21.44 04a59640o0335c
59640.158367  20.770  0.607    18   11 c  0   1.16 116.30992 -71.40390   375.76  5546.40 2.52 2.16  68.4 -0.358 19.48 21.37 04a59640o0363c
59641.120949  20.801  0.692    17   12 o  0   1.88 116.30992 -71.40390  6562.65  1068.29 2.37 2.26 -26.9 -0.412 19.24 21.01 04a59641o0293o
59641.124152  21.283  1.227    11   14 o  0   1.26 116.30992 -71.40390  6580.34  1106.43 2.34 2.27  12.5 -0.433 19.24 20.99 04a59641o0300o
59641.130511 -21.437  1.603   -10   16 o  0   0.72 116.30992 -71.40390  6513.36  1022.13 2.25 2.17 -12.1 -0.419 19.28 20.99 04a59641o0314o
59641.140047  21.291  1.114    11   12 o  0   0.93 116.30992 -71.40390  6477.70  1133.68 2.27 2.24 -13.6 -0.409 19.27 20.98 04a59641o0335o
59642.118228  20.961  1.011    15   15 o  0   1.00 116.30992 -71.40390  9315.54  5458.93 2.53 2.01 -14.8 -0.430 19.28 20.76 04a59642o0276o
59642.121408  20.166  0.559    31   17 o  0   1.18 116.30992 -71.40390  9331.69  5497.81 2.51 2.00 -12.7 -0.425 19.29 20.81 04a59642o0283o
59642.131148  19.827  0.359    43   15 o  0   0.75 116.30992 -71.40390  9264.20  5409.43 2.42 2.22 -15.1 -0.419 19.28 20.83 04a59642o0304o
59642.138382 -19.713  0.330   -47   16 o  0   0.84 116.30992 -71.40390   452.29  5467.88 2.46 2.08  68.9 -0.376 19.32 20.83 04a59642o0320o
59642.141084  22.317  3.310     4   14 o  0   0.86 116.30992 -71.40390   468.93  5503.07 2.39 2.05  72.4 -0.382 19.35 20.90 04a59642o0326o
59642.141985 -22.361  4.000    -4   16 o  0   0.85 116.30992 -71.40390  9235.66  5517.35 2.42 2.16 -12.4 -0.429 19.31 20.86 04a59642o0328o
59642.146072 -21.341  1.600   -11   17 o  0   1.03 116.30992 -71.40390   407.26  5428.77 2.59 2.11  67.7 -0.369 19.30 20.91 04a59642o0337o
59642.155644  21.232  1.208    12   14 o  0   0.94 116.30992 -71.40390   378.17  5542.59 2.42 2.09  75.7 -0.380 19.34 20.99 04a59642o0358o
59644.082084  22.294  2.259     4   10 c  0   1.17 116.30992 -71.40390  6373.20  3314.86 2.51 2.21 -19.8 -0.386 19.38 21.63 04a59644o0089c
59644.084821  20.708  0.509    19   10 c  0   1.39 116.30992 -71.40390  6390.42  3352.42 2.50 2.29  -6.8 -0.380 19.37 21.61 04a59644o0095c
59644.090731 -21.161  0.756   -12    9 c  0   1.53 116.30992 -71.40390  6325.96  3269.16 2.42 2.13  -8.6 -0.390 19.42 21.59 04a59644o0108c
59644.103097 -21.606  1.183    -8   10 c  0   0.88 116.30992 -71.40390  6295.33  3377.67 2.28 2.03  -9.0 -0.394 19.45 21.57 04a59644o0135c
59645.888541  20.859  0.692    16   11 o  0   1.03 116.30992 -71.40390  4218.86  3330.86 2.42 2.24 -50.9 -0.408 19.43 20.91 03a59646o0290o
59645.891275  20.709  0.691    19   13 o  0   1.03 116.30992 -71.40390  4237.98  3369.00 2.37 2.24 -48.9 -0.419 19.48 20.91 03a59646o0296o
59645.898614 -22.101  2.744    -5   14 o  0   0.69 116.30992 -71.40390  4180.97  3291.66 2.36 2.20 -55.0 -0.423 19.45 20.92 03a59646o0312o
59645.909955  21.804  2.020     7   14 o  0   0.84 116.30992 -71.40390  4157.61  3406.72 2.39 2.20 -53.9 -0.419 19.45 20.85 03a59646o0336o
59652.064271 -20.692  1.216   -19   23 o  0   0.83 116.30992 -71.40390  6384.23  9116.78 2.78 2.32 -77.1 -0.384 18.82 19.84 04a59652o0169o
59652.067474 -23.408 16.556    -2   26 o  0   0.93 116.30992 -71.40390  6397.20  9155.24 2.34 2.06 -65.4 -0.443 18.94 19.83 04a59652o0176o
59652.074004 -20.041  0.730   -35   26 o  0   0.86 116.30992 -71.40390  6339.02  9071.78 2.41 2.15 -69.7 -0.433 18.88 19.89 04a59652o0190o
59652.084485  22.389  5.125     4   21 o  0   1.25 116.30992 -71.40390  6312.34  9181.19 2.29 2.02 -67.5 -0.441 18.92 19.87 04a59652o0213o
59656.134325 -20.678  1.488   -19   29 o  0   1.36 116.30992 -71.40390  6330.20  9077.82 2.52 2.22 -82.9 -0.376 18.48 19.06 04a59656o0321o
59656.138397  20.940  1.857    15   28 o  0   1.34 116.30992 -71.40390  6342.29  9117.20 2.58 2.27 -84.2 -0.372 18.41 19.07 04a59656o0329o
59656.143522 -21.258  2.952   -11   34 o  0   1.11 116.30992 -71.40390  6288.96  9034.19 2.69 2.40 -87.8 -0.365 18.33 19.03 04a59656o0340o
59656.155040 -19.998  0.937   -36   34 o  0   0.94 116.30992 -71.40390  6261.07  9147.22 2.52 2.22 -86.5 -0.390 18.36 19.00 04a59656o0364o
59660.062966  22.067  3.079     5   17 o  0   1.17 116.30992 -71.40390  2413.56  5200.08 2.32 2.06  82.8 -0.424 19.12 20.37 04a59660o0183o
59660.066130 -21.215  1.681   -12   20 o  0   1.05 116.30992 -71.40390  2429.62  5235.43 2.43 2.29  75.3 -0.418 19.04 20.29 04a59660o0190o
59660.071178  21.691  1.979     8   15 o  0   1.42 116.30992 -71.40390  2369.50  5159.13 2.47 2.18  78.3 -0.417 18.98 20.21 04a59660o0201o
59660.083620  20.648  0.799    20   16 o  0   1.04 116.30992 -71.40390  2337.84  5269.56 2.20 2.00  79.8 -0.418 19.05 20.11 04a59660o0228o
59664.115796  22.158  2.277     5   11 o  0   1.04 116.30992 -71.40390  2364.71  5166.53 2.03 1.78  83.1 -0.411 19.46 20.89 04a59664o0200o
59664.118954 -21.296  1.279   -11   14 o  0   1.21 116.30992 -71.40390  2381.06  5202.96 2.00 1.78  79.0 -0.418 19.46 20.92 04a59664o0207o
59664.126232  20.964  0.737    15   11 o  0   1.07 116.30992 -71.40390  2319.12  5126.70 2.08 1.83  78.5 -0.413 19.42 20.91 04a59664o0223o
59664.136259 -20.977  0.783   -15   12 o  0   0.91 116.30992 -71.40390  2290.48  5240.98 2.02 1.79  76.2 -0.412 19.44 20.91 04a59664o0245o
59668.037431 -20.966  1.010   -15   15 o  0   0.72 116.30992 -71.40390  5384.02  7043.27 2.31 2.08 -70.2 -0.446 19.24 20.85 04a59668o0156o
59668.040343 -21.147  1.145   -13   14 o  0   0.95 116.30992 -71.40390  5397.33  7081.10 2.32 2.09 -74.9 -0.446 19.27 20.83 04a59668o0162o
59668.046256  21.916  2.725     6   17 o  0   0.64 116.30992 -71.40390  5340.66  6998.79 2.43 2.16 -72.3 -0.435 19.28 20.91 04a59668o0175o
59668.056067 -20.558  0.695   -22   15 o  0   0.64 116.30992 -71.40390  5310.81  7110.01 2.35 2.14 -73.0 -0.439 19.30 20.88 04a59668o0196o
59669.864016  20.807  0.663    17   12 c  0   1.08 116.30992 -71.40390  2169.25  1244.93 2.75 2.66 -39.2 -0.377 19.60 21.66 03a59670o0327c
